Index,Channel_2
1,-0.810547
2,-0.832520
3,-0.825195
4,-0.822754
5,-0.822754
6,-0.820312
7,-0.820312
8,-0.820312
9,-0.820312
10,-0.825195
11,-0.820312
12,-0.827637
13,-0.832520
14,-0.815430
15,-0.825195
16,-0.820312
17,-0.820312
18,-0.815430
19,-0.815430
20,-0.812988
21,-0.810547
22,-0.808105
23,-0.805664
24,-0.812988
25,-0.805664
26,-0.803223
27,-0.800781
28,-0.795898
29,-0.791016
30,-0.800781
31,-0.778809
32,-0.791016
33,-0.786133
34,-0.773926
35,-0.781250
36,-0.771484
37,-0.761719
38,-0.776367
39,-0.761719
40,-0.754395
41,-0.759277
42,-0.754395
43,-0.742188
44,-0.739746
45,-0.734863
46,-0.734863
47,-0.729980
48,-0.722656
49,-0.720215
50,-0.710449
51,-0.712891
52,-0.710449
53,-0.688477
54,-0.690918
55,-0.686035
56,-0.666504
57,-0.676270
58,-0.676270
59,-0.659180
60,-0.666504
61,-0.654297
62,-0.644531
63,-0.644531
64,-0.629883
65,-0.634766
66,-0.615234
67,-0.615234
68,-0.612793
69,-0.588379
70,-0.593262
71,-0.590820
72,-0.576172
73,-0.576172
74,-0.561523
75,-0.551758
76,-0.554199
77,-0.541992
78,-0.534668
79,-0.527344
80,-0.512695
81,-0.510254
82,-0.500488
83,-0.493164
84,-0.493164
85,-0.476074
86,-0.471191
87,-0.463867
88,-0.444336
89,-0.446777
90,-0.439453
91,-0.424805
92,-0.427246
93,-0.412598
94,-0.397949
95,-0.397949
96,-0.393066
97,-0.368652
98,-0.375977
99,-0.358887
100,-0.346680
101,-0.346680
102,-0.334473
103,-0.327148
104,-0.322266
105,-0.307617
106,-0.305176
107,-0.280762
108,-0.278320
109,-0.270996
110,-0.249023
111,-0.251465
112,-0.244141
113,-0.222168
114,-0.224609
115,-0.219727
116,-0.197754
117,-0.197754
118,-0.183105
119,-0.166016
120,-0.170898
121,-0.156250
122,-0.144043
123,-0.144043
124,-0.131836
125,-0.119629
126,-0.107422
127,-0.097656
128,-0.092773
129,-0.075684
130,-0.073242
131,-0.070801
132,-0.041504
133,-0.041504
134,-0.026855
135,-0.012207
136,-0.019531
137,-0.004883
138,0.021973
139,0.014648
140,0.026855
141,0.048828
142,0.046387
143,0.058594
144,0.065918
145,0.078125
146,0.092773
147,0.092773
148,0.104980
149,0.117188
150,0.124512
151,0.134277
152,0.146484
153,0.151367
154,0.161133
155,0.170898
156,0.192871
157,0.192871
158,0.205078
159,0.217285
160,0.214844
161,0.231934
162,0.244141
163,0.244141
164,0.256348
165,0.278320
166,0.268555
167,0.288086
168,0.305176
169,0.302734
170,0.310059
171,0.317383
172,0.339355
173,0.344238
174,0.349121
175,0.363770
176,0.366211
177,0.373535
178,0.390625
179,0.390625
180,0.395508
181,0.417480
182,0.415039
183,0.424805
184,0.444336
185,0.437012
186,0.449219
187,0.466309
188,0.466309
189,0.478516
190,0.483398
191,0.480957
192,0.502930
193,0.515137
194,0.510254
195,0.517578
196,0.522461
197,0.537109
198,0.537109
199,0.544434
200,0.561523
201,0.561523
202,0.573730
203,0.583496
204,0.585938
205,0.588379
206,0.603027
207,0.605469
208,0.605469
209,0.625000
210,0.620117
211,0.620117
212,0.646973
213,0.637207
214,0.642090
215,0.654297
216,0.649414
217,0.664062
218,0.676270
219,0.671387
220,0.678711
221,0.688477
222,0.700684
223,0.703125
224,0.700684
225,0.710449
226,0.710449
227,0.710449
228,0.727539
229,0.722656
230,0.727539
231,0.737305
232,0.742188
233,0.734863
234,0.751953
235,0.742188
236,0.756836
237,0.766602
238,0.756836
239,0.759277
240,0.771484
241,0.761719
242,0.769043
243,0.778809
244,0.778809
245,0.781250
246,0.783691
247,0.788574
248,0.786133
249,0.783691
250,0.798340
251,0.798340
252,0.788574
253,0.805664
254,0.795898
255,0.803223
256,0.812988
257,0.800781
258,0.803223
259,0.810547
260,0.798340
261,0.805664
262,0.808105
263,0.795898
264,0.805664
265,0.812988
266,0.805664
267,0.817871
268,0.815430
269,0.803223
270,0.810547
271,0.815430
272,0.803223
273,0.805664
274,0.810547
275,0.808105
276,0.805664
277,0.812988
278,0.798340
279,0.798340
280,0.805664
281,0.793457
282,0.795898
283,0.791016
284,0.795898
285,0.791016
286,0.786133
287,0.795898
288,0.781250
289,0.778809
290,0.783691
291,0.769043
292,0.776367
293,0.773926
294,0.764160
295,0.771484
296,0.756836
297,0.754395
298,0.751953
299,0.749512
300,0.739746
301,0.739746
302,0.732422
303,0.737305
304,0.729980
305,0.720215
306,0.722656
307,0.712891
308,0.703125
309,0.708008
310,0.695801
311,0.688477
312,0.695801
313,0.678711
314,0.676270
315,0.676270
316,0.664062
317,0.673828
318,0.661621
319,0.656738
320,0.644531
321,0.634766
322,0.629883
323,0.627441
324,0.622559
325,0.612793
326,0.600586
327,0.610352
328,0.593262
329,0.583496
330,0.585938
331,0.563965
332,0.561523
333,0.573730
334,0.546875
335,0.541992
336,0.546875
337,0.527344
338,0.520020
339,0.522461
340,0.500488
341,0.493164
342,0.493164
343,0.473633
344,0.468750
345,0.468750
346,0.456543
347,0.454102
348,0.451660
349,0.429688
350,0.434570
351,0.412598
352,0.410156
353,0.400391
354,0.390625
355,0.373535
356,0.375977
357,0.368652
358,0.356445
359,0.349121
360,0.336914
361,0.329590
362,0.322266
363,0.302734
364,0.305176
365,0.290527
366,0.273438
367,0.268555
368,0.256348
369,0.244141
370,0.239258
371,0.229492
372,0.231934
373,0.214844
374,0.197754
375,0.197754
376,0.180664
377,0.168457
378,0.168457
379,0.151367
380,0.139160
381,0.139160
382,0.119629
383,0.107422
384,0.112305
385,0.092773
386,0.083008
387,0.078125
388,0.061035
389,0.058594
390,0.039062
391,0.031738
392,0.024414
393,0.007324
394,0.000000
395,-0.004883
396,-0.026855
397,-0.031738
398,-0.043945
399,-0.048828
400,-0.056152
401,-0.070801
402,-0.090332
403,-0.090332
404,-0.100098
405,-0.112305
406,-0.119629
407,-0.129395
408,-0.134277
409,-0.151367
410,-0.153809
411,-0.166016
412,-0.185547
413,-0.185547
414,-0.200195
415,-0.212402
416,-0.214844
417,-0.234375
418,-0.246582
419,-0.239258
420,-0.261230
421,-0.270996
422,-0.270996
423,-0.297852
424,-0.305176
425,-0.307617
426,-0.327148
427,-0.327148
428,-0.332031
429,-0.349121
430,-0.361328
431,-0.361328
432,-0.378418
433,-0.385742
434,-0.383301
435,-0.407715
436,-0.415039
437,-0.415039
438,-0.434570
439,-0.441895
440,-0.446777
441,-0.456543
442,-0.461426
443,-0.480957
444,-0.476074
445,-0.490723
446,-0.500488
447,-0.507812
448,-0.510254
449,-0.529785
450,-0.532227
451,-0.532227
452,-0.554199
453,-0.551758
454,-0.554199
455,-0.578613
456,-0.578613
457,-0.588379
458,-0.595703
459,-0.600586
460,-0.603027
461,-0.617676
462,-0.622559
463,-0.627441
464,-0.637207
465,-0.642090
466,-0.646973
467,-0.664062
468,-0.671387
469,-0.666504
470,-0.676270
471,-0.678711
472,-0.683594
473,-0.698242
474,-0.695801
475,-0.708008
476,-0.700684
477,-0.717773
478,-0.722656
479,-0.722656
480,-0.734863
481,-0.739746
482,-0.737305
483,-0.754395
484,-0.749512
485,-0.751953
486,-0.761719
487,-0.759277
488,-0.764160
489,-0.778809
490,-0.776367
491,-0.781250
492,-0.786133
493,-0.788574
494,-0.795898
495,-0.793457
496,-0.793457
497,-0.798340
498,-0.798340
499,-0.810547
500,-0.810547
501,-0.815430
502,-0.810547
503,-0.817871
504,-0.817871
505,-0.820312
506,-0.822754
507,-0.827637
508,-0.827637
509,-0.834961
510,-0.820312
511,-0.832520
512,-0.837402
513,-0.825195
514,-0.839844
515,-0.844727
516,-0.827637
517,-0.849609
518,-0.839844
519,-0.844727
520,-0.832520
521,-0.832520
522,-0.842285
523,-0.837402
524,-0.832520
525,-0.837402
526,-0.837402
527,-0.839844
528,-0.839844
529,-0.825195
530,-0.830078
531,-0.830078
532,-0.832520
533,-0.827637
534,-0.834961
535,-0.822754
536,-0.830078
537,-0.827637
538,-0.808105
539,-0.822754
540,-0.817871
541,-0.810547
542,-0.812988
543,-0.803223
544,-0.800781
545,-0.805664
546,-0.800781
