Index,Channel_2
1,-0.139160
2,-0.119629
3,-0.109863
4,-0.100098
5,-0.092773
6,-0.078125
7,-0.070801
8,-0.048828
9,-0.036621
10,-0.017090
11,-0.007324
12,0.004883
13,0.024414
14,0.031738
15,0.039062
16,0.056152
17,0.070801
18,0.080566
19,0.097656
20,0.112305
21,0.117188
22,0.129395
23,0.139160
24,0.151367
25,0.166016
26,0.178223
27,0.192871
28,0.200195
29,0.214844
30,0.229492
31,0.241699
32,0.251465
33,0.268555
34,0.275879
35,0.290527
36,0.297852
37,0.312500
38,0.329590
39,0.344238
40,0.356445
41,0.361328
42,0.383301
43,0.395508
44,0.402832
45,0.415039
46,0.417480
47,0.439453
48,0.444336
49,0.463867
50,0.468750
51,0.480957
52,0.483398
53,0.488281
54,0.502930
55,0.517578
56,0.527344
57,0.546875
58,0.559082
59,0.561523
60,0.578613
61,0.585938
62,0.593262
63,0.607910
64,0.615234
65,0.632324
66,0.639648
67,0.661621
68,0.666504
69,0.668945
70,0.666504
71,0.681152
72,0.688477
73,0.698242
74,0.712891
75,0.720215
76,0.729980
77,0.729980
78,0.737305
79,0.742188
80,0.749512
81,0.764160
82,0.776367
83,0.783691
84,0.795898
85,0.803223
86,0.812988
87,0.820312
88,0.817871
89,0.825195
90,0.834961
91,0.839844
92,0.859375
93,0.859375
94,0.866699
95,0.876465
96,0.878906
97,0.881348
98,0.883789
99,0.898438
100,0.903320
101,0.917969
102,0.930176
103,0.920410
104,0.922852
105,0.920410
106,0.927734
107,0.927734
108,0.942383
109,0.947266
110,0.959473
111,0.954590
112,0.959473
113,0.966797
114,0.964355
115,0.961914
116,0.974121
117,0.986328
118,0.996094
119,0.983887
120,0.986328
121,0.986328
122,0.983887
123,0.996094
124,0.986328
125,0.996094
126,0.998535
127,0.998535
128,0.998535
129,0.996094
130,1.005859
131,1.003418
132,1.003418
133,1.015625
134,1.018066
135,1.025391
136,1.020508
137,1.015625
138,1.013184
139,1.005859
140,1.005859
141,1.015625
142,1.005859
143,1.005859
144,1.003418
145,1.008301
146,1.000977
147,0.998535
148,0.993652
149,0.998535
150,0.996094
151,0.996094
152,1.000977
153,1.000977
154,0.998535
155,0.983887
156,0.986328
157,0.979004
158,0.974121
159,0.971680
160,0.974121
161,0.969238
162,0.957031
163,0.959473
164,0.954590
165,0.949707
166,0.947266
167,0.935059
168,0.932617
169,0.930176
170,0.927734
171,0.922852
172,0.913086
173,0.915527
174,0.908203
175,0.903320
176,0.891113
177,0.888672
178,0.883789
179,0.881348
180,0.869141
181,0.864258
182,0.859375
183,0.856934
184,0.837402
185,0.839844
186,0.830078
187,0.820312
188,0.817871
189,0.808105
190,0.795898
191,0.798340
192,0.786133
193,0.778809
194,0.771484
195,0.754395
196,0.744629
197,0.739746
198,0.732422
199,0.725098
200,0.715332
201,0.708008
202,0.700684
203,0.693359
204,0.690918
205,0.676270
206,0.671387
207,0.666504
208,0.664062
209,0.646973
210,0.634766
211,0.622559
212,0.607910
213,0.598145
214,0.581055
215,0.573730
216,0.561523
217,0.554199
218,0.534668
219,0.534668
220,0.520020
221,0.500488
222,0.498047
223,0.490723
224,0.476074
225,0.476074
226,0.471191
227,0.456543
228,0.444336
229,0.439453
230,0.419922
231,0.402832
232,0.395508
233,0.380859
234,0.373535
235,0.354004
236,0.346680
237,0.327148
238,0.319824
239,0.307617
240,0.292969
241,0.280762
242,0.270996
243,0.251465
244,0.249023
245,0.241699
246,0.219727
247,0.214844
248,0.190430
249,0.187988
250,0.163574
251,0.156250
252,0.156250
253,0.141602
254,0.126953
255,0.124512
256,0.102539
257,0.087891
258,0.070801
259,0.061035
260,0.053711
261,0.036621
262,0.031738
263,0.004883
264,-0.002441
265,-0.014648
266,-0.024414
267,-0.046387
268,-0.051270
269,-0.063477
270,-0.083008
271,-0.092773
272,-0.102539
273,-0.119629
274,-0.129395
275,-0.139160
276,-0.153809
277,-0.163574
278,-0.170898
279,-0.183105
280,-0.195312
281,-0.214844
282,-0.212402
283,-0.224609
284,-0.239258
285,-0.251465
286,-0.268555
287,-0.288086
288,-0.302734
289,-0.307617
290,-0.324707
291,-0.339355
292,-0.351562
293,-0.368652
294,-0.380859
295,-0.385742
296,-0.395508
297,-0.397949
298,-0.402832
299,-0.412598
300,-0.437012
301,-0.441895
302,-0.463867
303,-0.476074
304,-0.480957
305,-0.498047
306,-0.507812
307,-0.512695
308,-0.527344
309,-0.537109
310,-0.546875
311,-0.556641
312,-0.581055
313,-0.571289
314,-0.588379
315,-0.598145
316,-0.610352
317,-0.629883
318,-0.639648
319,-0.646973
320,-0.651855
321,-0.671387
322,-0.676270
323,-0.681152
324,-0.690918
325,-0.695801
326,-0.712891
327,-0.712891
328,-0.725098
329,-0.727539
330,-0.742188
331,-0.751953
332,-0.756836
333,-0.771484
334,-0.781250
335,-0.788574
336,-0.798340
337,-0.800781
338,-0.815430
339,-0.822754
340,-0.825195
341,-0.837402
342,-0.844727
343,-0.847168
344,-0.859375
345,-0.861816
346,-0.871582
347,-0.869141
348,-0.876465
349,-0.886230
350,-0.891113
351,-0.900879
352,-0.903320
353,-0.908203
354,-0.920410
355,-0.925293
356,-0.920410
357,-0.939941
358,-0.937500
359,-0.947266
360,-0.944824
361,-0.949707
362,-0.954590
363,-0.959473
364,-0.969238
365,-0.979004
366,-0.974121
367,-0.983887
368,-0.996094
369,-0.986328
370,-0.998535
371,-0.993652
372,-1.005859
373,-1.000977
374,-0.998535
375,-1.008301
376,-1.005859
377,-1.018066
378,-1.015625
379,-1.010742
380,-1.013184
381,-1.015625
382,-1.025391
383,-1.022949
384,-1.037598
385,-1.020508
386,-1.040039
387,-1.032715
388,-1.025391
389,-1.030273
390,-1.032715
391,-1.035156
392,-1.030273
393,-1.030273
394,-1.027832
395,-1.020508
396,-1.015625
397,-1.018066
398,-1.020508
399,-1.022949
400,-1.025391
401,-1.027832
402,-1.018066
403,-1.010742
404,-1.018066
405,-1.022949
406,-1.022949
407,-1.010742
408,-1.013184
409,-1.005859
410,-1.010742
411,-1.000977
412,-0.991211
413,-0.993652
414,-0.986328
415,-0.991211
416,-0.993652
417,-0.988770
418,-0.979004
419,-0.971680
420,-0.971680
421,-0.959473
422,-0.961914
423,-0.949707
424,-0.954590
425,-0.949707
426,-0.944824
427,-0.935059
428,-0.925293
429,-0.917969
430,-0.913086
431,-0.910645
432,-0.913086
433,-0.908203
434,-0.908203
435,-0.888672
436,-0.881348
437,-0.883789
438,-0.876465
439,-0.869141
440,-0.864258
441,-0.856934
442,-0.844727
443,-0.834961
444,-0.830078
445,-0.817871
446,-0.810547
447,-0.795898
448,-0.788574
449,-0.781250
450,-0.776367
451,-0.766602
452,-0.754395
453,-0.747070
454,-0.737305
455,-0.737305
456,-0.729980
457,-0.710449
458,-0.705566
459,-0.703125
460,-0.695801
461,-0.681152
462,-0.668945
463,-0.673828
464,-0.656738
465,-0.649414
466,-0.629883
467,-0.612793
468,-0.598145
469,-0.595703
470,-0.590820
471,-0.583496
472,-0.573730
473,-0.556641
474,-0.554199
475,-0.541992
476,-0.524902
477,-0.522461
478,-0.505371
479,-0.495605
480,-0.480957
481,-0.471191
482,-0.458984
483,-0.439453
484,-0.441895
485,-0.422363
486,-0.417480
487,-0.405273
488,-0.395508
489,-0.373535
490,-0.366211
491,-0.346680
492,-0.346680
493,-0.334473
494,-0.310059
495,-0.305176
496,-0.285645
497,-0.278320
498,-0.266113
499,-0.249023
500,-0.236816
501,-0.224609
502,-0.207520
503,-0.209961
504,-0.200195
505,-0.185547
506,-0.170898
507,-0.144043
508,-0.146484
509,-0.126953
510,-0.119629
511,-0.104980
512,-0.100098
513,-0.075684
514,-0.063477
515,-0.039062
516,-0.029297
517,-0.021973
518,-0.004883
519,0.007324
520,0.009766
521,0.019531
522,0.034180
523,0.053711
524,0.065918
525,0.078125
526,0.085449
527,0.107422
528,0.100098
529,0.119629
530,0.136719
531,0.146484
532,0.168457
533,0.180664
534,0.195312
535,0.214844
536,0.209961
537,0.222168
538,0.231934
539,0.241699
540,0.263672
541,0.278320
542,0.290527
543,0.307617
544,0.314941
545,0.329590
546,0.341797
547,0.358887
548,0.361328
549,0.383301
550,0.395508
551,0.400391
552,0.412598
553,0.417480
554,0.432129
555,0.434570
556,0.451660
557,0.458984
558,0.478516
559,0.485840
560,0.495605
561,0.510254
562,0.517578
563,0.529785
564,0.541992
565,0.563965
566,0.576172
567,0.590820
568,0.607910
569,0.598145
570,0.610352
571,0.617676
572,0.625000
573,0.639648
574,0.654297
575,0.668945
576,0.676270
577,0.686035
578,0.683594
579,0.703125
580,0.705566
581,0.725098
582,0.732422
583,0.747070
584,0.759277
585,0.761719
586,0.771484
587,0.771484
588,0.781250
589,0.791016
590,0.803223
591,0.808105
592,0.825195
593,0.834961
594,0.834961
595,0.834961
596,0.859375
597,0.861816
598,0.871582
599,0.874023
600,0.883789
601,0.900879
602,0.895996
603,0.908203
604,0.905762
605,0.917969
606,0.925293
607,0.922852
608,0.930176
609,0.942383
610,0.944824
611,0.949707
612,0.949707
613,0.966797
614,0.971680
615,0.971680
616,0.976562
617,0.991211
618,0.988770
619,1.008301
620,1.003418
621,1.008301
622,1.010742
623,1.018066
624,1.008301
625,1.010742
626,1.022949
627,1.032715
628,1.037598
629,1.035156
630,1.027832
631,1.027832
632,1.032715
633,1.040039
634,1.044922
635,1.054688
636,1.054688
637,1.057129
638,1.059570
639,1.054688
640,1.057129
641,1.054688
642,1.059570
643,1.059570
644,1.066895
645,1.074219
646,1.066895
647,1.054688
648,1.062012
649,1.069336
650,1.066895
651,1.064453
652,1.069336
653,1.069336
654,1.064453
655,1.059570
656,1.049805
657,1.049805
658,1.049805
659,1.059570
660,1.064453
661,1.052246
662,1.059570
663,1.054688
664,1.044922
665,1.042480
666,1.037598
667,1.037598
668,1.044922
669,1.042480
670,1.049805
671,1.032715
672,1.025391
673,1.018066
674,1.005859
675,1.003418
676,1.008301
677,1.003418
678,0.998535
679,0.993652
680,0.986328
681,0.981445
682,0.976562
683,0.979004
684,0.964355
685,0.964355
686,0.966797
687,0.957031
688,0.954590
689,0.952148
690,0.937500
691,0.939941
692,0.930176
693,0.925293
694,0.920410
695,0.908203
696,0.908203
697,0.891113
698,0.883789
699,0.874023
700,0.874023
701,0.859375
702,0.861816
703,0.849609
704,0.837402
705,0.832520
706,0.820312
707,0.803223
708,0.800781
709,0.788574
710,0.786133
711,0.778809
712,0.771484
713,0.766602
714,0.759277
715,0.744629
716,0.737305
717,0.725098
718,0.717773
719,0.700684
720,0.705566
721,0.695801
722,0.686035
723,0.676270
724,0.659180
725,0.644531
726,0.632324
