Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.118909, -0.688036
11.513953993264476, 0.063594, 0.429366
13.257113655901088, 0.051536, 0.228347
15.264179671752334, 0.041362, 0.547843
17.57510624854792, 0.022379, -0.342158
20.235896477251575, 0.033364, 0.091606
23.29951810515372, 0.032648, -0.043993
26.826957952797258, 0.091367, -0.209905
30.888435964774818, 0.09202, 0.106401
35.564803062231285, 0.051412, 0.160072
40.94915062380425, 0.03287, -0.039847
47.14866363457394, -0.002981, -0.916529
54.286754393238596, 0.118227, 0.613337
62.50551925273973, 0.115577, 0.165905
71.96856730011521, 0.103108, -0.080193
82.86427728546842, 0.110504, 0.133913
95.40954763499938, 0.088194, -0.009431
109.85411419875584, 0.136931, 0.097484
126.48552168552958, 0.17322, -0.154028
145.63484775012444, 0.214187, 0.032689
167.68329368110082, 0.284194, 0.018161
193.06977288832496, 0.364972, 0.025369
222.29964825261956, 0.469586, -0.009726
255.95479226995357, 0.620445, -0.018633
294.705170255181, 0.806234, -0.008351
339.32217718953297, 1.084554, -0.007295
390.6939937054617, 1.429919, -0.147911
449.8432668969444, 1.948608, -0.267907
517.9474679231213, 2.689186, -0.503979
596.3623316594643, 3.836053, -0.966352
686.6488450042998, 5.697636, -2.057271
790.6043210907702, 9.624053, -6.576374
910.2981779915218, 15.632554, -134.700073
1048.1131341546852, 11.833697, -158.975327
1206.792640639329, 5.7408, -170.736862
1389.4954943731375, 0.756278, -175.281738
1599.8587196060573, -3.257273, -176.094879
1842.0699693267163, -6.607507, -176.302963
2120.9508879201903, -9.813825, -178.28714
2442.05309454865, -12.569839, -176.154388
2811.7686979742307, -15.707472, -178.380905
3237.457542817643, -18.527813, -174.727692
3727.593720314938, -20.545893, -179.554214
4291.934260128778, -23.724541, -178.48378
4941.713361323833, -26.185841, -178.233658
5689.866029018293, -28.359154, -170.31926
6551.285568595509, -31.389412, -175.659729
7543.120063354615, -33.651352, -177.280167
8685.11373751352, -36.70974, 178.13562
10000, -38.650227, -174.800354
