Index,Channel_2
1,-0.424805
2,-0.444336
3,-0.490723
4,-0.524902
5,-0.554199
6,-0.600586
7,-0.629883
8,-0.649414
9,-0.695801
10,-0.737305
11,-0.761719
12,-0.798340
13,-0.832520
14,-0.866699
15,-0.908203
16,-0.949707
17,-0.966797
18,-1.013184
19,-1.044922
20,-1.066895
21,-1.105957
22,-1.145020
23,-1.169434
24,-1.210938
25,-1.242676
26,-1.267090
27,-1.296387
28,-1.337891
29,-1.367188
30,-1.394043
31,-1.430664
32,-1.464844
33,-1.491699
34,-1.516113
35,-1.550293
36,-1.572266
37,-1.608887
38,-1.643066
39,-1.665039
40,-1.691895
41,-1.718750
42,-1.750488
43,-1.787109
44,-1.816406
45,-1.840820
46,-1.862793
47,-1.887207
48,-1.923828
49,-1.940918
50,-1.967773
51,-2.004395
52,-2.026367
53,-2.045898
54,-2.062988
55,-2.099609
56,-2.116699
57,-2.141113
58,-2.165527
59,-2.182617
60,-2.204590
61,-2.233887
62,-2.258301
63,-2.285156
64,-2.307129
65,-2.321777
66,-2.338867
67,-2.363281
68,-2.390137
69,-2.402344
70,-2.421875
71,-2.446289
72,-2.453613
73,-2.478027
74,-2.492676
75,-2.512207
76,-2.534180
77,-2.551270
78,-2.561035
79,-2.587891
80,-2.597656
81,-2.614746
82,-2.626953
83,-2.648926
84,-2.646484
85,-2.670898
86,-2.680664
87,-2.695312
88,-2.712402
89,-2.717285
90,-2.727051
91,-2.746582
92,-2.749023
93,-2.763672
94,-2.773438
95,-2.780762
96,-2.795410
97,-2.800293
98,-2.810059
99,-2.822266
100,-2.832031
101,-2.827148
102,-2.832031
103,-2.841797
104,-2.854004
105,-2.856445
106,-2.854004
107,-2.866211
108,-2.875977
109,-2.875977
110,-2.878418
111,-2.875977
112,-2.878418
113,-2.885742
114,-2.885742
115,-2.883301
116,-2.888184
117,-2.878418
118,-2.880859
119,-2.883301
120,-2.873535
121,-2.883301
122,-2.883301
123,-2.868652
124,-2.878418
125,-2.878418
126,-2.863770
127,-2.861328
128,-2.846680
129,-2.854004
130,-2.844238
131,-2.839355
132,-2.834473
133,-2.824707
134,-2.810059
135,-2.807617
136,-2.800293
137,-2.785645
138,-2.778320
139,-2.768555
140,-2.751465
141,-2.746582
142,-2.739258
143,-2.727051
144,-2.707520
145,-2.690430
146,-2.683105
147,-2.675781
148,-2.656250
149,-2.644043
150,-2.629395
151,-2.624512
152,-2.607422
153,-2.592773
154,-2.575684
155,-2.539062
156,-2.529297
157,-2.519531
158,-2.500000
159,-2.480469
160,-2.460938
161,-2.429199
162,-2.419434
163,-2.397461
164,-2.375488
165,-2.365723
166,-2.338867
167,-2.314453
168,-2.299805
169,-2.282715
170,-2.248535
171,-2.231445
172,-2.207031
173,-2.180176
174,-2.165527
175,-2.126465
176,-2.109375
177,-2.080078
178,-2.048340
179,-2.033691
180,-2.009277
181,-1.979980
182,-1.962891
183,-1.926270
184,-1.899414
185,-1.879883
186,-1.848145
187,-1.831055
188,-1.789551
189,-1.752930
190,-1.738281
191,-1.706543
192,-1.674805
193,-1.647949
194,-1.621094
195,-1.582031
196,-1.545410
197,-1.523438
198,-1.499023
199,-1.459961
200,-1.430664
201,-1.403809
202,-1.362305
203,-1.337891
204,-1.311035
205,-1.271973
206,-1.247559
207,-1.210938
208,-1.174316
209,-1.132812
210,-1.110840
211,-1.074219
212,-1.044922
213,-1.010742
214,-0.969238
215,-0.944824
216,-0.915527
217,-0.874023
218,-0.837402
219,-0.795898
220,-0.769043
221,-0.734863
222,-0.705566
223,-0.666504
224,-0.632324
225,-0.588379
226,-0.556641
227,-0.522461
228,-0.480957
229,-0.454102
230,-0.415039
231,-0.383301
232,-0.354004
233,-0.317383
234,-0.270996
235,-0.241699
236,-0.207520
237,-0.173340
238,-0.139160
239,-0.107422
240,-0.063477
241,-0.024414
242,0.009766
243,0.041504
244,0.078125
245,0.114746
246,0.153809
247,0.192871
248,0.217285
249,0.256348
250,0.295410
251,0.327148
252,0.368652
253,0.402832
254,0.429688
255,0.468750
256,0.502930
257,0.534668
258,0.576172
259,0.615234
260,0.639648
261,0.676270
262,0.712891
263,0.742188
264,0.778809
265,0.812988
266,0.844727
267,0.881348
268,0.908203
269,0.954590
270,0.983887
271,1.015625
272,1.047363
273,1.081543
274,1.105957
275,1.157227
276,1.193848
277,1.213379
278,1.247559
279,1.281738
280,1.311035
281,1.354980
282,1.384277
283,1.406250
284,1.442871
285,1.467285
286,1.494141
287,1.523438
288,1.557617
289,1.586914
290,1.618652
291,1.645508
292,1.669922
293,1.699219
294,1.740723
295,1.772461
296,1.794434
297,1.821289
298,1.845703
299,1.875000
300,1.911621
301,1.933594
302,1.948242
303,1.977539
304,2.011719
305,2.036133
306,2.065430
307,2.080078
308,2.102051
309,2.131348
310,2.155762
311,2.175293
312,2.209473
313,2.221680
314,2.243652
315,2.270508
316,2.294922
317,2.324219
318,2.343750
319,2.358398
320,2.377930
321,2.397461
322,2.421875
323,2.443848
324,2.456055
325,2.473145
326,2.497559
327,2.512207
328,2.541504
329,2.548828
330,2.568359
331,2.590332
332,2.609863
333,2.619629
334,2.639160
335,2.648926
336,2.668457
337,2.685547
338,2.695312
339,2.707520
340,2.727051
341,2.736816
342,2.749023
343,2.756348
344,2.766113
345,2.783203
346,2.797852
347,2.805176
348,2.819824
349,2.817383
350,2.824707
351,2.851562
352,2.861328
353,2.858887
354,2.866211
355,2.880859
356,2.880859
357,2.890625
358,2.907715
359,2.905273
360,2.907715
361,2.915039
362,2.910156
363,2.917480
364,2.927246
365,2.927246
366,2.927246
367,2.932129
368,2.929688
369,2.932129
370,2.937012
371,2.944336
372,2.932129
373,2.937012
374,2.937012
375,2.927246
376,2.932129
377,2.934570
378,2.919922
379,2.924805
380,2.917480
381,2.910156
382,2.907715
383,2.902832
384,2.900391
