Index,Channel_2
1,-0.678711
2,-0.673828
3,-0.681152
4,-0.683594
5,-0.683594
6,-0.676270
7,-0.678711
8,-0.678711
9,-0.678711
10,-0.683594
11,-0.681152
12,-0.668945
13,-0.681152
14,-0.686035
15,-0.690918
16,-0.686035
17,-0.686035
18,-0.678711
19,-0.690918
20,-0.683594
21,-0.683594
22,-0.681152
23,-0.676270
24,-0.683594
25,-0.681152
26,-0.678711
27,-0.683594
28,-0.681152
29,-0.673828
30,-0.678711
31,-0.671387
32,-0.668945
33,-0.676270
34,-0.668945
35,-0.671387
36,-0.661621
37,-0.664062
38,-0.668945
39,-0.664062
40,-0.649414
41,-0.651855
42,-0.644531
43,-0.642090
44,-0.651855
45,-0.646973
46,-0.637207
47,-0.642090
48,-0.637207
49,-0.632324
50,-0.629883
51,-0.617676
52,-0.627441
53,-0.615234
54,-0.612793
55,-0.610352
56,-0.598145
57,-0.595703
58,-0.600586
59,-0.590820
60,-0.590820
61,-0.590820
62,-0.578613
63,-0.573730
64,-0.571289
65,-0.561523
66,-0.561523
67,-0.554199
68,-0.546875
69,-0.551758
70,-0.537109
71,-0.522461
72,-0.529785
73,-0.520020
74,-0.520020
75,-0.515137
76,-0.502930
77,-0.493164
78,-0.505371
79,-0.493164
80,-0.471191
81,-0.483398
82,-0.476074
83,-0.463867
84,-0.463867
85,-0.451660
86,-0.446777
87,-0.437012
88,-0.432129
89,-0.432129
90,-0.415039
91,-0.412598
92,-0.415039
93,-0.400391
94,-0.393066
95,-0.390625
96,-0.383301
97,-0.375977
98,-0.375977
99,-0.358887
100,-0.356445
101,-0.351562
102,-0.332031
103,-0.339355
104,-0.327148
105,-0.314941
106,-0.314941
107,-0.302734
108,-0.297852
109,-0.280762
110,-0.268555
111,-0.270996
112,-0.263672
113,-0.263672
114,-0.241699
115,-0.236816
116,-0.239258
117,-0.217285
118,-0.219727
119,-0.205078
120,-0.200195
121,-0.187988
122,-0.185547
123,-0.178223
124,-0.158691
125,-0.156250
126,-0.151367
127,-0.148926
128,-0.122070
129,-0.124512
130,-0.126953
131,-0.109863
132,-0.112305
133,-0.095215
134,-0.085449
135,-0.085449
136,-0.073242
137,-0.061035
138,-0.061035
139,-0.048828
140,-0.046387
141,-0.036621
142,-0.024414
143,-0.012207
144,-0.004883
145,0.000000
146,0.004883
147,0.021973
148,0.029297
149,0.034180
150,0.041504
151,0.051270
152,0.063477
153,0.070801
154,0.075684
155,0.087891
156,0.095215
157,0.100098
158,0.109863
159,0.114746
160,0.129395
161,0.131836
162,0.144043
163,0.163574
164,0.153809
165,0.156250
166,0.185547
167,0.180664
168,0.187988
169,0.202637
170,0.197754
171,0.217285
172,0.234375
173,0.227051
174,0.244141
175,0.244141
176,0.263672
177,0.261230
178,0.270996
179,0.270996
180,0.280762
181,0.292969
182,0.297852
183,0.302734
184,0.312500
185,0.319824
186,0.329590
187,0.339355
188,0.344238
189,0.346680
190,0.368652
191,0.366211
192,0.371094
193,0.380859
194,0.383301
195,0.390625
196,0.400391
197,0.405273
198,0.402832
199,0.419922
200,0.439453
201,0.429688
202,0.439453
203,0.444336
204,0.451660
205,0.454102
206,0.468750
207,0.471191
208,0.466309
209,0.488281
210,0.485840
211,0.493164
212,0.498047
213,0.495605
214,0.507812
215,0.512695
216,0.515137
217,0.520020
218,0.539551
219,0.534668
220,0.537109
221,0.549316
222,0.549316
223,0.551758
224,0.573730
225,0.556641
226,0.559082
227,0.581055
228,0.576172
229,0.578613
230,0.593262
231,0.583496
232,0.595703
233,0.603027
234,0.600586
235,0.605469
236,0.603027
237,0.617676
238,0.622559
239,0.620117
240,0.622559
241,0.625000
242,0.629883
243,0.632324
244,0.634766
245,0.629883
246,0.634766
247,0.646973
248,0.644531
249,0.639648
250,0.646973
251,0.646973
252,0.649414
253,0.659180
254,0.656738
255,0.656738
256,0.673828
257,0.659180
258,0.666504
259,0.666504
260,0.664062
261,0.664062
262,0.671387
263,0.659180
264,0.659180
265,0.673828
266,0.666504
267,0.668945
268,0.673828
269,0.671387
270,0.678711
271,0.673828
272,0.671387
273,0.673828
274,0.673828
275,0.668945
276,0.668945
277,0.671387
278,0.664062
279,0.673828
280,0.681152
281,0.666504
282,0.659180
283,0.666504
284,0.661621
285,0.659180
286,0.661621
287,0.654297
288,0.656738
289,0.664062
290,0.656738
291,0.646973
292,0.659180
293,0.651855
294,0.651855
295,0.642090
296,0.639648
297,0.637207
298,0.642090
299,0.632324
300,0.622559
301,0.625000
302,0.620117
303,0.617676
304,0.622559
305,0.610352
306,0.610352
307,0.615234
308,0.607910
309,0.595703
310,0.603027
311,0.588379
312,0.590820
313,0.593262
314,0.576172
315,0.583496
316,0.585938
317,0.566406
318,0.561523
319,0.563965
320,0.551758
321,0.556641
322,0.539551
323,0.541992
324,0.537109
325,0.529785
326,0.527344
327,0.520020
328,0.517578
329,0.505371
330,0.507812
331,0.510254
332,0.488281
333,0.488281
334,0.488281
335,0.476074
336,0.473633
337,0.466309
338,0.454102
339,0.456543
340,0.449219
341,0.444336
342,0.437012
343,0.424805
344,0.427246
345,0.412598
346,0.402832
347,0.410156
348,0.395508
349,0.390625
350,0.390625
351,0.371094
352,0.366211
353,0.371094
354,0.351562
355,0.344238
356,0.341797
357,0.322266
358,0.332031
359,0.329590
360,0.312500
361,0.302734
362,0.307617
363,0.288086
364,0.278320
365,0.275879
366,0.258789
367,0.258789
368,0.251465
369,0.241699
370,0.229492
371,0.224609
372,0.224609
373,0.209961
374,0.200195
375,0.192871
376,0.195312
377,0.183105
378,0.170898
379,0.161133
380,0.161133
381,0.151367
382,0.139160
383,0.139160
384,0.119629
385,0.124512
386,0.114746
387,0.095215
388,0.092773
389,0.095215
390,0.075684
391,0.065918
392,0.063477
393,0.048828
394,0.041504
395,0.046387
396,0.021973
397,0.012207
398,0.019531
399,0.004883
400,-0.009766
401,-0.012207
402,-0.031738
403,-0.036621
404,-0.039062
405,-0.043945
406,-0.063477
407,-0.068359
408,-0.068359
409,-0.085449
410,-0.095215
411,-0.095215
412,-0.104980
413,-0.107422
414,-0.131836
415,-0.126953
416,-0.136719
417,-0.146484
418,-0.148926
419,-0.168457
420,-0.170898
421,-0.175781
422,-0.187988
423,-0.190430
424,-0.205078
425,-0.209961
426,-0.219727
427,-0.219727
428,-0.231934
429,-0.249023
430,-0.241699
431,-0.258789
432,-0.263672
433,-0.268555
434,-0.285645
435,-0.285645
436,-0.297852
437,-0.305176
438,-0.317383
439,-0.312500
440,-0.322266
441,-0.341797
442,-0.339355
443,-0.349121
444,-0.354004
445,-0.354004
446,-0.375977
447,-0.385742
448,-0.371094
449,-0.395508
450,-0.397949
451,-0.400391
452,-0.410156
453,-0.417480
454,-0.427246
455,-0.437012
456,-0.441895
457,-0.437012
458,-0.449219
459,-0.454102
460,-0.468750
461,-0.466309
462,-0.478516
463,-0.480957
464,-0.488281
465,-0.493164
466,-0.488281
467,-0.505371
468,-0.515137
469,-0.502930
470,-0.522461
471,-0.524902
472,-0.524902
473,-0.541992
474,-0.549316
475,-0.541992
476,-0.561523
477,-0.561523
478,-0.559082
479,-0.566406
480,-0.573730
481,-0.576172
482,-0.585938
483,-0.588379
484,-0.585938
485,-0.598145
486,-0.605469
487,-0.598145
488,-0.610352
489,-0.617676
490,-0.607910
491,-0.625000
492,-0.629883
493,-0.617676
494,-0.629883
495,-0.634766
496,-0.625000
497,-0.639648
498,-0.639648
499,-0.646973
500,-0.644531
501,-0.649414
502,-0.651855
503,-0.659180
504,-0.654297
505,-0.654297
506,-0.656738
507,-0.661621
508,-0.666504
509,-0.671387
510,-0.668945
511,-0.676270
512,-0.673828
513,-0.671387
514,-0.681152
515,-0.671387
516,-0.686035
517,-0.681152
518,-0.678711
519,-0.678711
520,-0.673828
521,-0.678711
522,-0.688477
523,-0.678711
524,-0.686035
525,-0.688477
526,-0.690918
527,-0.690918
528,-0.688477
529,-0.676270
530,-0.688477
531,-0.690918
532,-0.678711
533,-0.683594
534,-0.688477
535,-0.676270
536,-0.688477
537,-0.676270
538,-0.671387
539,-0.688477
540,-0.681152
541,-0.668945
542,-0.678711
543,-0.676270
544,-0.676270
545,-0.671387
546,-0.666504
547,-0.673828
548,-0.668945
549,-0.664062
550,-0.659180
551,-0.659180
552,-0.654297
553,-0.659180
554,-0.649414
555,-0.639648
556,-0.649414
557,-0.644531
558,-0.634766
559,-0.632324
560,-0.632324
561,-0.627441
562,-0.625000
563,-0.622559
564,-0.615234
565,-0.615234
566,-0.620117
567,-0.605469
568,-0.603027
569,-0.603027
570,-0.600586
571,-0.598145
572,-0.590820
573,-0.581055
