Index,Channel_2
1,-0.012207
2,-0.012207
3,-0.007324
4,-0.021973
5,-0.024414
6,-0.017090
7,-0.017090
8,-0.021973
9,-0.026855
10,-0.017090
11,-0.009766
12,-0.017090
13,-0.026855
14,-0.017090
15,-0.021973
16,-0.034180
17,-0.034180
18,-0.031738
19,-0.031738
20,-0.036621
21,-0.029297
22,-0.019531
23,-0.031738
24,-0.039062
25,-0.039062
26,-0.036621
27,-0.039062
28,-0.041504
29,-0.034180
30,-0.043945
31,-0.043945
32,-0.043945
33,-0.043945
34,-0.048828
35,-0.043945
36,-0.041504
37,-0.046387
38,-0.041504
39,-0.041504
40,-0.051270
41,-0.058594
42,-0.053711
43,-0.058594
44,-0.058594
45,-0.051270
46,-0.046387
47,-0.058594
48,-0.063477
49,-0.063477
50,-0.063477
51,-0.065918
52,-0.065918
53,-0.058594
54,-0.058594
55,-0.065918
56,-0.065918
57,-0.065918
58,-0.070801
59,-0.065918
60,-0.068359
61,-0.068359
62,-0.061035
63,-0.070801
64,-0.068359
65,-0.065918
66,-0.070801
67,-0.073242
68,-0.075684
69,-0.070801
70,-0.075684
71,-0.080566
72,-0.078125
73,-0.075684
74,-0.080566
75,-0.080566
76,-0.070801
77,-0.073242
78,-0.083008
79,-0.078125
80,-0.073242
81,-0.083008
82,-0.085449
83,-0.075684
84,-0.078125
85,-0.087891
86,-0.085449
87,-0.085449
88,-0.083008
89,-0.087891
90,-0.075684
91,-0.078125
92,-0.090332
93,-0.080566
94,-0.085449
95,-0.087891
96,-0.097656
97,-0.092773
98,-0.083008
99,-0.090332
100,-0.092773
101,-0.083008
102,-0.090332
103,-0.095215
104,-0.087891
105,-0.085449
106,-0.083008
107,-0.092773
108,-0.090332
109,-0.087891
110,-0.092773
111,-0.100098
112,-0.083008
113,-0.083008
114,-0.095215
115,-0.100098
116,-0.092773
117,-0.100098
118,-0.100098
119,-0.095215
120,-0.085449
121,-0.090332
122,-0.097656
123,-0.090332
124,-0.095215
125,-0.097656
126,-0.092773
127,-0.080566
128,-0.087891
129,-0.100098
130,-0.097656
131,-0.092773
132,-0.095215
133,-0.087891
134,-0.078125
135,-0.085449
136,-0.092773
137,-0.090332
138,-0.085449
139,-0.092773
140,-0.092773
141,-0.097656
142,-0.087891
143,-0.087891
144,-0.095215
145,-0.090332
146,-0.090332
147,-0.092773
148,-0.095215
149,-0.085449
150,-0.083008
151,-0.078125
152,-0.083008
153,-0.085449
154,-0.085449
155,-0.083008
156,-0.087891
157,-0.087891
158,-0.075684
159,-0.083008
160,-0.092773
161,-0.080566
162,-0.083008
163,-0.087891
164,-0.087891
165,-0.085449
166,-0.085449
167,-0.075684
168,-0.078125
169,-0.080566
170,-0.078125
171,-0.083008
172,-0.080566
173,-0.083008
174,-0.078125
175,-0.075684
176,-0.073242
177,-0.073242
178,-0.070801
179,-0.075684
180,-0.075684
181,-0.075684
182,-0.070801
183,-0.058594
184,-0.065918
185,-0.073242
186,-0.068359
187,-0.068359
188,-0.065918
189,-0.063477
190,-0.061035
191,-0.056152
192,-0.070801
193,-0.068359
194,-0.061035
195,-0.058594
196,-0.063477
197,-0.058594
198,-0.056152
199,-0.053711
200,-0.058594
201,-0.053711
202,-0.053711
203,-0.056152
204,-0.051270
205,-0.048828
206,-0.053711
207,-0.053711
208,-0.051270
209,-0.051270
210,-0.048828
211,-0.036621
212,-0.041504
213,-0.048828
214,-0.046387
215,-0.043945
216,-0.041504
217,-0.043945
218,-0.036621
219,-0.043945
220,-0.039062
221,-0.036621
222,-0.031738
223,-0.039062
224,-0.029297
225,-0.019531
226,-0.029297
227,-0.031738
228,-0.021973
229,-0.024414
230,-0.031738
231,-0.031738
232,-0.019531
233,-0.021973
234,-0.014648
235,-0.021973
236,-0.017090
237,-0.019531
238,-0.017090
239,-0.017090
240,-0.007324
241,-0.007324
242,-0.012207
243,-0.017090
244,-0.007324
245,-0.009766
246,-0.009766
247,-0.004883
248,-0.002441
249,-0.004883
250,-0.002441
251,-0.004883
252,0.000000
253,-0.004883
254,0.004883
255,0.007324
256,0.014648
257,0.014648
258,0.007324
259,0.009766
260,0.009766
261,0.004883
262,0.000000
263,0.004883
264,0.017090
265,0.004883
266,0.007324
267,0.012207
268,0.009766
269,0.012207
270,0.017090
271,0.029297
272,0.021973
273,0.014648
274,0.019531
275,0.021973
276,0.021973
277,0.024414
278,0.039062
279,0.039062
280,0.029297
281,0.029297
282,0.039062
283,0.034180
284,0.026855
285,0.031738
286,0.039062
287,0.041504
288,0.034180
289,0.036621
290,0.036621
291,0.041504
292,0.041504
293,0.048828
294,0.041504
295,0.039062
296,0.039062
297,0.041504
298,0.041504
299,0.048828
300,0.061035
301,0.058594
302,0.053711
303,0.048828
304,0.058594
305,0.051270
306,0.051270
307,0.056152
308,0.065918
309,0.063477
310,0.053711
311,0.063477
312,0.061035
313,0.053711
314,0.058594
315,0.065918
316,0.068359
317,0.061035
318,0.061035
319,0.068359
320,0.065918
321,0.063477
322,0.070801
323,0.080566
324,0.068359
325,0.063477
326,0.078125
327,0.078125
328,0.063477
329,0.073242
330,0.075684
331,0.075684
332,0.070801
333,0.075684
334,0.078125
335,0.075684
336,0.080566
337,0.083008
338,0.087891
339,0.080566
340,0.080566
341,0.078125
342,0.080566
343,0.078125
344,0.073242
345,0.083008
346,0.090332
347,0.083008
348,0.080566
349,0.083008
350,0.083008
351,0.080566
352,0.085449
353,0.085449
354,0.085449
355,0.083008
356,0.087891
357,0.083008
358,0.080566
359,0.083008
360,0.097656
361,0.085449
362,0.083008
363,0.087891
364,0.092773
365,0.085449
366,0.087891
367,0.092773
368,0.090332
369,0.087891
370,0.083008
371,0.087891
372,0.083008
373,0.080566
374,0.087891
375,0.095215
376,0.087891
377,0.085449
378,0.092773
379,0.085449
380,0.085449
381,0.097656
382,0.102539
383,0.087891
384,0.085449
385,0.092773
386,0.087891
387,0.087891
388,0.085449
389,0.090332
390,0.092773
391,0.083008
392,0.085449
393,0.095215
394,0.083008
395,0.075684
396,0.085449
397,0.100098
398,0.085449
399,0.085449
400,0.087891
401,0.085449
402,0.083008
403,0.080566
404,0.083008
405,0.080566
406,0.078125
407,0.087891
408,0.083008
409,0.078125
410,0.083008
411,0.083008
412,0.073242
413,0.083008
414,0.083008
415,0.085449
416,0.080566
417,0.075684
418,0.078125
419,0.083008
420,0.078125
421,0.085449
422,0.080566
423,0.068359
424,0.073242
425,0.073242
426,0.070801
427,0.068359
428,0.080566
429,0.080566
430,0.068359
431,0.070801
432,0.075684
433,0.070801
434,0.061035
435,0.065918
436,0.075684
437,0.073242
438,0.058594
439,0.065918
440,0.070801
441,0.058594
442,0.061035
443,0.063477
444,0.056152
445,0.053711
446,0.056152
447,0.068359
448,0.068359
449,0.061035
450,0.048828
451,0.063477
452,0.061035
453,0.048828
454,0.048828
455,0.058594
456,0.056152
457,0.048828
458,0.039062
459,0.051270
460,0.051270
461,0.039062
462,0.048828
463,0.051270
464,0.046387
465,0.046387
466,0.036621
467,0.041504
468,0.039062
469,0.034180
470,0.039062
471,0.046387
472,0.036621
473,0.029297
474,0.034180
475,0.036621
476,0.021973
477,0.024414
478,0.036621
479,0.034180
480,0.017090
481,0.021973
482,0.021973
483,0.019531
484,0.021973
485,0.031738
486,0.026855
487,0.017090
488,0.012207
489,0.014648
490,0.019531
491,0.014648
492,0.017090
493,0.014648
494,0.002441
495,0.007324
496,0.009766
497,0.009766
498,0.007324
499,0.007324
500,0.014648
501,-0.002441
502,-0.009766
503,-0.002441
504,-0.002441
505,-0.004883
506,-0.002441
507,0.004883
508,0.002441
509,-0.012207
510,-0.009766
511,-0.007324
512,-0.007324
513,-0.007324
514,0.002441
515,-0.007324
516,-0.019531
517,-0.017090
518,-0.014648
519,-0.024414
520,-0.024414
521,-0.014648
522,-0.019531
523,-0.017090
524,-0.021973
525,-0.024414
526,-0.017090
527,-0.026855
528,-0.026855
529,-0.029297
530,-0.026855
531,-0.026855
532,-0.021973
533,-0.031738
534,-0.034180
535,-0.036621
536,-0.031738
537,-0.036621
538,-0.039062
539,-0.036621
540,-0.031738
541,-0.039062
542,-0.039062
543,-0.041504
544,-0.043945
545,-0.048828
546,-0.041504
547,-0.046387
548,-0.041504
549,-0.039062
550,-0.046387
551,-0.041504
552,-0.048828
553,-0.051270
554,-0.051270
555,-0.048828
556,-0.053711
557,-0.056152
558,-0.061035
559,-0.058594
560,-0.051270
561,-0.058594
562,-0.056152
563,-0.053711
564,-0.053711
565,-0.065918
566,-0.063477
567,-0.063477
568,-0.065918
569,-0.068359
570,-0.061035
571,-0.056152
572,-0.061035
573,-0.065918
574,-0.068359
575,-0.065918
576,-0.070801
577,-0.075684
578,-0.068359
579,-0.070801
580,-0.078125
581,-0.075684
582,-0.075684
583,-0.078125
584,-0.080566
585,-0.070801
586,-0.070801
587,-0.085449
588,-0.083008
589,-0.078125
590,-0.078125
591,-0.080566
592,-0.070801
593,-0.068359
594,-0.083008
595,-0.080566
596,-0.083008
597,-0.083008
598,-0.083008
599,-0.085449
600,-0.083008
601,-0.075684
602,-0.075684
603,-0.080566
604,-0.085449
605,-0.080566
606,-0.090332
607,-0.085449
608,-0.085449
609,-0.090332
610,-0.083008
611,-0.083008
612,-0.085449
613,-0.095215
614,-0.087891
615,-0.087891
616,-0.095215
617,-0.095215
618,-0.092773
619,-0.080566
620,-0.085449
621,-0.092773
622,-0.090332
623,-0.085449
624,-0.095215
625,-0.092773
626,-0.080566
627,-0.087891
628,-0.102539
629,-0.097656
630,-0.085449
631,-0.097656
632,-0.102539
633,-0.087891
634,-0.085449
635,-0.100098
636,-0.092773
637,-0.095215
638,-0.092773
639,-0.100098
640,-0.087891
641,-0.080566
642,-0.090332
643,-0.097656
644,-0.092773
645,-0.090332
646,-0.090332
647,-0.100098
648,-0.097656
649,-0.092773
650,-0.083008
651,-0.085449
652,-0.097656
653,-0.097656
654,-0.095215
655,-0.090332
656,-0.090332
657,-0.085449
658,-0.085449
659,-0.078125
660,-0.092773
661,-0.095215
662,-0.090332
663,-0.092773
664,-0.090332
665,-0.090332
666,-0.073242
667,-0.070801
668,-0.083008
669,-0.083008
670,-0.087891
671,-0.085449
672,-0.085449
673,-0.080566
674,-0.075684
675,-0.075684
676,-0.085449
677,-0.078125
678,-0.073242
679,-0.085449
680,-0.083008
681,-0.068359
682,-0.078125
683,-0.083008
684,-0.078125
685,-0.075684
686,-0.075684
687,-0.080566
688,-0.075684
689,-0.065918
690,-0.065918
691,-0.073242
692,-0.070801
693,-0.068359
694,-0.075684
695,-0.078125
696,-0.068359
697,-0.065918
698,-0.065918
699,-0.070801
700,-0.063477
701,-0.065918
702,-0.075684
703,-0.063477
704,-0.056152
705,-0.061035
706,-0.073242
707,-0.056152
708,-0.053711
709,-0.063477
710,-0.053711
711,-0.046387
712,-0.051270
713,-0.056152
714,-0.053711
715,-0.051270
716,-0.056152
717,-0.056152
718,-0.039062
719,-0.041504
720,-0.051270
721,-0.046387
722,-0.048828
723,-0.043945
724,-0.048828
725,-0.036621
726,-0.041504
727,-0.051270
728,-0.043945
729,-0.041504
730,-0.039062
731,-0.034180
732,-0.026855
733,-0.029297
734,-0.036621
735,-0.036621
736,-0.034180
737,-0.031738
738,-0.034180
739,-0.019531
740,-0.019531
741,-0.029297
742,-0.021973
743,-0.021973
744,-0.031738
745,-0.026855
746,-0.012207
747,-0.017090
748,-0.017090
749,-0.019531
750,-0.017090
751,-0.014648
752,-0.014648
753,-0.002441
754,-0.002441
755,-0.009766
756,-0.012207
757,-0.009766
758,-0.009766
759,-0.007324
760,0.000000
761,0.000000
762,-0.012207
763,0.000000
764,-0.002441
765,0.004883
766,-0.004883
767,0.000000
768,0.004883
769,0.007324
770,0.007324
771,0.009766
772,0.012207
773,0.012207
774,0.009766
775,0.002441
776,0.007324
777,0.004883
778,0.009766
779,0.012207
780,0.014648
781,0.012207
782,0.014648
783,0.017090
784,0.017090
785,0.017090
786,0.021973
787,0.036621
788,0.041504
789,0.029297
790,0.031738
791,0.031738
792,0.026855
793,0.029297
794,0.034180
795,0.034180
796,0.036621
797,0.041504
798,0.029297
799,0.039062
800,0.036621
801,0.034180
802,0.034180
803,0.048828
804,0.048828
805,0.043945
806,0.041504
807,0.043945
808,0.043945
809,0.039062
810,0.043945
811,0.053711
812,0.051270
813,0.046387
814,0.058594
815,0.053711
816,0.046387
817,0.051270
818,0.056152
819,0.053711
820,0.051270
821,0.056152
822,0.053711
823,0.046387
824,0.058594
825,0.070801
826,0.068359
827,0.056152
828,0.063477
829,0.068359
830,0.058594
831,0.058594
832,0.073242
833,0.070801
834,0.063477
835,0.068359
836,0.078125
837,0.070801
838,0.065918
839,0.080566
840,0.073242
841,0.070801
842,0.068359
843,0.075684
844,0.068359
845,0.063477
846,0.073242
847,0.085449
848,0.078125
849,0.080566
850,0.078125
851,0.083008
852,0.073242
853,0.078125
854,0.083008
855,0.078125
856,0.078125
857,0.078125
858,0.080566
859,0.075684
860,0.073242
861,0.075684
862,0.090332
863,0.092773
864,0.083008
865,0.087891
866,0.087891
867,0.078125
868,0.083008
869,0.085449
870,0.085449
871,0.090332
872,0.090332
873,0.085449
874,0.085449
875,0.085449
876,0.085449
877,0.085449
878,0.095215
879,0.092773
880,0.087891
881,0.080566
882,0.087891
883,0.087891
884,0.080566
885,0.090332
886,0.097656
887,0.092773
888,0.087891
889,0.092773
890,0.085449
891,0.083008
892,0.092773
893,0.092773
894,0.092773
895,0.083008
896,0.092773
897,0.083008
898,0.087891
899,0.087891
900,0.085449
901,0.087891
902,0.095215
903,0.092773
904,0.087891
905,0.090332
906,0.087891
907,0.090332
908,0.090332
909,0.097656
910,0.087891
911,0.080566
912,0.085449
913,0.087891
914,0.080566
915,0.085449
916,0.090332
917,0.080566
918,0.083008
919,0.085449
920,0.083008
921,0.075684
922,0.080566
923,0.085449
924,0.095215
925,0.080566
926,0.078125
927,0.085449
928,0.075684
929,0.075684
930,0.078125
931,0.083008
932,0.083008
933,0.073242
934,0.080566
935,0.075684
936,0.068359
937,0.065918
938,0.073242
939,0.078125
940,0.065918
941,0.061035
942,0.068359
943,0.075684
944,0.061035
945,0.063477
946,0.068359
947,0.068359
948,0.078125
949,0.075684
950,0.070801
951,0.065918
952,0.070801
953,0.058594
954,0.056152
955,0.061035
956,0.068359
957,0.065918
958,0.053711
959,0.063477
960,0.058594
961,0.061035
962,0.053711
963,0.048828
964,0.053711
965,0.051270
966,0.053711
967,0.051270
968,0.051270
969,0.051270
970,0.041504
971,0.046387
972,0.043945
973,0.048828
974,0.046387
975,0.041504
976,0.041504
977,0.041504
978,0.036621
979,0.041504
980,0.051270
981,0.048828
982,0.034180
983,0.036621
984,0.039062
985,0.034180
986,0.024414
987,0.034180
988,0.041504
989,0.041504
990,0.029297
991,0.026855
992,0.029297
993,0.029297
994,0.024414
995,0.026855
996,0.026855
997,0.031738
998,0.026855
999,0.017090
1000,0.019531
1001,0.019531
1002,0.012207
1003,0.014648
1004,0.014648
1005,0.017090
1006,0.009766
1007,0.009766
1008,0.007324
1009,0.007324
1010,0.004883
1011,0.012207
1012,0.017090
1013,0.014648
1014,0.007324
1015,0.007324
1016,0.007324
1017,-0.004883
1018,-0.007324
1019,0.002441
1020,0.004883
1021,-0.004883
1022,-0.004883
1023,-0.007324
1024,-0.002441
