Index,Channel_2
1,0.141602
2,0.136719
3,0.136719
4,0.129395
5,0.122070
6,0.112305
7,0.102539
8,0.100098
9,0.100098
10,0.097656
11,0.078125
12,0.070801
13,0.056152
14,0.053711
15,0.048828
16,0.034180
17,0.031738
18,0.021973
19,0.019531
20,0.017090
21,0.017090
22,0.002441
23,-0.002441
24,-0.012207
25,-0.019531
26,-0.012207
27,-0.024414
28,-0.036621
29,-0.048828
30,-0.061035
31,-0.061035
32,-0.065918
33,-0.083008
34,-0.078125
35,-0.095215
36,-0.100098
37,-0.107422
38,-0.107422
39,-0.124512
40,-0.124512
41,-0.136719
42,-0.144043
43,-0.134277
44,-0.148926
45,-0.156250
46,-0.168457
47,-0.170898
48,-0.185547
49,-0.183105
50,-0.192871
51,-0.202637
52,-0.212402
53,-0.224609
54,-0.217285
55,-0.227051
56,-0.234375
57,-0.241699
58,-0.246582
59,-0.263672
60,-0.261230
61,-0.266113
62,-0.270996
63,-0.266113
64,-0.290527
65,-0.292969
66,-0.297852
67,-0.288086
68,-0.314941
69,-0.312500
70,-0.324707
71,-0.319824
72,-0.332031
73,-0.329590
74,-0.341797
75,-0.346680
76,-0.344238
77,-0.363770
78,-0.361328
79,-0.361328
80,-0.375977
81,-0.380859
82,-0.390625
83,-0.380859
84,-0.397949
85,-0.397949
86,-0.407715
87,-0.400391
88,-0.422363
89,-0.419922
90,-0.422363
91,-0.429688
92,-0.437012
93,-0.444336
94,-0.441895
95,-0.458984
96,-0.446777
97,-0.454102
98,-0.463867
99,-0.466309
100,-0.466309
101,-0.471191
102,-0.480957
103,-0.483398
104,-0.485840
105,-0.485840
106,-0.498047
107,-0.495605
108,-0.490723
109,-0.505371
110,-0.507812
111,-0.515137
112,-0.510254
113,-0.517578
114,-0.515137
115,-0.520020
116,-0.527344
117,-0.527344
118,-0.537109
119,-0.522461
120,-0.537109
121,-0.534668
122,-0.539551
123,-0.537109
124,-0.544434
125,-0.549316
126,-0.541992
127,-0.559082
128,-0.556641
129,-0.561523
130,-0.556641
131,-0.559082
132,-0.561523
133,-0.566406
134,-0.563965
135,-0.571289
136,-0.578613
137,-0.566406
138,-0.578613
139,-0.576172
140,-0.581055
141,-0.573730
142,-0.585938
143,-0.578613
144,-0.588379
145,-0.581055
146,-0.585938
147,-0.585938
148,-0.581055
149,-0.581055
150,-0.566406
151,-0.585938
152,-0.581055
153,-0.588379
154,-0.583496
155,-0.585938
156,-0.585938
157,-0.573730
158,-0.588379
159,-0.588379
160,-0.585938
161,-0.566406
162,-0.583496
163,-0.576172
164,-0.566406
165,-0.576172
166,-0.571289
167,-0.576172
168,-0.571289
169,-0.578613
170,-0.576172
171,-0.573730
172,-0.551758
173,-0.559082
174,-0.556641
175,-0.549316
176,-0.556641
177,-0.551758
178,-0.549316
179,-0.539551
180,-0.546875
181,-0.539551
182,-0.541992
183,-0.537109
184,-0.532227
185,-0.527344
186,-0.527344
187,-0.532227
188,-0.527344
189,-0.527344
190,-0.505371
191,-0.507812
192,-0.505371
193,-0.505371
194,-0.498047
195,-0.502930
196,-0.483398
197,-0.485840
198,-0.483398
199,-0.483398
200,-0.480957
201,-0.466309
202,-0.461426
203,-0.461426
204,-0.456543
205,-0.458984
206,-0.456543
207,-0.454102
208,-0.439453
209,-0.441895
210,-0.434570
211,-0.427246
212,-0.429688
213,-0.419922
214,-0.410156
215,-0.407715
216,-0.405273
217,-0.400391
218,-0.388184
219,-0.390625
220,-0.378418
221,-0.378418
222,-0.363770
223,-0.371094
224,-0.366211
225,-0.351562
226,-0.351562
227,-0.346680
228,-0.341797
229,-0.332031
230,-0.327148
231,-0.317383
232,-0.314941
233,-0.307617
234,-0.302734
235,-0.297852
236,-0.285645
237,-0.280762
238,-0.278320
239,-0.263672
240,-0.266113
241,-0.256348
242,-0.246582
243,-0.241699
244,-0.236816
245,-0.234375
246,-0.219727
247,-0.219727
248,-0.217285
249,-0.205078
250,-0.202637
251,-0.192871
252,-0.197754
253,-0.185547
254,-0.175781
255,-0.161133
256,-0.158691
257,-0.146484
258,-0.146484
259,-0.141602
260,-0.126953
261,-0.126953
262,-0.122070
263,-0.117188
264,-0.100098
265,-0.097656
266,-0.087891
267,-0.087891
268,-0.073242
269,-0.070801
270,-0.065918
271,-0.058594
272,-0.043945
273,-0.039062
274,-0.034180
275,-0.019531
276,-0.021973
277,-0.014648
278,0.004883
279,-0.009766
280,0.000000
281,0.014648
282,0.019531
283,0.029297
284,0.043945
285,0.046387
286,0.053711
287,0.056152
288,0.065918
289,0.073242
290,0.080566
291,0.087891
292,0.095215
293,0.102539
294,0.112305
295,0.117188
296,0.129395
297,0.129395
298,0.134277
299,0.141602
300,0.153809
301,0.163574
302,0.158691
303,0.161133
304,0.178223
305,0.175781
306,0.195312
307,0.195312
308,0.202637
309,0.214844
310,0.212402
311,0.217285
312,0.219727
313,0.231934
314,0.239258
315,0.241699
316,0.244141
317,0.261230
318,0.268555
319,0.273438
320,0.280762
321,0.290527
322,0.288086
323,0.297852
324,0.302734
325,0.312500
326,0.307617
327,0.319824
328,0.317383
329,0.329590
330,0.341797
331,0.339355
332,0.349121
333,0.346680
334,0.356445
335,0.366211
336,0.368652
337,0.378418
338,0.385742
339,0.383301
340,0.385742
341,0.407715
342,0.393066
343,0.402832
344,0.400391
345,0.415039
346,0.422363
347,0.424805
348,0.429688
349,0.432129
350,0.446777
351,0.437012
352,0.446777
353,0.449219
354,0.461426
355,0.456543
356,0.454102
357,0.466309
358,0.473633
359,0.473633
360,0.473633
361,0.476074
362,0.483398
363,0.488281
364,0.495605
365,0.493164
366,0.502930
367,0.498047
368,0.495605
369,0.507812
370,0.520020
371,0.512695
372,0.520020
373,0.520020
374,0.520020
375,0.524902
376,0.527344
377,0.532227
378,0.527344
379,0.534668
380,0.541992
381,0.539551
382,0.544434
383,0.537109
384,0.554199
385,0.544434
386,0.551758
387,0.556641
388,0.554199
389,0.549316
390,0.551758
391,0.561523
392,0.561523
393,0.563965
394,0.554199
395,0.561523
396,0.561523
397,0.563965
398,0.563965
399,0.573730
400,0.566406
401,0.561523
402,0.559082
403,0.563965
404,0.578613
405,0.566406
406,0.571289
407,0.563965
408,0.576172
409,0.571289
410,0.571289
411,0.571289
412,0.576172
413,0.571289
414,0.571289
415,0.581055
416,0.566406
417,0.561523
418,0.563965
419,0.563965
420,0.561523
421,0.566406
422,0.556641
423,0.556641
424,0.556641
425,0.546875
426,0.566406
427,0.551758
428,0.551758
429,0.541992
430,0.554199
431,0.537109
432,0.541992
433,0.539551
434,0.537109
435,0.529785
436,0.534668
437,0.534668
438,0.532227
439,0.527344
440,0.517578
441,0.520020
442,0.515137
443,0.520020
444,0.517578
445,0.507812
446,0.507812
447,0.498047
448,0.505371
449,0.495605
450,0.493164
451,0.488281
452,0.483398
453,0.480957
454,0.478516
455,0.478516
456,0.463867
457,0.463867
458,0.458984
459,0.461426
460,0.458984
461,0.446777
462,0.444336
463,0.444336
464,0.429688
465,0.432129
466,0.432129
467,0.417480
468,0.412598
469,0.410156
470,0.415039
471,0.405273
472,0.400391
473,0.385742
474,0.388184
475,0.378418
476,0.378418
477,0.371094
478,0.373535
479,0.361328
480,0.354004
481,0.344238
482,0.356445
483,0.336914
484,0.334473
485,0.322266
486,0.324707
487,0.312500
488,0.310059
489,0.297852
490,0.297852
491,0.297852
492,0.273438
493,0.280762
494,0.275879
495,0.266113
496,0.258789
497,0.249023
498,0.251465
499,0.244141
500,0.239258
501,0.219727
502,0.229492
503,0.207520
504,0.209961
505,0.205078
506,0.195312
507,0.180664
508,0.175781
509,0.173340
510,0.170898
511,0.168457
512,0.158691
513,0.146484
514,0.136719
515,0.134277
516,0.129395
517,0.119629
518,0.109863
519,0.117188
520,0.097656
521,0.102539
522,0.092773
523,0.075684
524,0.068359
525,0.061035
526,0.061035
527,0.056152
528,0.043945
529,0.024414
530,0.034180
531,0.021973
532,0.017090
533,0.004883
534,0.000000
535,-0.004883
536,-0.017090
537,-0.019531
538,-0.031738
539,-0.036621
540,-0.041504
541,-0.053711
542,-0.058594
543,-0.063477
544,-0.058594
545,-0.078125
546,-0.087891
547,-0.100098
548,-0.097656
549,-0.107422
550,-0.112305
551,-0.126953
552,-0.119629
553,-0.134277
554,-0.129395
555,-0.139160
556,-0.148926
557,-0.156250
558,-0.168457
559,-0.166016
560,-0.180664
561,-0.183105
562,-0.197754
563,-0.192871
564,-0.209961
565,-0.209961
566,-0.214844
567,-0.229492
568,-0.231934
569,-0.241699
570,-0.244141
571,-0.253906
572,-0.256348
573,-0.261230
574,-0.270996
575,-0.275879
576,-0.280762
577,-0.288086
578,-0.295410
579,-0.302734
580,-0.302734
581,-0.312500
582,-0.317383
583,-0.319824
584,-0.332031
585,-0.336914
586,-0.346680
587,-0.341797
588,-0.354004
589,-0.354004
590,-0.363770
591,-0.373535
592,-0.375977
593,-0.375977
594,-0.385742
595,-0.385742
596,-0.397949
597,-0.402832
598,-0.390625
599,-0.415039
600,-0.412598
601,-0.422363
602,-0.424805
603,-0.429688
604,-0.434570
605,-0.434570
606,-0.451660
607,-0.444336
608,-0.461426
609,-0.449219
610,-0.461426
611,-0.461426
612,-0.468750
613,-0.480957
614,-0.478516
615,-0.473633
616,-0.485840
617,-0.490723
618,-0.498047
619,-0.493164
620,-0.500488
621,-0.502930
622,-0.505371
623,-0.515137
624,-0.517578
625,-0.512695
626,-0.515137
627,-0.524902
628,-0.532227
629,-0.527344
630,-0.534668
631,-0.529785
632,-0.541992
633,-0.539551
634,-0.551758
635,-0.546875
636,-0.539551
637,-0.551758
638,-0.554199
639,-0.554199
640,-0.549316
641,-0.566406
642,-0.559082
643,-0.556641
644,-0.573730
645,-0.571289
646,-0.573730
647,-0.563965
648,-0.573730
649,-0.576172
650,-0.573730
651,-0.581055
652,-0.573730
653,-0.573730
654,-0.566406
655,-0.590820
656,-0.583496
657,-0.578613
658,-0.578613
659,-0.581055
660,-0.585938
661,-0.576172
662,-0.593262
663,-0.588379
664,-0.578613
665,-0.581055
666,-0.590820
667,-0.585938
668,-0.578613
669,-0.585938
670,-0.583496
671,-0.593262
672,-0.583496
673,-0.588379
674,-0.576172
675,-0.571289
676,-0.573730
677,-0.576172
678,-0.578613
679,-0.563965
680,-0.571289
681,-0.561523
682,-0.566406
683,-0.561523
684,-0.556641
685,-0.559082
686,-0.556641
687,-0.561523
688,-0.556641
689,-0.551758
690,-0.549316
691,-0.544434
692,-0.541992
693,-0.541992
694,-0.539551
695,-0.534668
696,-0.529785
697,-0.524902
698,-0.524902
699,-0.522461
700,-0.524902
701,-0.510254
702,-0.510254
703,-0.512695
704,-0.512695
705,-0.512695
706,-0.500488
707,-0.498047
708,-0.493164
709,-0.490723
710,-0.495605
711,-0.483398
712,-0.476074
713,-0.471191
714,-0.471191
715,-0.468750
716,-0.466309
717,-0.456543
718,-0.454102
719,-0.454102
720,-0.444336
721,-0.449219
722,-0.437012
723,-0.427246
724,-0.427246
725,-0.424805
726,-0.424805
727,-0.407715
728,-0.395508
729,-0.400391
730,-0.385742
731,-0.397949
732,-0.383301
733,-0.378418
734,-0.371094
735,-0.366211
736,-0.363770
737,-0.356445
738,-0.349121
739,-0.344238
740,-0.339355
741,-0.332031
742,-0.327148
743,-0.329590
744,-0.310059
745,-0.310059
746,-0.302734
747,-0.305176
748,-0.295410
749,-0.285645
750,-0.273438
751,-0.275879
752,-0.270996
753,-0.266113
754,-0.256348
755,-0.246582
756,-0.241699
757,-0.229492
758,-0.227051
759,-0.224609
760,-0.212402
761,-0.205078
762,-0.202637
763,-0.202637
764,-0.187988
765,-0.180664
766,-0.168457
767,-0.166016
768,-0.156250
769,-0.156250
770,-0.141602
771,-0.139160
772,-0.136719
773,-0.134277
774,-0.129395
775,-0.117188
776,-0.095215
777,-0.095215
778,-0.092773
779,-0.087891
780,-0.083008
781,-0.068359
782,-0.068359
783,-0.058594
784,-0.056152
785,-0.048828
786,-0.039062
787,-0.021973
788,-0.026855
789,-0.017090
790,-0.009766
791,0.000000
792,0.004883
793,0.012207
794,0.021973
795,0.029297
796,0.031738
797,0.041504
798,0.046387
799,0.051270
800,0.056152
801,0.075684
802,0.078125
803,0.087891
804,0.092773
805,0.097656
806,0.102539
807,0.112305
808,0.122070
809,0.124512
810,0.129395
811,0.129395
812,0.144043
813,0.158691
814,0.158691
815,0.166016
816,0.170898
817,0.180664
818,0.190430
819,0.195312
820,0.200195
821,0.205078
822,0.209961
823,0.217285
824,0.224609
825,0.231934
826,0.239258
827,0.244141
828,0.256348
829,0.258789
830,0.266113
831,0.266113
832,0.268555
833,0.278320
834,0.292969
835,0.297852
836,0.297852
837,0.305176
838,0.312500
839,0.327148
840,0.329590
841,0.336914
842,0.334473
843,0.344238
844,0.349121
845,0.354004
846,0.356445
847,0.363770
848,0.361328
849,0.368652
850,0.375977
851,0.383301
852,0.388184
853,0.390625
854,0.402832
855,0.402832
856,0.410156
857,0.412598
858,0.422363
859,0.424805
860,0.429688
861,0.439453
862,0.439453
863,0.444336
864,0.449219
865,0.454102
866,0.454102
867,0.458984
868,0.458984
869,0.458984
870,0.471191
871,0.471191
872,0.483398
873,0.480957
874,0.488281
875,0.480957
876,0.485840
877,0.493164
878,0.495605
879,0.500488
880,0.507812
881,0.507812
882,0.510254
883,0.512695
884,0.522461
885,0.515137
886,0.529785
887,0.529785
888,0.539551
889,0.527344
890,0.532227
891,0.539551
892,0.532227
893,0.539551
894,0.539551
895,0.549316
896,0.539551
897,0.549316
898,0.551758
899,0.554199
900,0.554199
901,0.554199
902,0.566406
903,0.556641
904,0.563965
905,0.556641
906,0.561523
907,0.563965
908,0.566406
909,0.563965
910,0.573730
911,0.561523
912,0.563965
913,0.571289
914,0.573730
915,0.571289
916,0.573730
917,0.571289
918,0.571289
919,0.573730
920,0.573730
921,0.578613
922,0.578613
923,0.578613
924,0.573730
925,0.578613
926,0.566406
927,0.581055
928,0.563965
929,0.566406
930,0.561523
931,0.561523
932,0.561523
933,0.561523
934,0.573730
935,0.573730
936,0.563965
937,0.556641
938,0.551758
939,0.556641
940,0.556641
941,0.556641
942,0.549316
943,0.546875
944,0.539551
945,0.546875
946,0.541992
947,0.539551
948,0.539551
949,0.532227
950,0.532227
951,0.537109
952,0.524902
953,0.522461
954,0.517578
955,0.515137
956,0.510254
957,0.517578
958,0.507812
959,0.507812
960,0.498047
961,0.495605
962,0.490723
963,0.493164
964,0.495605
965,0.488281
966,0.476074
967,0.471191
968,0.471191
969,0.476074
970,0.463867
971,0.461426
972,0.454102
973,0.454102
974,0.439453
975,0.441895
976,0.439453
977,0.427246
978,0.427246
979,0.427246
980,0.417480
981,0.415039
982,0.410156
983,0.405273
984,0.395508
985,0.390625
986,0.388184
987,0.383301
988,0.378418
989,0.375977
990,0.366211
991,0.366211
992,0.358887
993,0.346680
994,0.341797
995,0.332031
996,0.334473
997,0.329590
998,0.324707
999,0.314941
1000,0.307617
1001,0.300293
1002,0.297852
1003,0.290527
1004,0.297852
1005,0.280762
1006,0.275879
1007,0.266113
1008,0.258789
1009,0.251465
1010,0.246582
1011,0.246582
1012,0.231934
1013,0.227051
1014,0.222168
1015,0.212402
1016,0.212402
1017,0.195312
1018,0.200195
1019,0.190430
1020,0.185547
1021,0.175781
1022,0.170898
1023,0.158691
1024,0.158691
