Index,Channel_2
1,-0.080566
2,-0.078125
3,-0.065918
4,-0.056152
5,-0.036621
6,-0.024414
7,-0.009766
8,-0.002441
9,0.014648
10,0.019531
11,0.034180
12,0.046387
13,0.058594
14,0.075684
15,0.080566
16,0.102539
17,0.107422
18,0.126953
19,0.136719
20,0.151367
21,0.161133
22,0.173340
23,0.183105
24,0.192871
25,0.202637
26,0.229492
27,0.227051
28,0.239258
29,0.253906
30,0.266113
31,0.278320
32,0.288086
33,0.297852
34,0.319824
35,0.327148
36,0.334473
37,0.344238
38,0.358887
39,0.371094
40,0.385742
41,0.393066
42,0.407715
43,0.417480
44,0.427246
45,0.437012
46,0.451660
47,0.458984
48,0.478516
49,0.483398
50,0.495605
51,0.505371
52,0.524902
53,0.527344
54,0.546875
55,0.549316
56,0.559082
57,0.563965
58,0.578613
59,0.588379
60,0.598145
61,0.603027
62,0.620117
63,0.627441
64,0.639648
65,0.642090
66,0.649414
67,0.659180
68,0.668945
69,0.683594
70,0.688477
71,0.695801
72,0.700684
73,0.715332
74,0.717773
75,0.732422
76,0.737305
77,0.756836
78,0.759277
79,0.773926
80,0.773926
81,0.781250
82,0.791016
83,0.791016
84,0.795898
85,0.808105
86,0.812988
87,0.825195
88,0.830078
89,0.842285
90,0.844727
91,0.856934
92,0.859375
93,0.871582
94,0.871582
95,0.881348
96,0.883789
97,0.891113
98,0.893555
99,0.898438
100,0.908203
101,0.917969
102,0.920410
103,0.930176
104,0.935059
105,0.942383
106,0.942383
107,0.954590
108,0.954590
109,0.969238
110,0.961914
111,0.971680
112,0.969238
113,0.979004
114,0.971680
115,0.983887
116,0.981445
117,0.993652
118,0.988770
119,0.991211
120,0.991211
121,1.000977
122,1.003418
123,1.003418
124,1.000977
125,1.005859
126,1.003418
127,1.003418
128,1.008301
129,1.008301
130,1.013184
131,1.013184
132,1.018066
133,1.018066
134,1.025391
135,1.018066
136,1.020508
137,1.018066
138,1.027832
139,1.018066
140,1.022949
141,1.015625
142,1.022949
143,1.013184
144,1.013184
145,1.010742
146,1.008301
147,1.015625
148,1.010742
149,1.013184
150,1.000977
151,0.998535
152,0.993652
153,0.998535
154,0.996094
155,0.986328
156,0.986328
157,0.988770
158,0.979004
159,0.979004
160,0.981445
161,0.974121
162,0.971680
163,0.966797
164,0.966797
165,0.961914
166,0.952148
167,0.957031
168,0.942383
169,0.947266
170,0.939941
171,0.925293
172,0.937500
173,0.920410
174,0.920410
175,0.920410
176,0.908203
177,0.900879
178,0.893555
179,0.886230
180,0.876465
181,0.869141
182,0.864258
183,0.859375
184,0.852051
185,0.839844
186,0.832520
187,0.827637
188,0.825195
189,0.812988
190,0.810547
191,0.793457
192,0.803223
193,0.783691
194,0.778809
195,0.766602
196,0.759277
197,0.749512
198,0.739746
199,0.729980
200,0.725098
