frequency;V(/BPF) (phase);V(/BPF) (gain);V(/BSF) (phase);V(/BSF) (gain);V(/HPF) (phase);V(/HPF) (gain);V(/LPF) (phase);V(/LPF) (gain);
1;-90.3349;-60.1154;179.994;-0.00013234;179.328;-120.231;-0.0056999;-0.000123882;
1.02329;-90.3276;-59.9154;179.994;-0.000132342;179.343;-119.831;-0.00583267;-0.000123485;
1.04713;-90.3204;-59.7154;179.994;-0.000132344;179.358;-119.431;-0.00596853;-0.00012307;
1.07152;-90.3134;-59.5154;179.994;-0.000132346;179.372;-119.031;-0.00610756;-0.000122635;
1.09648;-90.3065;-59.3154;179.994;-0.000132349;179.386;-118.631;-0.00624982;-0.00012218;
1.12202;-90.2998;-59.1154;179.994;-0.000132351;179.4;-118.231;-0.0063954;-0.000121703;
1.14815;-90.2933;-58.9154;179.993;-0.000132354;179.413;-117.831;-0.00654437;-0.000121204;
1.1749;-90.2869;-58.7154;179.993;-0.000132356;179.426;-117.431;-0.0066968;-0.000120681;
1.20226;-90.2807;-58.5154;179.993;-0.000132359;179.439;-117.031;-0.00685279;-0.000120133;
1.23027;-90.2746;-58.3154;179.993;-0.000132362;179.452;-116.631;-0.00701242;-0.00011956;
1.25893;-90.2687;-58.1154;179.993;-0.000132365;179.464;-116.231;-0.00717576;-0.00011896;
1.28825;-90.2629;-57.9154;179.993;-0.000132368;179.476;-115.831;-0.0073429;-0.000118331;
1.31826;-90.2573;-57.7154;179.992;-0.000132371;179.487;-115.431;-0.00751394;-0.000117673;
1.34896;-90.2517;-57.5154;179.992;-0.000132375;179.499;-115.031;-0.00768896;-0.000116984;
1.38038;-90.2464;-57.3155;179.992;-0.000132379;179.51;-114.631;-0.00786806;-0.000116262;
1.41254;-90.2411;-57.1155;179.992;-0.000132382;179.52;-114.231;-0.00805133;-0.000115506;
1.44544;-90.236;-56.9155;179.992;-0.000132386;179.531;-113.831;-0.00823888;-0.000114715;
1.47911;-90.231;-56.7155;179.992;-0.000132391;179.541;-113.431;-0.00843078;-0.000113886;
1.51356;-90.2261;-56.5155;179.991;-0.000132395;179.551;-113.031;-0.00862716;-0.000113018;
1.54882;-90.2214;-56.3155;179.991;-0.0001324;179.561;-112.631;-0.00882812;-0.00011211;
1.58489;-90.2167;-56.1155;179.991;-0.000132405;179.571;-112.231;-0.00903375;-0.000111158;
1.62181;-90.2122;-55.9155;179.991;-0.00013241;179.58;-111.831;-0.00924417;-0.000110162;
1.65959;-90.2078;-55.7155;179.991;-0.000132415;179.589;-111.431;-0.0094595;-0.000109119;
1.69824;-90.2035;-55.5155;179.99;-0.00013242;179.598;-111.031;-0.00967984;-0.000108027;
1.7378;-90.1993;-55.3155;179.99;-0.000132426;179.607;-110.631;-0.00990532;-0.000106883;
1.77828;-90.1953;-55.1155;179.99;-0.000132432;179.615;-110.231;-0.010136;-0.000105685;
1.8197;-90.1913;-54.9155;179.99;-0.000132439;179.624;-109.831;-0.0103721;-0.000104431;
1.86209;-90.1874;-54.7155;179.989;-0.000132445;179.632;-109.431;-0.0106137;-0.000103117;
1.90546;-90.1836;-54.5155;179.989;-0.000132452;179.64;-109.031;-0.010861;-0.000101742;
1.94984;-90.1799;-54.3155;179.989;-0.00013246;179.647;-108.631;-0.011114;-0.000100302;
1.99526;-90.1764;-54.1155;179.989;-0.000132467;179.655;-108.231;-0.0113728;-9.87942e-05;
2.04174;-90.1729;-53.9155;179.988;-0.000132475;179.662;-107.831;-0.0116377;-9.72152e-05;
2.0893;-90.1695;-53.7155;179.988;-0.000132484;179.669;-107.431;-0.0119088;-9.55618e-05;
2.13796;-90.1661;-53.5155;179.988;-0.000132492;179.676;-107.031;-0.0121862;-9.38305e-05;
