time;V(/BSF);
0.0100098;0.480653;
0.0100198;0.502825;
0.0100298;0.522825;
0.0100398;0.540556;
0.0100498;0.555953;
0.0100598;0.56894;
0.010065;0.574712;
0.0100678;0.577552;
0.0100693;0.579039;
0.0100709;0.580517;
0.0100727;0.582066;
0.0100752;0.58419;
0.0100785;0.586768;
0.0100815;0.588945;
0.0100859;0.591775;
0.0100916;0.594947;
0.0100998;0.59823;
0.0101098;0.600218;
0.0101198;0.59976;
0.0101298;0.596635;
0.0101398;0.590656;
0.0101498;0.581645;
0.0101564;0.57396;
0.0101592;0.570262;
0.0101609;0.567978;
0.0101619;0.566561;
0.010163;0.565054;
0.0101637;0.564004;
0.0101643;0.563008;
0.0101652;0.56178;
0.0101662;0.560146;
0.0101675;0.558105;
0.0101693;0.555314;
0.0101716;0.551546;
0.0101747;0.546304;
0.0101789;0.538852;
0.0101845;0.528116;
0.0101922;0.512369;
0.0102022;0.489929;
0.0102122;0.465385;
0.0102222;0.43884;
0.0102322;0.410412;
0.0102422;0.380221;
0.0102522;0.348402;
0.0102622;0.315089;
0.0102722;0.280429;
0.0102822;0.24457;
0.0102922;0.207669;
0.0103022;0.169884;
0.0103122;0.13138;
0.0103222;0.0923226;
0.0103293;0.0641811;
0.010333;0.0498687;
0.010336;0.0378445;
0.0103392;0.0256112;
0.0103424;0.0132429;
0.010346;-0.000982999;
0.0103495;-0.0145876;
0.0103532;-0.0288469;
0.0103577;-0.046939;
0.0103631;-0.0685455;
0.0103656;-0.0784035;
0.0103682;-0.0889978;
0.0103701;-0.0965788;
0.0103725;-0.106033;
0.0103761;-0.120176;
0.0103783;-0.128806;
0.0103808;-0.138691;
0.0103829;-0.146657;
0.0103853;-0.155801;
0.0103877;-0.165243;
0.0103905;-0.175844;
0.0103948;-0.191882;
0.0103987;-0.206536;
0.0104054;-0.231203;
0.010414;-0.262555;
0.010424;-0.297626;
0.010434;-0.331403;
0.010444;-0.363733;
0.010454;-0.394485;
0.010464;-0.423519;
0.010474;-0.450716;
0.010484;-0.475955;
0.010494;-0.499132;
0.010504;-0.520142;
0.010514;-0.538902;
0.010524;-0.555324;
0.010534;-0.569345;
0.010544;-0.5809;
0.0105481;-0.584871;
0.0105502;-0.586754;
0.0105521;-0.588372;
0.0105543;-0.59021;
0.0105571;-0.592306;
0.0105601;-0.594466;
0.0105638;-0.596799;
0.0105691;-0.599616;
0.010576;-0.602489;
0.010586;-0.604705;
0.010596;-0.60448;
0.010606;-0.60161;
0.010616;-0.595898;
0.010626;-0.587176;
0.010632;-0.580532;
0.0106349;-0.576858;
0.0106365;-0.574698;
0.0106377;-0.573107;
0.0106388;-0.571524;
0.0106397;-0.570337;
0.0106405;-0.569178;
0.0106414;-0.567853;
0.0106424;-0.566321;
0.0106445;-0.56318;
0.0106467;-0.559602;
0.0106499;-0.554365;
0.0106534;-0.54841;
0.010658;-0.540012;
0.0106645;-0.527257;
0.0106735;-0.508206;
0.0106835;-0.484916;
0.0106935;-0.459545;
0.0107035;-0.432198;
0.0107135;-0.403;
0.0107235;-0.372071;
0.0107335;-0.339552;
0.0107435;-0.305577;
0.0107535;-0.2703;
0.0107635;-0.233868;
0.0107735;-0.196444;
0.0107835;-0.158185;
0.0107935;-0.119261;
0.0108035;-0.0798373;
0.0108112;-0.0491386;
0.0108155;-0.0320703;
0.0108199;-0.014984;
0.0108252;0.00601664;
0.0108278;0.0164329;
0.0108312;0.0299847;
0.0108341;0.0413677;
0.0108374;0.0547003;
0.0108413;0.0703716;
0.0108437;0.0798284;
0.0108462;0.089967;
0.0108488;0.100249;
0.0108514;0.110313;
0.0108561;0.128645;
0.0108592;0.1409;
0.0108626;0.153957;
0.0108662;0.167928;
0.0108699;0.182136;
0.0108753;0.202196;
0.010881;0.223602;
0.0108892;0.253811;
0.0108992;0.289396;
0.0109092;0.323713;
0.0109192;0.356621;
0.0109292;0.387973;
0.0109392;0.417639;
0.0109492;0.445487;
0.0109592;0.471402;
0.0109692;0.495268;
0.0109792;0.516988;
0.0109892;0.536463;
0.0109992;0.553616;
0.0110092;0.568368;
0.0110192;0.580662;
0.0110238;0.585398;
0.0110269;0.588351;
0.0110284;0.589735;
0.0110302;0.591246;
0.011032;0.592747;
0.0110342;0.594419;
0.0110372;0.59654;
0.0110404;0.598606;
0.0110444;0.600849;
0.0110497;0.603382;
0.0110573;0.605875;
0.0110673;0.607126;
0.0110773;0.605851;
0.0110873;0.601846;
0.0110973;0.594929;
0.0111073;0.584967;
0.0111106;0.58092;
0.0111124;0.57871;
0.0111136;0.577164;
0.0111147;0.57556;
0.0111154;0.574678;
0.0111164;0.573202;
0.0111175;0.571733;
0.0111185;0.570201;
0.0111207;0.567052;
0.011123;0.563517;
0.0111267;0.557536;
0.0111309;0.550346;
0.0111365;0.540099;
0.0111449;0.523469;
0.0111549;0.501557;
0.0111649;0.477489;
0.0111749;0.451371;
0.0111849;0.423315;
0.0111949;0.393445;
0.0112049;0.361888;
0.0112149;0.328784;
0.0112249;0.294274;
0.0112349;0.25851;
0.0112449;0.221645;
0.0112549;0.18384;
0.0112649;0.145257;
0.0112749;0.106065;
0.0112849;0.066434;
0.0112949;0.0265713;
0.0113008;0.00272114;
0.0113047;-0.0128272;
0.0113094;-0.0315941;
0.0113126;-0.044353;
0.0113161;-0.0582074;
0.0113195;-0.0716458;
0.0113221;-0.0821744;
0.0113251;-0.0940811;
0.0113286;-0.107623;
0.0113321;-0.121537;
0.0113359;-0.136478;
0.0113405;-0.154345;
0.011345;-0.171572;
0.0113532;-0.202591;
0.0113612;-0.232491;
0.0113712;-0.268809;
0.0113812;-0.303953;
0.0113912;-0.337765;
0.0114012;-0.370106;
0.0114112;-0.40083;
0.0114212;-0.429813;
0.0114312;-0.456923;
0.0114412;-0.482049;
0.0114512;-0.505079;
0.0114612;-0.525919;
0.0114712;-0.544474;
0.0114812;-0.560672;
0.0114912;-0.574437;
0.0115012;-0.585716;
0.0115053;-0.589629;
0.0115074;-0.591455;
0.0115092;-0.592884;
0.011511;-0.594326;
0.0115133;-0.595998;
0.0115162;-0.597993;
0.0115195;-0.599977;
0.0115234;-0.602061;
0.0115286;-0.604321;
0.0115359;-0.606494;
0.0115459;-0.607396;
0.0115559;-0.605742;
0.0115659;-0.601327;
0.0115759;-0.593986;
0.011582;-0.587949;
0.0115851;-0.584551;
0.0115868;-0.582467;
0.0115882;-0.580856;
0.0115894;-0.57925;
0.0115903;-0.578052;
0.0115913;-0.576792;
0.0115924;-0.575364;
0.0115936;-0.573707;
0.0115959;-0.570449;
0.0115983;-0.566827;
0.0116017;-0.561518;
0.0116065;-0.553607;
0.0116118;-0.544316;
0.0116211;-0.52633;
0.0116311;-0.504787;
0.0116411;-0.48107;
0.0116511;-0.455289;
0.0116611;-0.427551;
0.0116711;-0.39798;
