time;V(/HPF);
0.0100027;0.0874261;
0.0100127;0.0500403;
0.0100227;0.0124586;
0.0100327;-0.0252501;
0.0100427;-0.0630164;
0.0100527;-0.10077;
0.0100627;-0.138442;
0.0100727;-0.175959;
0.0100827;-0.213253;
0.0100927;-0.250251;
0.0101027;-0.286883;
0.0101127;-0.323078;
0.0101227;-0.358765;
0.0101327;-0.393876;
0.0101427;-0.428341;
0.0101527;-0.462091;
0.0101627;-0.495059;
0.0101727;-0.527179;
0.0101827;-0.558386;
0.0101927;-0.588615;
0.0102027;-0.617805;
0.0102127;-0.645895;
0.0102227;-0.672825;
0.0102327;-0.698539;
0.0102427;-0.722982;
0.0102527;-0.7461;
0.0102627;-0.767844;
0.0102727;-0.788166;
0.0102827;-0.807018;
0.0102927;-0.82436;
0.0103027;-0.840149;
0.0103127;-0.85435;
0.0103227;-0.866927;
0.0103327;-0.87785;
0.0103427;-0.887089;
0.0103527;-0.894621;
0.0103627;-0.900423;
0.0103727;-0.904477;
0.0103827;-0.906768;
0.0103927;-0.907285;
0.0104027;-0.90602;
0.0104127;-0.902969;
0.0104227;-0.898132;
0.0104327;-0.89151;
0.0104427;-0.883111;
0.0104527;-0.872946;
0.0104627;-0.861028;
0.0104727;-0.847375;
0.0104827;-0.832009;
0.0104927;-0.814955;
0.0105027;-0.796241;
0.0105127;-0.775899;
0.0105227;-0.753965;
0.0105327;-0.730479;
0.0105427;-0.705483;
0.0105527;-0.679022;
0.0105627;-0.651147;
0.0105727;-0.621909;
0.0105827;-0.591364;
0.0105927;-0.55957;
0.0106027;-0.526588;
0.0106127;-0.492482;
0.0106227;-0.457319;
0.0106327;-0.421167;
0.0106427;-0.384098;
0.0106527;-0.346185;
0.0106627;-0.307503;
0.0106727;-0.268131;
0.0106827;-0.228146;
0.0106927;-0.18763;
0.0107027;-0.146665;
0.0107127;-0.105333;
0.0107227;-0.0637192;
0.0107327;-0.0219081;
0.0107427;0.0200146;
0.0107527;0.0619626;
0.0107627;0.10385;
0.0107727;0.145589;
0.0107827;0.187095;
0.0107927;0.228281;
0.0108027;0.269061;
0.0108127;0.309351;
0.0108227;0.349066;
0.0108327;0.388123;
0.0108427;0.426441;
0.0108527;0.463939;
0.0108627;0.500539;
0.0108727;0.536163;
0.0108827;0.570736;
0.0108927;0.604186;
0.0109027;0.636441;
0.0109127;0.667434;
0.0109227;0.697099;
0.0109327;0.725373;
0.0109427;0.752196;
0.0109527;0.777512;
0.0109627;0.801265;
0.0109727;0.823406;
0.0109827;0.843888;
0.0109927;0.862667;
0.0110027;0.879703;
0.0110127;0.894959;
0.0110227;0.908404;
0.0110327;0.920007;
0.0110427;0.929745;
0.0110527;0.937597;
0.0110627;0.943545;
0.0110727;0.947576;
0.0110827;0.949683;
0.0110927;0.94986;
0.0111027;0.948107;
0.0111127;0.944427;
0.0111227;0.938828;
0.0111327;0.931321;
0.0111427;0.921923;
0.0111527;0.910653;
0.0111627;0.897535;
0.0111727;0.882596;
0.0111827;0.865868;
0.0111927;0.847385;
0.0112027;0.827188;
0.0112127;0.805318;
0.0112227;0.781822;
0.0112327;0.756748;
0.0112427;0.73015;
0.0112527;0.702083;
0.0112627;0.672606;
0.0112727;0.641781;
0.0112827;0.609673;
0.0112927;0.576348;
0.0113027;0.541876;
0.0113127;0.506329;
0.0113227;0.469782;
0.0113327;0.432309;
0.0113427;0.39399;
0.0113527;0.354904;
0.0113627;0.315131;
0.0113727;0.274754;
0.0113827;0.233856;
0.0113927;0.192521;
0.0114027;0.150836;
0.0114127;0.108884;
0.0114227;0.0667533;
0.0114327;0.0245286;
0.0114427;-0.0177034;
0.0114527;-0.0598567;
0.0114627;-0.101846;
0.0114727;-0.143585;
0.0114827;-0.184991;
0.0114927;-0.225979;
0.0115027;-0.266467;
0.0115127;-0.306374;
0.0115227;-0.345621;
0.0115327;-0.384128;
0.0115427;-0.421819;
0.0115527;-0.45862;
0.0115627;-0.494458;
0.0115727;-0.529262;
0.0115827;-0.562965;
0.0115927;-0.595501;
0.0116027;-0.626807;
0.0116127;-0.656821;
0.0116227;-0.685487;
0.0116327;-0.71275;
0.0116427;-0.738558;
0.0116527;-0.762863;
0.0116627;-0.785619;
0.0116727;-0.806784;
0.0116827;-0.826319;
0.0116927;-0.844188;
0.0117027;-0.860361;
0.0117127;-0.874808;
0.0117227;-0.887505;
0.0117327;-0.898431;
0.0117427;-0.907567;
0.0117527;-0.9149;
0.0117627;-0.92042;
0.0117727;-0.924119;
0.0117827;-0.925995;
0.0117927;-0.926049;
0.0118027;-0.924284;
0.0118127;-0.920708;
0.0118227;-0.915333;
0.0118327;-0.908174;
0.0118427;-0.899248;
0.0118527;-0.888578;
0.0118627;-0.876189;
0.0118727;-0.862108;
0.0118827;-0.846369;
0.0118927;-0.829005;
0.0119027;-0.810054;
0.0119127;-0.789558;
0.0119227;-0.767559;
0.0119327;-0.744104;
0.0119427;-0.719243;
0.0119527;-0.693026;
0.0119627;-0.665509;
0.0119727;-0.636747;
0.0119827;-0.606799;
0.0119927;-0.575725;
0.0120027;-0.543589;
