time;V(/BPF);V(/BSF);V(/HPF);V(/LPF);
0.0100023;-1.03813;0.0896246;8.34948;-8.45263;
0.0100123;-1.56977;0.0800318;8.3493;-8.44235;
0.0100185;-1.90244;0.0741593;8.34554;-8.4303;
0.0100236;-2.17142;0.069516;8.33659;-8.41246;
0.0100261;-2.30388;0.0672668;8.32685;-8.39703;
0.0100276;-2.38169;0.0659517;8.31718;-8.38381;
0.0100286;-2.43738;0.0650127;8.30741;-8.37157;
0.0100296;-2.49077;0.0641091;8.29534;-8.35755;
0.0100301;-2.51507;0.0636973;8.28906;-8.3506;
0.0100306;-2.54403;0.0632069;8.28117;-8.342;
0.0100313;-2.57728;0.0626419;8.27174;-8.33186;
0.0100319;-2.60998;0.0620861;8.2622;-8.32169;
0.0100327;-2.65272;0.061357;8.24945;-8.30812;
0.010034;-2.71811;0.0602372;8.22939;-8.28685;
0.0100352;-2.78311;0.0591181;8.20891;-8.26516;
0.010037;-2.87786;0.0574763;8.17795;-8.23244;
0.0100388;-2.96911;0.0558828;8.14703;-8.19983;
0.0100406;-3.06376;0.0542179;8.11372;-8.16472;
0.0100427;-3.17363;0.0522678;8.07351;-8.12247;
0.0100449;-3.28628;0.050251;8.03052;-8.0773;
0.0100476;-3.42291;0.0477773;7.97594;-8.02012;
0.0100507;-3.57837;0.0449289;7.91052;-7.95165;
0.0100544;-3.76583;0.0414404;7.82683;-7.86428;
0.0100591;-3.99637;0.0370715;7.71644;-7.74923;
0.0100649;-4.27911;0.0315828;7.56932;-7.59632;
0.0100728;-4.65447;0.0240628;7.35274;-7.37176;
0.0100828;-5.1132;0.0144678;7.05206;-7.06098;
0.0100928;-5.55188;0.00483163;6.72283;-6.72157;
0.0101028;-5.96874;-0.00481683;6.36632;-6.35496;
0.0101128;-6.36209;-0.0144396;5.98398;-5.9625;
0.0101228;-6.73033;-0.0240078;5.57728;-5.54583;
0.0101328;-7.07195;-0.0334838;5.14787;-5.10651;
0.0101428;-7.38557;-0.0428393;4.69741;-4.64636;
0.0101528;-7.6699;-0.0520372;4.22774;-4.16712;
0.0101628;-7.92378;-0.0610504;3.74068;-3.67077;
0.0101728;-8.14616;-0.0698429;3.23821;-3.1592;
0.0101772;-8.23477;-0.0736884;3.00988;-2.92695;
0.0101801;-8.28729;-0.076165;2.86306;-2.77756;
0.0101814;-8.31012;-0.0773961;2.79404;-2.7073;
0.0101827;-8.33045;-0.0786541;2.72816;-2.64011;
0.0101838;-8.34687;-0.079911;2.66888;-2.57956;
0.010185;-8.36154;-0.0813312;2.60902;-2.51825;
0.0101873;-8.38482;-0.0846241;2.48946;-2.39537;
0.0101901;-8.40469;-0.0893829;2.34099;-2.24212;
0.0101931;-8.41855;-0.0947466;2.18565;-2.08139;
0.0101964;-8.42891;-0.10077;2.01444;-1.90414;
0.0102012;-8.4387;-0.10919;1.76904;-1.65031;
0.0102075;-8.44674;-0.119659;1.43935;-1.31014;
0.0102173;-8.45333;-0.133489;0.924263;-0.781211;
0.0102273;-8.45589;-0.144146;0.396605;-0.242883;
0.0102373;-8.45553;-0.151188;-0.134737;0.295514;
0.0102473;-8.45226;-0.154589;-0.669606;0.833797;
0.0102573;-8.44485;-0.154453;-1.20767;1.37174;
0.0102673;-8.42877;-0.151235;-1.74809;1.90895;
0.0102724;-8.41161;-0.14898;-2.02219;2.1808;
0.010275;-8.39672;-0.14807;-2.15993;2.31762;
0.0102765;-8.38324;-0.14778;-2.24529;2.40269;
0.0102776;-8.37163;-0.147788;-2.30206;2.45946;
0.0102787;-8.3572;-0.147983;-2.36097;2.51856;
0.0102791;-8.35113;-0.1481;-2.38366;2.54135;
0.0102797;-8.34321;-0.148264;-2.41217;2.57003;
0.0102803;-8.33373;-0.148473;-2.44522;2.60327;
0.010281;-8.32367;-0.148696;-2.4795;2.63777;
0.0102817;-8.31275;-0.148938;-2.51594;2.67443;
0.0102828;-8.29363;-0.149354;-2.57807;2.73696;
0.010284;-8.27386;-0.149768;-2.64072;2.8;
0.0102854;-8.24982;-0.150251;-2.71446;2.87421;
0.0102873;-8.21731;-0.15087;-2.81098;2.9713;
0.010289;-8.186;-0.151429;-2.90043;3.06128;
0.0102922;-8.12565;-0.152423;-3.06478;3.22657;
0.0102959;-8.05089;-0.153513;-3.2553;3.4181;
0.0103034;-7.888;-0.155472;-3.63096;3.79554;
0.0103134;-7.64129;-0.157625;-4.12357;4.29006;
0.0103234;-7.36374;-0.159229;-4.6001;4.76788;
0.0103334;-7.0564;-0.160274;-5.0586;5.2271;
0.0103434;-6.72051;-0.16076;-5.49723;5.66585;
0.0103534;-6.35735;-0.160682;-5.91421;6.08236;
0.0103634;-5.96839;-0.160045;-6.30785;6.47492;
0.0103734;-5.55513;-0.158846;-6.67653;6.84196;
0.0103834;-5.11925;-0.157095;-7.01878;7.18197;
0.0103934;-4.66243;-0.154793;-7.33319;7.49357;
0.0104034;-4.18652;-0.151952;-7.61847;7.77548;
0.0104134;-3.69339;-0.148579;-7.87345;8.02655;
0.0104234;-3.18503;-0.144688;-8.097;8.24562;
0.0104265;-3.02469;-0.143381;-8.15856;8.30558;
0.0104279;-2.94962;-0.142758;-8.18442;8.33044;
0.0104294;-2.87301;-0.142105;-8.20776;8.35287;
0.0104308;-2.79563;-0.141437;-8.22752;8.37145;
0.0104325;-2.70882;-0.140659;-8.24504;8.38797;
0.0104341;-2.62667;-0.139905;-8.25813;8.40009;
0.0104365;-2.49953;-0.138679;-8.27323;8.41397;
0.0104397;-2.3289;-0.136934;-8.28746;8.42669;
0.0104434;-2.13209;-0.13476;-8.29889;8.43648;
0.0104487;-1.85278;-0.131401;-8.31033;8.44546;
0.0104566;-1.43846;-0.125845;-8.32208;8.45327;
0.0104666;-0.908223;-0.117886;-8.33276;8.45829;
0.0104766;-0.377378;-0.109155;-8.34077;8.46008;
0.0104866;0.153908;-0.0998921;-8.34695;8.45948;
0.0104966;0.685543;-0.0903222;-8.35135;8.45643;
0.0105066;1.21737;-0.0806902;-8.35351;8.44991;
0.0105148;1.65567;-0.072861;-8.35238;8.43982;
0.0105215;2.01425;-0.0666217;-8.34675;8.42422;
0.0105254;2.21804;-0.0631567;-8.33814;8.40772;
0.0105275;2.33232;-0.0612416;-8.32844;8.39259;
0.0105288;2.39805;-0.0601429;-8.31956;8.38039;
0.0105298;2.45502;-0.0591923;-8.30887;8.36709;
0.0105309;2.50965;-0.0582776;-8.29579;8.35206;
0.0105313;2.53015;-0.0579333;-8.2903;8.34608;
0.0105319;2.5657;-0.0573388;-8.28039;8.33533;
0.0105325;2.59559;-0.0568355;-8.27177;8.32612;
0.0105331;2.62764;-0.0562978;-8.26233;8.31605;
0.0105343;2.69164;-0.0552163;-8.24292;8.29545;
0.0105353;2.74259;-0.0543534;-8.22713;8.27875;
0.0105363;2.79279;-0.0534992;-8.21116;8.26182;
0.0105372;2.8423;-0.0526527;-8.19508;8.24488;
0.0105381;2.88954;-0.0518439;-8.17944;8.22832;
0.0105392;2.94658;-0.0508605;-8.16012;8.208;
0.0105404;3.01041;-0.049758;-8.13801;8.18468;
0.0105421;3.09747;-0.0482415;-8.10692;8.152;
0.0105445;3.22182;-0.0460612;-8.06071;8.10343;
0.010548;3.39952;-0.0429028;-7.99083;8.03023;
0.0105535;3.67582;-0.0379025;-7.87305;7.9071;
0.010562;4.09954;-0.0299935;-7.66967;7.69535;
0.010572;4.57952;-0.0206662;-7.40343;7.4192;
0.010582;5.04162;-0.0112719;-7.10721;7.11308;
0.010592;5.48395;-0.00184934;-6.78222;6.77812;
0.010602;5.90472;0.00757549;-6.4297;6.41571;
0.010612;6.30222;0.0169637;-6.05107;6.02721;
0.010622;6.67484;0.0262894;-5.64781;5.61421;
0.010632;7.02105;0.0355141;-5.22154;5.17828;
0.010642;7.33945;0.0446123;-4.77393;4.72121;
0.010652;7.62874;0.0535464;-4.30678;4.24476;
0.010662;7.88772;0.0622919;-3.82192;3.75087;
0.010672;8.11533;0.0708125;-3.32131;3.24144;
0.0106773;8.22121;0.0751607;-3.0547;2.97037;
0.0106804;8.28028;0.077788;-2.89232;2.80527;
0.0106819;8.30641;0.079108;-2.81467;2.72628;
0.0106833;8.32907;0.0804337;-2.74216;2.6524;
0.0106846;8.34747;0.0817938;-2.67605;2.58491;
0.0106857;8.36202;0.0831772;-2.61652;2.52398;
0.010688;8.38512;0.086393;-2.49764;2.40184;
0.0106904;8.40209;0.0902336;-2.37476;2.2751;
0.0106936;8.41756;0.0958052;-2.20987;2.10461;
0.0106967;8.4278;0.101416;-2.04804;1.93716;
0.0107013;8.43784;0.109529;-1.80906;1.69005;
0.0107071;8.44575;0.119092;-1.50738;1.3788;
0.0107146;8.45176;0.130027;-1.11381;0.974283;
0.0107246;8.45555;0.141626;-0.587157;0.436023;
0.0107346;8.45617;0.14964;-0.0567825;-0.102386;
0.0107446;8.45401;0.154011;0.477194;-0.64074;
0.0107546;8.44838;0.154779;1.01452;-1.17885;
0.0107646;8.43649;0.152226;1.55463;-1.71641;
0.0107725;8.41534;0.14853;1.98533;-2.14342;
0.0107756;8.39899;0.147245;2.1505;-2.30731;
0.0107774;8.38441;0.146817;2.24645;-2.40283;
0.0107785;8.37226;0.146769;2.30664;-2.46296;
0.0107797;8.35744;0.146929;2.36724;-2.52372;
0.0107802;8.35004;0.147054;2.39473;-2.55132;
0.0107807;8.34168;0.147212;2.42459;-2.58133;
0.0107814;8.3315;0.147414;2.45983;-2.61675;
0.0107822;8.31974;0.147651;2.49953;-2.65669;
0.010783;8.3072;0.1479;2.54092;-2.69831;
0.0107845;8.28139;0.148403;2.6235;-2.78137;
0.0107858;8.26056;0.148784;2.68836;-2.84659;
0.010787;8.23915;0.149164;2.75283;-2.91142;
0.0107882;8.21774;0.149529;2.81603;-2.97496;
0.0107893;8.19765;0.149854;2.87361;-3.03286;
0.0107906;8.17359;0.150232;2.94121;-3.10079;
0.010792;8.14736;0.150619;3.01272;-3.17267;
0.0107938;8.11298;0.151105;3.10387;-3.26426;
0.0107961;8.06533;0.151723;3.22517;-3.38614;
0.0107996;7.9924;0.152581;3.40137;-3.56311;
0.0108056;7.85599;0.153915;3.70466;-3.8676;
0.0108142;7.64209;0.155481;4.12707;-4.29133;
0.0108242;7.36428;0.156795;4.60391;-4.76921;
0.0108342;7.05671;0.157568;5.06272;-5.22845;
0.0108442;6.72052;0.157788;5.50162;-5.66721;
0.0108542;6.3571;0.157465;5.91885;-6.0837;
0.0108642;5.96781;0.156589;6.31268;-6.47625;
0.0108742;5.55428;0.155175;6.68155;-6.84324;
0.0108842;5.11804;0.153217;7.02393;-7.18319;
0.0108942;4.66092;0.150732;7.33844;-7.49469;
0.0109042;4.18465;0.147718;7.62378;-7.7765;
0.0109142;3.69121;0.144197;7.87879;-8.02742;
0.0109242;3.18248;0.140169;8.10231;-8.24636;
0.0109274;3.01826;0.138796;8.16521;-8.30755;
0.0109288;2.94251;0.138147;8.19105;-8.33239;
0.0109303;2.86529;0.137475;8.21427;-8.35466;
0.0109319;2.78446;0.136756;8.23443;-8.37361;
0.0109336;2.6938;0.135924;8.25207;-8.39024;
0.0109352;2.61163;0.135148;8.26462;-8.40186;
0.0109376;2.48549;0.133903;8.27903;-8.41512;
0.0109402;2.3475;0.132469;8.29053;-8.42546;
0.0109434;2.1775;0.130589;8.3009;-8.43448;
0.0109474;1.96405;0.12806;8.31048;-8.44232;
0.0109521;1.7161;0.124888;8.31881;-8.44852;
0.010958;1.40154;0.120536;8.32691;-8.4537;
0.0109656;1.00239;0.114539;8.33485;-8.45761;
0.0109756;0.471414;0.105896;8.34302;-8.45989;
0.0109856;-0.0600252;0.09669;8.34926;-8.4597;
0.0109956;-0.5918;0.087161;8.35381;-8.45712;
0.0110056;-1.12381;0.0775396;8.35632;-8.45134;
0.0110156;-1.65586;0.0680618;8.35538;-8.43976;
0.0110211;-1.95058;0.06295;8.35152;-8.42775;
0.0110254;-2.18119;0.0590443;8.34375;-8.41136;
0.0110277;-2.30123;0.0570433;8.33547;-8.39719;
0.0110292;-2.37876;0.05576;8.32656;-8.38412;
0.0110302;-2.43241;0.0548732;8.31774;-8.37248;
0.0110312;-2.486;0.0539858;8.30617;-8.35857;
0.0110317;-2.51384;0.0535237;8.29913;-8.35065;
0.0110322;-2.54024;0.0530865;8.29202;-8.34284;
0.0110328;-2.57165;0.0525647;8.28319;-8.33329;
0.0110336;-2.61153;0.0519021;8.27159;-8.3209;
0.0110343;-2.64804;0.0512938;8.26073;-8.30936;
0.0110355;-2.71299;0.0502081;8.24085;-8.28827;
0.0110366;-2.77028;0.0492457;8.22288;-8.26929;
0.0110377;-2.82749;0.0482819;8.20444;-8.24977;
0.0110389;-2.89151;0.0471962;8.18328;-8.22749;
0.0110401;-2.95488;0.0461193;8.1618;-8.20482;
0.0110418;-3.04049;0.0446526;8.13189;-8.17339;
0.0110438;-3.14423;0.0428663;8.09431;-8.13386;
0.0110468;-3.29876;0.0401744;8.03551;-8.07223;
0.0110511;-3.51832;0.0362975;7.94609;-7.97865;
0.0110575;-3.83982;0.0304905;7.80219;-7.8286;
0.0110675;-4.32875;0.0213513;7.55202;-7.5687;
0.0110775;-4.80079;0.0121433;7.27128;-7.27823;
0.0110875;-5.25403;0.00290601;6.96111;-6.95826;
0.0110975;-5.68663;-0.00633694;6.62268;-6.61012;
0.0111075;-6.09684;-0.015546;6.25738;-6.2351;
0.0111175;-6.48299;-0.0246975;5.86661;-5.83475;
0.0111275;-6.84349;-0.0337523;5.45195;-5.41059;
0.0111375;-7.1769;-0.0426872;5.01502;-4.96436;
0.0111475;-7.48184;-0.0514639;4.55759;-4.49776;
0.0111575;-7.75707;-0.0600599;4.08144;-4.01271;
0.0111675;-8.00144;-0.0684384;3.5885;-3.51107;
0.0111775;-8.21394;-0.0765809;3.08072;-2.99491;
0.0111815;-8.28828;-0.079782;2.87648;-2.78736;
0.0111831;-8.31641;-0.0812339;2.79073;-2.70013;
0.0111845;-8.33814;-0.0825862;2.71827;-2.62627;
0.0111858;-8.35532;-0.0839854;2.6526;-2.55918;
0.0111871;-8.37019;-0.0855895;2.58659;-2.49155;
0.0111895;-8.39232;-0.0891981;2.4586;-2.35991;
0.0111918;-8.40656;-0.0928967;2.34244;-2.24004;
0.0111949;-8.42049;-0.0984302;2.17816;-2.0702;
0.0111983;-8.43061;-0.104482;2.00113;-1.88712;
0.0112031;-8.43992;-0.11267;1.75364;-1.63141;
0.0112085;-8.44669;-0.121326;1.47175;-1.34087;
0.0112156;-8.45208;-0.131338;1.10001;-0.959099;
0.011225;-8.45562;-0.142024;0.602607;-0.451006;
0.011235;-8.45631;-0.149852;0.0720417;0.0874121;
0.011245;-8.45425;-0.154038;-0.462137;0.625777;
0.011255;-8.44876;-0.15461;-0.999676;1.16391;
0.011265;-8.4372;-0.151848;-1.54003;1.7015;
0.0112734;-8.41516;-0.147702;-1.99455;2.15189;
0.0112765;-8.39861;-0.146334;-2.15964;2.3156;
0.0112783;-8.38366;-0.145861;-2.25659;2.41208;
0.0112794;-8.37173;-0.145794;-2.31482;2.47024;
0.0112805;-8.35726;-0.145923;-2.37362;2.52915;
0.011281;-8.35062;-0.146021;-2.39825;2.55388;
0.0112815;-8.34263;-0.146155;-2.42682;2.58257;
0.0112822;-8.33267;-0.146334;-2.46132;2.61724;
0.0112829;-8.32165;-0.146535;-2.49859;2.6547;
0.0112836;-8.31016;-0.146744;-2.53663;2.69294;
0.011285;-8.28652;-0.147166;-2.61254;2.76925;
0.0112862;-8.26624;-0.147508;-2.67606;2.83308;
0.0112874;-8.24548;-0.147847;-2.73896;2.89631;
0.0112887;-8.22345;-0.148191;-2.80435;2.96201;
0.0112899;-8.20245;-0.148503;-2.86486;3.02283;
0.0112913;-8.17559;-0.148886;-2.94047;3.09878;
0.0112929;-8.14522;-0.149291;-3.02321;3.1819;
0.0112951;-8.10284;-0.149822;-3.13475;3.29392;
0.0112981;-8.0408;-0.150521;-3.29012;3.44993;
0.0113027;-7.94071;-0.151497;-3.52429;3.68496;
0.0113106;-7.75462;-0.152893;-3.91599;4.07788;
0.0113206;-7.49005;-0.154198;-4.40043;4.56332;
0.0113306;-7.19514;-0.154963;-4.86763;5.03098;
0.0113406;-6.87112;-0.155197;-5.31571;5.47893;
0.0113506;-6.51918;-0.154889;-5.74285;5.90539;
0.0113606;-6.14081;-0.15405;-6.14731;6.30859;
0.0113706;-5.7374;-0.152673;-6.52745;6.68692;
0.0113806;-5.31064;-0.150774;-6.88174;7.03882;
0.0113906;-4.86214;-0.148349;-7.2087;7.36287;
0.0114006;-4.39376;-0.145416;-7.50702;7.65773;
0.0114106;-3.90729;-0.141976;-7.77547;7.92221;
0.0114206;-3.40474;-0.13805;-8.01295;8.15518;
0.0114247;-3.19493;-0.136308;-8.10083;8.2411;
0.0114269;-3.08165;-0.135346;-8.14523;8.28433;
0.011428;-3.02053;-0.134817;-8.16784;8.30626;
0.0114291;-2.96328;-0.134319;-8.18781;8.32554;
0.0114303;-2.90432;-0.133798;-8.20662;8.34355;
0.0114314;-2.84807;-0.133296;-8.22256;8.35872;
0.0114331;-2.7545;-0.13244;-8.24447;8.3794;
0.0114352;-2.64717;-0.131425;-8.26327;8.39698;
0.0114379;-2.5056;-0.130022;-8.28075;8.41315;
0.0114407;-2.3562;-0.128456;-8.29359;8.4248;
0.0114445;-2.1536;-0.126183;-8.30577;8.43544;
0.0114493;-1.90366;-0.123145;-8.31626;8.44401;
0.0114554;-1.57746;-0.118815;-8.32605;8.45106;
0.0114635;-1.14983;-0.112576;-8.33536;8.45642;
0.0114735;-0.618808;-0.104094;-8.34396;8.45952;
0.0114835;-0.0873001;-0.0950032;-8.35048;8.45998;
0.0114935;0.444566;-0.085537;-8.35533;8.45809;
0.0115035;0.976687;-0.075931;-8.35835;8.45334;
0.0115135;1.50891;-0.06642;-8.35862;8.44383;
0.0115201;1.86139;-0.0602821;-8.35569;8.43205;
0.0115251;2.12645;-0.0557901;-8.34907;8.41613;
0.0115278;2.27281;-0.0533599;-8.34098;8.40101;
0.0115295;2.35968;-0.0519317;-8.33248;8.3876;
0.0115306;2.41831;-0.0509708;-8.32388;8.37562;
0.0115317;2.4793;-0.0499701;-8.31154;8.36027;
0.0115324;2.51262;-0.0494215;-8.30327;8.35083;
0.0115328;2.53819;-0.049002;-8.29643;8.34329;
0.0115335;2.57031;-0.0484734;-8.28744;8.33355;
0.0115342;2.60831;-0.047848;-8.27641;8.32176;
0.0115349;2.64663;-0.0472157;-8.26504;8.30966;
0.0115361;2.70827;-0.0461957;-8.2462;8.28969;
0.0115372;2.76966;-0.0451749;-8.22696;8.26935;
0.0115384;2.83078;-0.0441554;-8.20725;8.24853;
0.0115399;2.90664;-0.0428822;-8.18209;8.22203;
0.0115413;2.98325;-0.041591;-8.15589;8.19442;
0.0115435;3.09586;-0.0396777;-8.1159;8.15242;
