Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.04819, -0.105554
12.067926406393289, 0.05087, -0.144513
14.563484775012437, 0.049973, -0.17669
17.57510624854792, 0.051139, -0.227807
21.209508879201906, 0.052692, -0.280502
25.59547922699536, 0.054887, -0.367232
30.888435964774818, 0.056424, -0.436914
37.2759372031494, 0.056979, -0.547699
44.98432668969444, 0.055709, -0.61667
54.286754393238596, 0.062837, -0.738439
65.51285568595509, 0.066452, -0.924671
79.06043210907697, 0.08216, -1.100747
95.40954763499938, 0.098335, -1.280682
115.1395399326447, 0.127234, -1.596359
138.94954943731375, 0.16367, -1.938654
167.68329368110065, 0.221864, -2.33447
202.35896477251555, 0.301015, -2.854877
244.205309454865, 0.424065, -3.475473
294.705170255181, 0.607448, -4.20163
355.64803062231283, 0.89224, -5.05546
429.1934260128778, 1.33129, -6.290208
517.9474679231213, 2.032315, -7.88029
625.0551925273969, 3.225697, -10.42418
754.3120063354615, 5.499754, -15.769288
910.2981779915218, 10.995436, -39.045902
1098.5411419875584, 11.106339, -130.052017
1325.7113655901082, 3.521067, -160.099182
1599.8587196060573, -2.65178, -168.616241
1930.6977288832495, -7.658452, -171.647324
2329.951810515372, -12.01118, -172.641388
2811.768697974228, -15.979528, -172.640717
3393.221771895326, -19.703281, -172.045578
4094.9150623804235, -23.280079, -171.05423
4941.713361323833, -26.770132, -169.657532
5963.623316594642, -30.234766, -167.806076
7196.856730011514, -33.706039, -165.749527
8685.11373751352, -37.296429, -162.272171
10481.131341546852, -40.512348, -161.202972
12648.552168552958, -44.202038, -154.613342
15264.179671752303, -46.988129, -143.82962
18420.699693267165, -49.307781, -139.229172
22229.96482526191, -50.569057, -147.710464
26826.957952797275, -53.690281, -165.995285
32374.5754281764, -57.894653, 179.675018
39069.39937054613, -60.086765, 113.510628
47148.663634573895, -55.726303, 28.98646
56898.66029018293, -56.543472, 47.992817
68664.88450042998, -57.241936, 12.216813
82864.27728546843, -53.339634, 30.966282
100000, -54.593018, -13.569017
