Index,Channel_2
1,0.090332
2,0.078125
3,0.068359
4,0.078125
5,0.046387
6,0.041504
7,0.026855
8,0.026855
9,0.009766
10,-0.004883
11,-0.007324
12,-0.029297
13,-0.031738
14,-0.043945
15,-0.053711
16,-0.068359
17,-0.080566
18,-0.092773
19,-0.095215
20,-0.102539
21,-0.119629
22,-0.126953
23,-0.144043
24,-0.141602
25,-0.156250
26,-0.168457
27,-0.185547
28,-0.190430
29,-0.205078
30,-0.212402
31,-0.222168
32,-0.234375
33,-0.241699
34,-0.261230
35,-0.258789
36,-0.273438
37,-0.278320
38,-0.300293
39,-0.302734
40,-0.317383
41,-0.319824
42,-0.329590
43,-0.336914
44,-0.361328
45,-0.373535
46,-0.371094
47,-0.375977
48,-0.393066
49,-0.405273
50,-0.417480
51,-0.417480
52,-0.434570
53,-0.441895
54,-0.449219
55,-0.458984
56,-0.468750
57,-0.473633
58,-0.476074
59,-0.498047
60,-0.500488
61,-0.517578
62,-0.517578
63,-0.529785
64,-0.534668
65,-0.544434
66,-0.556641
67,-0.563965
68,-0.573730
69,-0.566406
70,-0.585938
71,-0.598145
72,-0.605469
73,-0.610352
74,-0.615234
75,-0.632324
76,-0.632324
77,-0.644531
78,-0.649414
79,-0.656738
80,-0.649414
81,-0.668945
82,-0.676270
83,-0.688477
84,-0.686035
85,-0.693359
86,-0.700684
87,-0.710449
88,-0.712891
89,-0.722656
90,-0.725098
91,-0.722656
92,-0.744629
93,-0.739746
94,-0.756836
95,-0.751953
96,-0.764160
97,-0.766602
98,-0.771484
99,-0.783691
100,-0.783691
101,-0.786133
102,-0.778809
103,-0.795898
104,-0.798340
105,-0.815430
106,-0.803223
107,-0.812988
108,-0.822754
109,-0.825195
110,-0.827637
111,-0.830078
112,-0.832520
113,-0.837402
114,-0.837402
115,-0.847168
116,-0.842285
117,-0.849609
118,-0.844727
119,-0.859375
120,-0.864258
121,-0.866699
122,-0.866699
123,-0.866699
124,-0.871582
125,-0.866699
126,-0.876465
127,-0.881348
128,-0.874023
129,-0.866699
130,-0.881348
131,-0.881348
132,-0.881348
133,-0.871582
134,-0.878906
135,-0.883789
136,-0.886230
137,-0.886230
138,-0.895996
139,-0.891113
140,-0.881348
141,-0.883789
142,-0.888672
143,-0.895996
144,-0.881348
145,-0.886230
146,-0.878906
147,-0.876465
148,-0.881348
149,-0.886230
150,-0.883789
151,-0.876465
152,-0.883789
153,-0.876465
