Index,Channel_2
1,-1.166992
2,-1.154785
3,-1.149902
4,-1.125488
5,-1.118164
6,-1.091309
7,-1.081543
8,-1.074219
9,-1.064453
10,-1.042480
11,-1.035156
12,-1.015625
13,-1.008301
14,-0.991211
15,-0.986328
16,-0.964355
17,-0.957031
18,-0.935059
19,-0.930176
20,-0.908203
21,-0.908203
22,-0.886230
23,-0.883789
24,-0.861816
25,-0.847168
26,-0.834961
27,-0.827637
28,-0.808105
29,-0.800781
30,-0.788574
31,-0.781250
32,-0.771484
33,-0.756836
34,-0.747070
35,-0.725098
36,-0.715332
37,-0.700684
38,-0.693359
39,-0.676270
40,-0.668945
41,-0.651855
42,-0.644531
43,-0.625000
44,-0.617676
45,-0.607910
46,-0.595703
47,-0.578613
48,-0.563965
49,-0.559082
50,-0.546875
51,-0.537109
52,-0.522461
53,-0.515137
54,-0.493164
55,-0.483398
56,-0.473633
57,-0.461426
58,-0.451660
59,-0.439453
60,-0.424805
61,-0.415039
62,-0.402832
63,-0.390625
64,-0.380859
65,-0.366211
66,-0.354004
67,-0.341797
68,-0.334473
69,-0.319824
70,-0.312500
71,-0.300293
72,-0.290527
73,-0.280762
74,-0.258789
75,-0.253906
76,-0.236816
77,-0.229492
78,-0.212402
79,-0.207520
80,-0.197754
81,-0.187988
82,-0.166016
83,-0.168457
84,-0.158691
85,-0.153809
86,-0.136719
87,-0.129395
88,-0.119629
89,-0.117188
90,-0.095215
91,-0.095215
92,-0.083008
93,-0.073242
94,-0.065918
95,-0.065918
96,-0.046387
97,-0.046387
98,-0.029297
99,-0.024414
100,-0.017090
101,-0.017090
102,0.002441
103,0.002441
104,0.014648
105,0.017090
106,0.021973
107,0.029297
108,0.036621
109,0.043945
110,0.048828
111,0.051270
112,0.061035
113,0.075684
114,0.080566
115,0.083008
116,0.092773
117,0.104980
118,0.102539
119,0.107422
120,0.109863
121,0.112305
122,0.119629
123,0.129395
124,0.126953
125,0.129395
126,0.141602
127,0.141602
128,0.146484
129,0.146484
130,0.151367
131,0.153809
132,0.151367
133,0.170898
134,0.163574
135,0.161133
136,0.168457
137,0.168457
138,0.175781
139,0.170898
140,0.170898
141,0.178223
142,0.175781
143,0.175781
144,0.175781
145,0.178223
146,0.175781
147,0.173340
148,0.175781
149,0.173340
150,0.170898
151,0.166016
152,0.170898
153,0.168457
154,0.180664
155,0.166016
156,0.173340
157,0.168457
158,0.163574
159,0.158691
160,0.163574
161,0.151367
162,0.156250
163,0.146484
164,0.144043
165,0.134277
166,0.131836
167,0.122070
168,0.126953
169,0.112305
170,0.119629
171,0.109863
172,0.100098
173,0.090332
174,0.097656
175,0.090332
176,0.083008
177,0.070801
178,0.075684
179,0.061035
180,0.051270
181,0.041504
182,0.043945
183,0.029297
184,0.026855
185,0.009766
186,0.009766
187,-0.002441
188,-0.002441
189,-0.017090
190,-0.021973
