Index,Channel_2
1,-3.530273
2,-3.549805
3,-3.566895
4,-3.566895
5,-3.588867
6,-3.605957
7,-3.608398
8,-3.623047
9,-3.649902
10,-3.654785
11,-3.657227
12,-3.664551
13,-3.679199
14,-3.696289
15,-3.703613
16,-3.708496
17,-3.723145
18,-3.723145
19,-3.732910
20,-3.745117
21,-3.740234
22,-3.754883
23,-3.759766
24,-3.757324
25,-3.764648
26,-3.767090
27,-3.762207
28,-3.769531
29,-3.764648
30,-3.762207
31,-3.781738
32,-3.779297
33,-3.762207
34,-3.762207
35,-3.750000
36,-3.762207
37,-3.764648
38,-3.752441
39,-3.754883
40,-3.750000
41,-3.728027
42,-3.735352
43,-3.725586
44,-3.718262
45,-3.708496
46,-3.701172
47,-3.693848
48,-3.688965
49,-3.676758
50,-3.659668
51,-3.640137
52,-3.627930
53,-3.630371
54,-3.608398
55,-3.598633
56,-3.583984
57,-3.557129
58,-3.557129
59,-3.535156
60,-3.515625
61,-3.500977
62,-3.488770
63,-3.469238
64,-3.447266
65,-3.435059
66,-3.415527
67,-3.393555
68,-3.369141
69,-3.339844
70,-3.327637
71,-3.310547
72,-3.278809
73,-3.251953
74,-3.239746
75,-3.200684
76,-3.186035
77,-3.161621
78,-3.129883
79,-3.105469
80,-3.076172
81,-3.037109
82,-3.024902
83,-3.000488
84,-2.963867
85,-2.939453
86,-2.907715
87,-2.871094
88,-2.858887
89,-2.817383
90,-2.790527
91,-2.763672
92,-2.722168
93,-2.687988
94,-2.656250
95,-2.619629
96,-2.590332
97,-2.563477
98,-2.526855
99,-2.492676
100,-2.458496
101,-2.412109
102,-2.382812
103,-2.348633
104,-2.304688
105,-2.265625
106,-2.236328
107,-2.189941
108,-2.167969
109,-2.131348
110,-2.092285
111,-2.053223
112,-2.001953
113,-1.967773
114,-1.928711
115,-1.889648
116,-1.853027
117,-1.799316
118,-1.770020
119,-1.740723
120,-1.684570
121,-1.650391
122,-1.608887
123,-1.552734
124,-1.523438
125,-1.489258
126,-1.435547
127,-1.401367
128,-1.352539
129,-1.301270
130,-1.269531
131,-1.218262
132,-1.171875
133,-1.137695
134,-1.076660
135,-1.040039
136,-1.008301
137,-0.954590
138,-0.913086
139,-0.864258
140,-0.812988
141,-0.773926
142,-0.729980
143,-0.693359
144,-0.646973
145,-0.593262
146,-0.554199
147,-0.498047
148,-0.446777
149,-0.412598
150,-0.366211
151,-0.317383
152,-0.275879
153,-0.234375
154,-0.183105
155,-0.151367
156,-0.097656
157,-0.034180
158,0.009766
159,0.043945
160,0.092773
161,0.139160
162,0.178223
163,0.231934
164,0.278320
165,0.319824
166,0.375977
167,0.419922
168,0.456543
169,0.512695
170,0.551758
171,0.595703
172,0.644531
173,0.683594
174,0.729980
175,0.781250
176,0.832520
177,0.874023
178,0.917969
179,0.959473
180,1.003418
181,1.047363
182,1.098633
183,1.145020
184,1.186523
185,1.230469
186,1.271973
187,1.303711
188,1.362305
189,1.396484
190,1.442871
191,1.489258
192,1.528320
193,1.579590
194,1.613770
195,1.645508
196,1.696777
197,1.733398
198,1.777344
199,1.816406
200,1.857910
201,1.894531
202,1.940918
203,1.972656
204,2.019043
205,2.053223
206,2.084961
207,2.126465
208,2.167969
209,2.207031
210,2.250977
211,2.277832
212,2.316895
213,2.353516
214,2.385254
215,2.424316
216,2.458496
217,2.485352
218,2.524414
219,2.563477
220,2.595215
221,2.634277
222,2.658691
223,2.683105
224,2.719727
225,2.746582
226,2.785645
227,2.819824
228,2.841797
229,2.875977
230,2.902832
231,2.924805
232,2.954102
233,2.990723
234,3.010254
235,3.037109
236,3.068848
237,3.098145
238,3.120117
239,3.159180
240,3.173828
241,3.193359
242,3.220215
243,3.242188
244,3.259277
245,3.283691
246,3.308105
247,3.330078
248,3.352051
249,3.364258
250,3.388672
251,3.427734
252,3.432617
253,3.449707
254,3.471680
255,3.491211
256,3.503418
257,3.520508
258,3.540039
259,3.557129
260,3.566895
261,3.581543
262,3.591309
263,3.603516
264,3.623047
265,3.637695
266,3.637695
267,3.657227
268,3.662109
269,3.669434
270,3.701172
271,3.698730
272,3.701172
273,3.715820
274,3.725586
275,3.728027
276,3.732910
277,3.745117
278,3.745117
279,3.745117
280,3.754883
281,3.752441
282,3.764648
283,3.767090
284,3.757324
285,3.762207
286,3.769531
287,3.764648
288,3.757324
289,3.759766
290,3.752441
291,3.757324
292,3.764648
293,3.759766
294,3.747559
295,3.750000
296,3.742676
297,3.730469
298,3.732910
299,3.728027
300,3.715820
301,3.718262
302,3.696289
303,3.686523
304,3.686523
305,3.679199
306,3.654785
307,3.652344
308,3.637695
309,3.623047
310,3.623047
311,3.605957
312,3.579102
313,3.569336
314,3.547363
315,3.527832
316,3.527832
317,3.510742
318,3.483887
319,3.479004
320,3.447266
321,3.432617
322,3.410645
323,3.383789
324,3.361816
325,3.347168
326,3.325195
327,3.312988
328,3.291016
329,3.261719
330,3.242188
331,3.212891
332,3.195801
333,3.164062
334,3.129883
335,3.107910
336,3.085938
337,3.054199
338,3.037109
339,3.002930
340,2.968750
341,2.939453
342,2.912598
343,2.888184
344,2.856445
345,2.824707
346,2.810059
347,2.768555
348,2.734375
349,2.695312
350,2.658691
351,2.629395
352,2.602539
353,2.563477
354,2.524414
355,2.495117
356,2.456055
357,2.416992
358,2.397461
359,2.360840
360,2.309570
361,2.275391
362,2.238770
363,2.202148
364,2.175293
365,2.136230
366,2.087402
367,2.058105
368,2.011719
369,1.977539
370,1.943359
371,1.889648
372,1.860352
373,1.816406
374,1.772461
375,1.738281
376,1.684570
377,1.643066
378,1.604004
379,1.564941
380,1.523438
381,1.489258
382,1.440430
383,1.394043
384,1.354980
385,1.306152
386,1.267090
387,1.220703
388,1.174316
389,1.130371
390,1.093750
391,1.047363
392,1.010742
393,0.957031
394,0.910645
395,0.869141
396,0.815430
397,0.773926
398,0.729980
399,0.681152
400,0.639648
401,0.595703
402,0.549316
403,0.510254
404,0.454102
405,0.412598
406,0.366211
407,0.319824
408,0.268555
409,0.239258
410,0.185547
411,0.139160
412,0.097656
413,0.046387
414,0.002441
