time;V(/LPF);
0.0100066;-3.99667;
0.0100166;-4.0161;
0.0100266;-4.01568;
0.0100366;-3.9954;
0.0100466;-3.95535;
0.0100566;-3.89574;
0.0100666;-3.81684;
0.0100766;-3.71903;
0.0100866;-3.6028;
0.0100966;-3.46871;
0.0101066;-3.31742;
0.0101166;-3.14966;
0.0101266;-2.96625;
0.0101366;-2.76811;
0.0101466;-2.5562;
0.0101566;-2.33156;
0.0101666;-2.0953;
0.0101766;-1.84857;
0.0101866;-1.5926;
0.0101966;-1.32865;
0.0102066;-1.058;
0.0102166;-0.782004;
0.0102266;-0.502013;
0.0102366;-0.21941;
0.0102466;0.0644108;
0.0102566;0.34805;
0.0102666;0.630106;
0.0102766;0.909188;
0.0102866;1.18392;
0.0102966;1.45293;
0.0103066;1.71491;
0.0103166;1.96855;
0.0103266;2.21259;
0.0103366;2.44584;
0.0103466;2.66713;
0.0103566;2.87537;
0.0103666;3.06953;
0.0103766;3.24864;
0.0103866;3.41181;
0.0103966;3.55823;
0.0104066;3.68717;
0.0104166;3.79798;
0.0104266;3.89012;
0.0104366;3.96312;
0.0104466;4.01662;
0.0104566;4.05033;
0.0104666;4.06409;
0.0104766;4.05782;
0.0104866;4.03154;
0.0104966;3.98537;
0.0105066;3.91953;
0.0105166;3.83434;
0.0105266;3.73021;
0.0105366;3.60764;
0.0105466;3.46723;
0.0105566;3.30966;
0.0105666;3.13571;
0.0105766;2.94621;
0.0105866;2.74211;
0.0105966;2.52439;
0.0106066;2.29413;
0.0106166;2.05245;
0.0106266;1.80054;
0.0106366;1.53963;
0.0106466;1.27101;
0.0106566;0.995992;
0.0106666;0.715933;
0.0106766;0.432207;
0.0106866;0.146211;
0.0106966;-0.140648;
0.0107066;-0.426959;
0.0107166;-0.711312;
0.0107266;-0.992305;
0.0107366;-1.26855;
0.0107466;-1.5387;
0.0107566;-1.8014;
0.0107666;-2.05537;
0.0107766;-2.29935;
0.0107866;-2.53214;
0.0107966;-2.75258;
0.0108066;-2.95959;
0.0108166;-3.15214;
0.0108266;-3.32927;
0.0108366;-3.49012;
0.0108466;-3.63387;
0.0108566;-3.75981;
0.0108666;-3.86733;
0.0108766;-3.95587;
0.0108866;-4.02501;
0.0108966;-4.07438;
0.0109066;-4.10373;
0.0109166;-4.11292;
0.0109266;-4.10189;
0.0109366;-4.07068;
0.0109466;-4.01944;
0.0109566;-3.94841;
0.0109666;-3.85794;
0.0109766;-3.74845;
0.0109866;-3.62049;
0.0109966;-3.47466;
0.0110066;-3.31169;
0.0110166;-3.13236;
0.0110266;-2.93754;
0.0110366;-2.72819;
0.0110466;-2.50534;
0.0110566;-2.27007;
0.0110666;-2.02352;
0.0110766;-1.76692;
0.0110866;-1.50151;
0.0110966;-1.2286;
0.0111066;-0.949523;
0.0111166;-0.665647;
0.0111266;-0.378368;
0.0111366;-0.0890932;
0.0111466;0.200755;
0.0111566;0.489754;
0.0111666;0.776483;
0.0111766;1.05953;
0.0111866;1.33751;
0.0111966;1.60905;
0.0112066;1.87281;
0.0112166;2.1275;
0.0112266;2.37186;
0.0112366;2.60469;
0.0112466;2.82484;
0.0112566;3.03121;
0.0112666;3.22281;
0.0112766;3.39866;
0.0112866;3.55792;
0.0112966;3.69978;
0.0113066;3.82354;
0.0113166;3.92859;
0.0113266;4.01441;
0.0113366;4.08056;
0.0113466;4.12672;
0.0113566;4.15265;
0.0113666;4.15821;
0.0113766;4.14336;
0.0113866;4.10818;
0.0113966;4.05283;
0.0114066;3.97757;
0.0114166;3.88276;
0.0114266;3.76886;
0.0114366;3.63642;
0.0114466;3.48609;
0.0114566;3.31859;
0.0114666;3.13474;
0.0114766;2.93543;
0.0114866;2.72164;
0.0114966;2.49442;
0.0115066;2.25486;
0.0115166;2.00415;
0.0115266;1.7435;
0.0115366;1.47419;
0.0115466;1.19754;
0.0115566;0.914909;
0.0115666;0.627672;
0.0115766;0.337241;
0.0115866;0.0450375;
0.0115966;-0.247505;
0.0116066;-0.538953;
0.0116166;-0.827875;
0.0116266;-1.11286;
0.0116366;-1.39249;
0.0116466;-1.66542;
0.0116566;-1.93028;
0.0116666;-2.18579;
0.0116766;-2.43069;
0.0116866;-2.66377;
0.0116966;-2.88388;
0.0117066;-3.08994;
0.0117166;-3.28094;
0.0117266;-3.45593;
0.0117366;-3.61406;
0.0117466;-3.75453;
0.0117566;-3.87665;
0.0117666;-3.97983;
0.0117766;-4.06355;
0.0117866;-4.12738;
0.0117966;-4.17102;
0.0118066;-4.19423;
0.0118166;-4.1969;
0.0118266;-4.17902;
0.0118366;-4.14065;
0.0118466;-4.08199;
0.0118566;-4.0033;
0.0118666;-3.90498;
0.0118766;-3.78749;
0.0118866;-3.65141;
0.0118966;-3.4974;
0.0119066;-3.3262;
0.0119166;-3.13865;
0.0119266;-2.93567;
0.0119366;-2.71823;
0.0119466;-2.48741;
0.0119566;-2.24433;
0.0119666;-1.99018;
0.0119766;-1.72619;
0.0119866;-1.45366;
0.0119966;-1.17393;
0.0120066;-0.888351;
