Index,Channel_2
1,-0.039062
2,-0.024414
3,-0.014648
4,0.000000
5,0.014648
6,0.019531
7,0.031738
8,0.046387
9,0.056152
10,0.068359
11,0.080566
12,0.085449
13,0.100098
14,0.114746
15,0.122070
16,0.139160
17,0.158691
18,0.168457
19,0.175781
20,0.190430
21,0.202637
22,0.219727
23,0.227051
24,0.241699
25,0.253906
26,0.263672
27,0.273438
28,0.280762
29,0.295410
30,0.307617
31,0.317383
32,0.334473
33,0.339355
34,0.354004
35,0.363770
36,0.378418
37,0.390625
38,0.397949
39,0.412598
40,0.427246
41,0.429688
42,0.446777
43,0.456543
44,0.461426
45,0.478516
46,0.483398
47,0.495605
48,0.522461
49,0.532227
50,0.539551
51,0.554199
52,0.559082
53,0.561523
54,0.573730
55,0.583496
56,0.595703
57,0.598145
58,0.610352
59,0.622559
60,0.637207
61,0.639648
62,0.644531
63,0.656738
64,0.664062
65,0.664062
66,0.686035
67,0.690918
68,0.690918
69,0.703125
70,0.715332
71,0.725098
72,0.729980
73,0.739746
74,0.744629
75,0.761719
76,0.766602
77,0.771484
78,0.776367
79,0.791016
80,0.788574
81,0.798340
82,0.808105
83,0.803223
84,0.815430
85,0.817871
86,0.832520
87,0.830078
88,0.842285
89,0.847168
90,0.856934
91,0.859375
92,0.866699
93,0.878906
94,0.893555
95,0.893555
96,0.905762
97,0.908203
98,0.913086
99,0.920410
100,0.922852
101,0.925293
102,0.939941
103,0.932617
104,0.939941
105,0.942383
106,0.939941
107,0.944824
108,0.952148
109,0.961914
110,0.957031
111,0.957031
112,0.969238
113,0.964355
114,0.964355
115,0.969238
116,0.976562
117,0.976562
118,0.974121
119,0.983887
120,0.993652
121,0.983887
122,0.988770
123,0.996094
124,0.991211
125,0.993652
126,0.991211
127,0.996094
128,1.003418
129,0.996094
130,0.998535
131,0.991211
132,0.998535
133,0.991211
134,0.983887
135,0.991211
136,0.993652
137,0.983887
138,0.993652
139,0.986328
140,0.986328
141,0.979004
142,0.981445
143,0.971680
144,0.976562
145,0.983887
146,0.979004
147,0.974121
148,0.971680
149,0.966797
150,0.964355
151,0.964355
152,0.954590
153,0.954590
154,0.949707
155,0.949707
156,0.937500
157,0.927734
158,0.932617
159,0.927734
160,0.930176
161,0.922852
162,0.925293
163,0.920410
164,0.905762
165,0.895996
166,0.895996
167,0.898438
168,0.895996
169,0.895996
170,0.876465
171,0.876465
172,0.878906
173,0.866699
174,0.852051
175,0.849609
176,0.834961
177,0.834961
178,0.834961
179,0.830078
180,0.827637
181,0.815430
182,0.812988
183,0.791016
184,0.783691
185,0.788574
186,0.778809
187,0.766602
188,0.759277
189,0.751953
190,0.742188
191,0.725098
192,0.722656
193,0.712891
194,0.703125
195,0.703125
196,0.690918
197,0.686035
198,0.676270
199,0.668945
200,0.656738
201,0.644531
202,0.634766
