Frequency [Hz], Amplitude [dB], Phase [deg]
10, -40.10141, -88.545204
11.513953993264476, -38.95557, -86.645302
13.257113655901088, -38.320469, -88.194275
15.264179671752334, -36.97599, -87.763084
17.57510624854792, -35.557018, -87.437462
20.235896477251575, -34.54372, -89.182449
23.29951810515372, -33.169495, -89.729225
26.826957952797258, -31.575684, -89.462486
30.888435964774818, -30.238029, -91.09201
35.564803062231285, -29.382608, -91.433884
40.94915062380425, -28.606789, -91.510185
47.14866363457394, -27.112486, -91.486404
54.286754393238596, -26.034473, -89.556335
62.50551925273973, -24.556063, -90.647858
71.96856730011521, -23.423727, -90.812073
82.86427728546842, -22.225731, -91.805519
95.40954763499938, -20.952501, -91.208084
109.85411419875584, -19.674143, -90.859505
126.48552168552958, -18.448769, -91.655487
145.63484775012444, -17.299143, -91.76992
167.68329368110082, -15.968767, -91.705032
193.06977288832496, -14.702257, -92.131516
222.29964825261956, -13.329801, -92.420433
255.95479226995357, -12.032652, -92.412094
294.705170255181, -10.697278, -93.015053
339.32217718953297, -9.144927, -93.386307
390.6939937054617, -7.588729, -93.677277
449.8432668969444, -5.849162, -94.070297
517.9474679231213, -3.84691, -94.910179
596.3623316594643, -1.432286, -95.561073
686.6488450042998, 1.766559, -97.156914
790.6043210907702, 7.123861, -101.610443
910.2981779915218, 14.601831, 134.549362
1048.1131341546852, 12.46554, 105.968758
1206.792640639329, 7.124639, 93.32502
1389.4954943731375, 3.160137, 89.185638
1599.8587196060573, 0.263911, 88.003838
1842.0699693267163, -2.015553, 87.298302
2120.9508879201903, -3.937212, 88.067657
2442.05309454865, -5.810258, 86.287102
2811.7686979742307, -7.500567, 84.347679
3237.457542817643, -9.051362, 83.846306
3727.593720314938, -10.39834, 82.73278
4291.934260128778, -11.709071, 83.701012
4941.713361323833, -13.367449, 80.150208
5689.866029018293, -14.566162, 81.428543
6551.285568595509, -15.686031, 82.824753
7543.120063354615, -16.693785, 82.900681
8685.11373751352, -17.932323, 83.270241
