Frequency [Hz], Amplitude [dB], Phase [deg]
10, -75.492599, -89.246269
11.513953993264476, -67.74968, -40.512337
13.257113655901088, -72.201904, -55.04327
15.264179671752334, -72.823334, -61.780605
17.57510624854792, -69.11351, -50.005016
20.235896477251575, -80.863487, -110.06369
23.29951810515372, -75.114616, -152.871521
26.826957952797258, -75.224442, -149.715622
30.888435964774818, -70.023048, 178.868515
35.564803062231285, -64.67086, 169.419998
40.94915062380425, -60.858902, 171.459824
47.14866363457394, -59.280132, 155.202042
54.286754393238596, -53.446365, 173.441147
62.50551925273973, -51.114784, 173.61441
71.96856730011521, -48.131432, 177.383667
82.86427728546842, -45.234779, 177.829651
95.40954763499938, -44.06237, 178.779739
109.85411419875584, -47.073708, 175.778412
126.48552168552958, -46.263016, 173.210556
145.63484775012444, -42.902611, 169.654953
167.68329368110082, -40.538277, 170.445602
193.06977288832496, -38.212955, 169.852188
222.29964825261956, -35.416397, 169.14888
255.95479226995357, -32.982727, 167.990494
294.705170255181, -29.574718, 166.716476
339.32217718953297, -26.666279, 165.723373
390.6939937054617, -23.949259, 163.525726
449.8432668969444, -20.878082, 161.340439
517.9474679231213, -16.870119, 159.378433
596.3623316594643, -11.927652, 158.06041
686.6488450042998, -5.814886, 157.451584
790.6043210907702, 2.918336, 156.444031
910.2981779915218, 11.896236, 31.462624
1048.1131341546852, 11.275002, 5.120019
1206.792640639329, 6.656994, -11.650158
1389.4954943731375, 2.838943, -20.686819
1599.8587196060573, 0.014463, -26.317947
1842.0699693267163, -1.833702, -29.97072
2120.9508879201903, -3.384433, -34.416451
2442.05309454865, -4.86022, -37.679539
2811.7686979742307, -6.252656, -41.245121
3237.457542817643, -7.250154, -44.037266
3727.593720314938, -8.455053, -45.535519
4291.934260128778, -9.600874, -47.382294
4941.713361323833, -10.862297, -48.276829
5689.866029018293, -11.752357, -49.600552
6551.285568595509, -12.681166, -48.888355
7543.120063354615, -13.477126, -48.628876
8685.11373751352, -14.507274, -47.80571
10000, -15.134769, -46.722565
