Index,Channel_2
1,0.629883
2,0.634766
3,0.632324
4,0.629883
5,0.629883
6,0.622559
7,0.629883
8,0.620117
9,0.620117
10,0.620117
11,0.622559
12,0.622559
13,0.625000
14,0.620117
15,0.612793
16,0.610352
17,0.617676
18,0.607910
19,0.610352
20,0.600586
21,0.598145
22,0.603027
23,0.598145
24,0.595703
25,0.593262
26,0.585938
27,0.566406
28,0.576172
29,0.573730
30,0.578613
31,0.581055
32,0.576172
33,0.571289
34,0.561523
35,0.549316
36,0.551758
37,0.544434
38,0.544434
39,0.534668
40,0.529785
41,0.529785
42,0.520020
43,0.507812
44,0.507812
45,0.507812
46,0.493164
47,0.498047
48,0.493164
49,0.495605
50,0.478516
51,0.478516
52,0.471191
53,0.466309
54,0.463867
55,0.458984
56,0.449219
57,0.449219
58,0.444336
59,0.441895
60,0.424805
61,0.427246
62,0.415039
63,0.407715
64,0.417480
65,0.405273
66,0.397949
67,0.393066
68,0.385742
69,0.388184
70,0.375977
71,0.368652
72,0.368652
73,0.358887
74,0.344238
75,0.351562
76,0.329590
77,0.334473
78,0.317383
79,0.322266
80,0.310059
81,0.297852
82,0.297852
83,0.280762
84,0.275879
85,0.270996
86,0.256348
87,0.258789
88,0.253906
89,0.251465
90,0.241699
91,0.227051
92,0.214844
93,0.212402
94,0.200195
95,0.187988
96,0.175781
97,0.170898
98,0.161133
99,0.158691
100,0.153809
101,0.153809
102,0.148926
103,0.136719
104,0.129395
105,0.122070
106,0.114746
107,0.104980
108,0.104980
109,0.087891
110,0.075684
111,0.075684
112,0.073242
113,0.061035
114,0.041504
115,0.036621
116,0.029297
117,0.029297
118,0.017090
119,0.004883
120,0.002441
121,-0.007324
122,-0.007324
123,-0.021973
124,-0.026855
125,-0.029297
126,-0.029297
127,-0.036621
128,-0.053711
129,-0.063477
130,-0.078125
131,-0.090332
132,-0.090332
133,-0.095215
134,-0.100098
135,-0.109863
136,-0.124512
137,-0.112305
138,-0.119629
139,-0.136719
140,-0.153809
141,-0.163574
142,-0.170898
143,-0.168457
144,-0.175781
145,-0.192871
146,-0.192871
147,-0.200195
148,-0.217285
149,-0.217285
150,-0.239258
151,-0.241699
152,-0.244141
153,-0.239258
154,-0.256348
155,-0.266113
156,-0.268555
157,-0.280762
158,-0.278320
159,-0.288086
160,-0.290527
161,-0.307617
162,-0.319824
163,-0.324707
164,-0.336914
165,-0.336914
166,-0.341797
167,-0.349121
168,-0.363770
169,-0.368652
170,-0.361328
171,-0.366211
172,-0.366211
173,-0.373535
174,-0.385742
175,-0.397949
176,-0.397949
177,-0.402832
178,-0.405273
179,-0.412598
180,-0.427246
181,-0.432129
182,-0.437012
183,-0.444336
184,-0.454102
185,-0.466309
186,-0.463867
187,-0.468750
188,-0.476074
189,-0.480957
190,-0.488281
191,-0.485840
192,-0.483398
193,-0.500488
194,-0.507812
195,-0.510254
196,-0.512695
197,-0.520020
198,-0.524902
199,-0.527344
200,-0.534668
201,-0.534668
202,-0.537109
203,-0.529785
204,-0.546875
205,-0.549316
206,-0.551758
207,-0.566406
208,-0.559082
209,-0.566406
210,-0.576172
211,-0.581055
212,-0.578613
213,-0.566406
214,-0.581055
215,-0.585938
216,-0.595703
217,-0.605469
218,-0.610352
219,-0.600586
220,-0.610352
221,-0.610352
222,-0.622559
223,-0.615234
224,-0.607910
225,-0.610352
226,-0.617676
227,-0.617676
228,-0.627441
229,-0.625000
230,-0.625000
231,-0.625000
232,-0.632324
233,-0.642090
234,-0.644531
235,-0.634766
236,-0.644531
237,-0.629883
238,-0.644531
239,-0.637207
240,-0.642090
241,-0.642090
242,-0.642090
243,-0.639648
244,-0.646973
245,-0.646973
246,-0.644531
247,-0.644531
248,-0.642090
249,-0.639648
250,-0.654297
251,-0.644531
252,-0.649414
253,-0.642090
254,-0.654297
255,-0.651855
256,-0.639648
257,-0.646973
258,-0.637207
259,-0.629883
260,-0.639648
261,-0.637207
262,-0.634766
263,-0.637207
264,-0.634766
265,-0.629883
266,-0.634766
267,-0.642090
268,-0.642090
269,-0.634766
270,-0.627441
271,-0.629883
272,-0.622559
273,-0.612793
274,-0.625000
275,-0.622559
276,-0.612793
277,-0.610352
278,-0.607910
279,-0.605469
280,-0.605469
281,-0.598145
282,-0.595703
283,-0.590820
284,-0.585938
285,-0.571289
286,-0.583496
287,-0.578613
288,-0.578613
289,-0.578613
290,-0.576172
291,-0.561523
292,-0.566406
293,-0.559082
294,-0.551758
295,-0.544434
296,-0.541992
297,-0.527344
298,-0.541992
299,-0.537109
300,-0.527344
301,-0.522461
302,-0.512695
303,-0.510254
304,-0.515137
305,-0.507812
306,-0.493164
307,-0.493164
308,-0.488281
309,-0.485840
310,-0.480957
311,-0.471191
312,-0.463867
313,-0.454102
314,-0.461426
315,-0.444336
316,-0.437012
317,-0.422363
318,-0.412598
319,-0.419922
320,-0.419922
321,-0.412598
322,-0.407715
323,-0.395508
324,-0.397949
325,-0.393066
326,-0.385742
327,-0.378418
328,-0.378418
329,-0.363770
330,-0.344238
331,-0.344238
332,-0.344238
333,-0.341797
334,-0.329590
335,-0.317383
336,-0.312500
337,-0.307617
338,-0.310059
339,-0.285645
340,-0.273438
341,-0.278320
342,-0.273438
343,-0.263672
344,-0.261230
345,-0.253906
346,-0.246582
347,-0.229492
348,-0.229492
349,-0.219727
350,-0.212402
351,-0.202637
352,-0.192871
353,-0.185547
354,-0.185547
355,-0.187988
356,-0.180664
357,-0.166016
358,-0.163574
359,-0.148926
360,-0.146484
361,-0.129395
362,-0.122070
363,-0.114746
364,-0.114746
365,-0.114746
366,-0.100098
367,-0.087891
368,-0.078125
369,-0.070801
370,-0.065918
371,-0.058594
372,-0.043945
373,-0.029297
374,-0.031738
375,-0.029297
376,-0.024414
377,-0.007324
378,0.002441
379,0.004883
380,0.012207
381,0.014648
382,0.039062
383,0.051270
384,0.058594
385,0.053711
386,0.065918
387,0.073242
388,0.080566
389,0.078125
390,0.087891
391,0.102539
392,0.107422
393,0.117187
394,0.124512
395,0.136719
396,0.141602
397,0.144043
398,0.148926
399,0.163574
400,0.163574
401,0.180664
402,0.183105
403,0.195312
404,0.207520
405,0.205078
406,0.214844
407,0.217285
408,0.224609
409,0.231934
410,0.241699
411,0.244141
412,0.253906
413,0.266113
414,0.280762
415,0.288086
416,0.292969
417,0.292969
418,0.297852
419,0.310059
420,0.312500
421,0.329590
422,0.329590
423,0.334473
424,0.339355
425,0.346680
426,0.354004
427,0.354004
428,0.368652
429,0.371094
430,0.378418
431,0.378418
432,0.390625
433,0.400391
434,0.390625
435,0.402832
436,0.412598
437,0.424805
438,0.439453
439,0.437012
440,0.444336
441,0.444336
442,0.449219
443,0.458984
444,0.456543
445,0.463867
446,0.463867
447,0.468750
448,0.483398
449,0.498047
450,0.495605
451,0.502930
452,0.495605
453,0.498047
454,0.507812
455,0.515137
456,0.520020
457,0.522461
458,0.529785
459,0.529785
460,0.546875
461,0.549316
462,0.554199
463,0.546875
464,0.549316
465,0.551758
466,0.556641
467,0.571289
468,0.563965
469,0.563965
470,0.556641
471,0.581055
472,0.590820
473,0.600586
474,0.593262
475,0.595703
476,0.581055
477,0.593262
478,0.593262
479,0.598145
480,0.600586
481,0.598145
482,0.605469
483,0.612793
484,0.622559
485,0.622559
486,0.617676
487,0.605469
488,0.612793
489,0.617676
490,0.629883
491,0.620117
492,0.622559
493,0.620117
494,0.627441
495,0.634766
496,0.649414
497,0.629883
498,0.629883
499,0.615234
500,0.634766
501,0.627441
502,0.627441
503,0.629883
504,0.625000
505,0.620117
506,0.629883
507,0.627441
508,0.632324
509,0.629883
510,0.629883
511,0.627441
512,0.632324
513,0.644531
514,0.632324
515,0.646973
516,0.644531
517,0.642090
518,0.634766
519,0.634766
520,0.634766
521,0.625000
522,0.627441
523,0.620117
524,0.617676
525,0.612793
526,0.615234
527,0.617676
528,0.610352
529,0.615234
530,0.607910
531,0.607910
532,0.590820
533,0.598145
534,0.593262
535,0.585938
536,0.578613
537,0.578613
538,0.578613
539,0.578613
540,0.576172
541,0.571289
542,0.561523
543,0.578613
544,0.561523
545,0.559082
546,0.551758
547,0.556641
548,0.549316
549,0.534668
550,0.527344
551,0.541992
552,0.522461
553,0.524902
554,0.517578
555,0.515137
556,0.515137
557,0.512695
558,0.507812
559,0.505371
560,0.500488
561,0.485840
562,0.490723
563,0.485840
564,0.476074
565,0.463867
566,0.473633
567,0.458984
568,0.458984
569,0.456543
570,0.439453
571,0.434570
572,0.429688
573,0.424805
574,0.417480
575,0.407715
576,0.407715
577,0.395508
578,0.385742
579,0.383301
580,0.385742
581,0.380859
582,0.368652
583,0.358887
584,0.354004
585,0.354004
586,0.346680
587,0.339355
588,0.332031
589,0.327148
590,0.312500
591,0.310059
592,0.302734
593,0.302734
594,0.292969
595,0.285645
596,0.273438
597,0.270996
598,0.253906
599,0.251465
600,0.241699
601,0.234375
602,0.227051
603,0.214844
604,0.217285
605,0.214844
606,0.212402
607,0.200195
608,0.187988
609,0.173340
610,0.170898
611,0.168457
612,0.161133
613,0.153809
614,0.136719
615,0.122070
616,0.126953
617,0.129395
618,0.114746
619,0.097656
620,0.090332
621,0.080566
622,0.083008
623,0.075684
624,0.068359
625,0.053711
626,0.043945
627,0.043945
628,0.041504
629,0.029297
630,0.019531
631,0.004883
632,-0.002441
633,0.000000
634,-0.014648
635,-0.017090
636,-0.034180
637,-0.034180
638,-0.046387
639,-0.043945
640,-0.053711
641,-0.075684
642,-0.075684
643,-0.085449
644,-0.097656
645,-0.092773
646,-0.104980
647,-0.119629
648,-0.124512
649,-0.129395
650,-0.126953
651,-0.139160
652,-0.146484
653,-0.161133
654,-0.158691
655,-0.168457
656,-0.180664
657,-0.187988
658,-0.209961
659,-0.207520
660,-0.212402
661,-0.217285
662,-0.222168
663,-0.234375
664,-0.246582
665,-0.251465
666,-0.256348
667,-0.258789
668,-0.275879
669,-0.273438
670,-0.290527
671,-0.295410
672,-0.288086
673,-0.297852
674,-0.319824
675,-0.324707
676,-0.336914
677,-0.339355
678,-0.341797
679,-0.346680
680,-0.356445
681,-0.361328
682,-0.361328
683,-0.373535
684,-0.371094
685,-0.388184
686,-0.402832
687,-0.405273
688,-0.412598
689,-0.417480
690,-0.419922
691,-0.424805
692,-0.429688
693,-0.429688
694,-0.429688
695,-0.441895
696,-0.456543
697,-0.466309
698,-0.463867
699,-0.471191
700,-0.478516
701,-0.488281
702,-0.493164
703,-0.495605
704,-0.500488
705,-0.500488
706,-0.510254
707,-0.512695
708,-0.515137
709,-0.515137
710,-0.527344
711,-0.529785
712,-0.527344
713,-0.537109
714,-0.544434
715,-0.549316
716,-0.549316
717,-0.556641
718,-0.546875
719,-0.554199
720,-0.563965
721,-0.581055
722,-0.588379
723,-0.578613
724,-0.576172
725,-0.581055
726,-0.585938
727,-0.595703
728,-0.595703
729,-0.588379
730,-0.600586
731,-0.607910
732,-0.612793
733,-0.610352
734,-0.617676
735,-0.620117
736,-0.617676
737,-0.617676
738,-0.632324
739,-0.632324
740,-0.622559
741,-0.625000
742,-0.625000
743,-0.627441
744,-0.637207
745,-0.644531
746,-0.637207
747,-0.637207
748,-0.642090
749,-0.644531
750,-0.646973
751,-0.639648
752,-0.642090
753,-0.639648
754,-0.651855
755,-0.649414
756,-0.656738
757,-0.646973
758,-0.649414
759,-0.649414
760,-0.651855
761,-0.651855
762,-0.646973
763,-0.649414
764,-0.642090
765,-0.646973
766,-0.654297
767,-0.646973
768,-0.639648
769,-0.646973
770,-0.642090
771,-0.644531
772,-0.646973
773,-0.639648
774,-0.629883
775,-0.632324
776,-0.646973
777,-0.634766
778,-0.642090
779,-0.649414
780,-0.634766
781,-0.637207
782,-0.632324
783,-0.629883
784,-0.625000
785,-0.620117
786,-0.627441
787,-0.625000
788,-0.620117
789,-0.622559
790,-0.612793
791,-0.612793
792,-0.605469
793,-0.600586
794,-0.585938
795,-0.600586
796,-0.603027
797,-0.595703
798,-0.590820
799,-0.581055
800,-0.578613
801,-0.581055
802,-0.571289
803,-0.563965
804,-0.559082
805,-0.549316
806,-0.554199
807,-0.551758
808,-0.559082
809,-0.546875
810,-0.541992
811,-0.532227
812,-0.532227
813,-0.522461
814,-0.515137
815,-0.502930
816,-0.505371
817,-0.502930
818,-0.502930
819,-0.490723
820,-0.490723
821,-0.483398
822,-0.478516
823,-0.476074
824,-0.473633
825,-0.466309
826,-0.454102
827,-0.454102
828,-0.437012
829,-0.446777
830,-0.437012
831,-0.424805
832,-0.417480
833,-0.415039
834,-0.410156
835,-0.415039
836,-0.397949
837,-0.390625
838,-0.390625
839,-0.366211
840,-0.361328
841,-0.361328
842,-0.368652
843,-0.354004
844,-0.344238
845,-0.336914
846,-0.329590
847,-0.332031
848,-0.319824
849,-0.312500
850,-0.297852
851,-0.295410
852,-0.290527
853,-0.285645
854,-0.280762
855,-0.261230
856,-0.256348
857,-0.258789
858,-0.251465
859,-0.253906
860,-0.234375
861,-0.219727
862,-0.209961
863,-0.209961
864,-0.207520
865,-0.202637
866,-0.192871
867,-0.175781
868,-0.173340
869,-0.168457
870,-0.168457
871,-0.151367
872,-0.136719
873,-0.129395
874,-0.122070
875,-0.126953
876,-0.117188
877,-0.109863
878,-0.090332
879,-0.090332
880,-0.080566
881,-0.073242
882,-0.075684
883,-0.058594
884,-0.041504
885,-0.036621
886,-0.031738
887,-0.026855
888,-0.024414
889,-0.017090
890,0.000000
891,0.009766
892,0.012207
893,0.019531
894,0.036621
895,0.041504
896,0.053711
897,0.053711
898,0.065918
899,0.068359
900,0.075684
901,0.085449
902,0.097656
903,0.102539
904,0.102539
