Index,Channel_2
1,0.024414
2,0.009766
3,0.007324
4,0.009766
5,0.007324
6,0.014648
7,0.009766
8,0.012207
9,0.012207
10,0.007324
11,0.002441
12,0.004883
13,0.004883
14,-0.000000
15,-0.000000
16,-0.002441
17,0.002441
18,-0.002441
19,-0.004883
20,-0.004883
21,-0.000000
22,-0.017090
23,-0.009766
24,-0.017090
25,-0.002441
26,-0.019531
27,-0.009766
28,-0.017090
29,-0.002441
30,-0.017090
31,-0.014648
32,-0.021973
33,-0.019531
34,-0.017090
35,-0.024414
36,-0.021973
37,-0.029297
38,-0.019531
39,-0.026855
40,-0.026855
41,-0.029297
42,-0.029297
43,-0.024414
44,-0.036621
45,-0.034180
46,-0.031738
47,-0.034180
48,-0.034180
49,-0.031738
50,-0.039062
51,-0.039062
52,-0.041504
53,-0.034180
54,-0.036621
55,-0.041504
56,-0.039062
57,-0.041504
58,-0.048828
59,-0.051270
60,-0.053711
61,-0.056152
62,-0.043945
63,-0.053711
64,-0.051270
65,-0.051270
66,-0.048828
67,-0.058594
68,-0.056152
69,-0.058594
70,-0.051270
71,-0.061035
72,-0.058594
73,-0.061035
74,-0.065918
75,-0.058594
76,-0.068359
77,-0.058594
78,-0.070801
79,-0.065918
80,-0.068359
81,-0.070801
82,-0.065918
83,-0.075684
84,-0.065918
85,-0.075684
86,-0.070801
87,-0.078125
88,-0.061035
89,-0.075684
90,-0.070801
91,-0.083008
92,-0.078125
93,-0.073242
94,-0.078125
95,-0.073242
96,-0.080566
97,-0.073242
98,-0.090332
99,-0.080566
100,-0.083008
101,-0.070801
102,-0.080566
103,-0.083008
104,-0.085449
105,-0.087891
106,-0.083008
107,-0.090332
108,-0.083008
109,-0.087891
110,-0.083008
111,-0.092773
112,-0.092773
113,-0.087891
114,-0.085449
115,-0.092773
116,-0.090332
117,-0.092773
118,-0.087891
119,-0.085449
120,-0.087891
121,-0.087891
122,-0.083008
123,-0.087891
124,-0.095215
125,-0.092773
126,-0.087891
127,-0.095215
128,-0.097656
129,-0.097656
130,-0.100098
131,-0.090332
132,-0.097656
133,-0.092773
134,-0.097656
135,-0.090332
136,-0.090332
137,-0.095215
138,-0.097656
139,-0.092773
140,-0.090332
141,-0.102539
142,-0.097656
143,-0.104980
144,-0.090332
145,-0.092773
146,-0.095215
147,-0.100098
148,-0.100098
149,-0.102539
150,-0.090332
151,-0.095215
152,-0.095215
153,-0.097656
154,-0.090332
155,-0.090332
156,-0.095215
157,-0.092773
158,-0.095215
159,-0.095215
160,-0.090332
161,-0.097656
162,-0.102539
163,-0.095215
164,-0.092773
165,-0.092773
166,-0.092773
167,-0.095215
168,-0.100098
169,-0.087891
170,-0.097656
171,-0.087891
172,-0.097656
173,-0.087891
174,-0.085449
175,-0.092773
176,-0.095215
177,-0.085449
178,-0.083008
179,-0.095215
180,-0.087891
181,-0.097656
182,-0.095215
183,-0.085449
184,-0.085449
185,-0.090332
186,-0.090332
187,-0.083008
188,-0.080566
189,-0.080566
190,-0.080566
191,-0.087891
192,-0.075684
193,-0.095215
194,-0.080566
195,-0.085449
196,-0.080566
197,-0.075684
198,-0.085449
199,-0.075684
200,-0.080566
201,-0.065918
202,-0.078125
203,-0.075684
204,-0.078125
205,-0.078125
206,-0.070801
207,-0.080566
208,-0.073242
209,-0.073242
210,-0.056152
211,-0.073242
212,-0.068359
213,-0.075684
214,-0.065918
215,-0.061035
216,-0.070801
217,-0.063477
218,-0.070801
219,-0.065918
220,-0.058594
221,-0.061035
222,-0.053711
223,-0.061035
224,-0.046387
225,-0.065918
226,-0.053711
227,-0.063477
228,-0.046387
229,-0.058594
230,-0.061035
231,-0.051270
232,-0.046387
233,-0.058594
234,-0.051270
235,-0.048828
236,-0.048828
237,-0.034180
238,-0.051270
239,-0.039062
240,-0.041504
241,-0.034180
242,-0.048828
243,-0.039062
244,-0.043945
245,-0.039062
246,-0.034180
247,-0.024414
248,-0.034180
249,-0.029297
250,-0.034180
251,-0.031738
252,-0.034180
253,-0.029297
254,-0.031738
255,-0.024414
256,-0.031738
257,-0.024414
258,-0.024414
259,-0.012207
260,-0.014648
261,-0.012207
262,-0.031738
263,-0.024414
264,-0.026855
265,-0.019531
266,-0.017090
267,-0.007324
268,-0.017090
269,-0.017090
270,-0.014648
271,-0.017090
272,0.004883
273,-0.004883
274,-0.007324
