Index,Channel_2
1,0.273438
2,0.273438
3,0.246582
4,0.246582
5,0.239258
6,0.241699
7,0.222168
8,0.217285
9,0.207520
10,0.197754
11,0.200195
12,0.178223
13,0.178223
14,0.163574
15,0.156250
16,0.146484
17,0.131836
18,0.126953
19,0.112305
20,0.117187
21,0.112305
22,0.095215
23,0.087891
24,0.078125
25,0.073242
26,0.063477
27,0.046387
28,0.036621
29,0.024414
30,0.034180
31,0.026855
32,0.007324
33,0.000000
34,-0.007324
35,-0.014648
36,-0.017090
37,-0.039062
38,-0.041504
39,-0.056152
40,-0.065918
41,-0.063477
42,-0.083008
43,-0.090332
44,-0.095215
45,-0.102539
46,-0.104980
47,-0.124512
48,-0.131836
49,-0.141602
50,-0.144043
51,-0.148926
52,-0.173340
53,-0.168457
54,-0.183105
55,-0.185547
56,-0.187988
57,-0.207520
58,-0.212402
59,-0.219727
60,-0.229492
61,-0.229492
62,-0.246582
63,-0.253906
64,-0.263672
65,-0.270996
66,-0.273438
67,-0.280762
68,-0.300293
69,-0.305176
70,-0.317383
71,-0.319824
72,-0.319824
73,-0.332031
74,-0.346680
75,-0.356445
76,-0.358887
77,-0.354004
78,-0.371094
79,-0.385742
80,-0.388184
81,-0.397949
82,-0.405273
83,-0.410156
84,-0.417480
85,-0.422363
86,-0.434570
87,-0.444336
88,-0.446777
89,-0.456543
90,-0.461426
91,-0.468750
92,-0.473633
93,-0.473633
94,-0.483398
95,-0.485840
96,-0.490723
97,-0.495605
98,-0.507812
99,-0.512695
100,-0.520020
101,-0.524902
102,-0.527344
103,-0.532227
104,-0.544434
105,-0.544434
106,-0.549316
107,-0.556641
108,-0.551758
109,-0.571289
110,-0.576172
111,-0.590820
112,-0.595703
113,-0.595703
114,-0.603027
115,-0.600586
116,-0.603027
117,-0.607910
118,-0.607910
119,-0.600586
120,-0.615234
121,-0.615234
122,-0.627441
123,-0.637207
124,-0.639648
125,-0.651855
126,-0.654297
127,-0.654297
128,-0.664062
129,-0.659180
130,-0.659180
131,-0.664062
132,-0.664062
133,-0.671387
134,-0.671387
135,-0.678711
136,-0.673828
137,-0.681152
138,-0.678711
139,-0.688477
140,-0.681152
141,-0.688477
142,-0.688477
143,-0.688477
144,-0.698242
145,-0.698242
146,-0.703125
147,-0.700684
148,-0.700684
149,-0.703125
150,-0.712891
151,-0.708008
152,-0.708008
153,-0.710449
154,-0.710449
155,-0.705566
156,-0.712891
157,-0.710449
158,-0.715332
159,-0.710449
160,-0.715332
161,-0.708008
162,-0.715332
163,-0.705566
164,-0.710449
165,-0.717773
166,-0.715332
167,-0.710449
168,-0.710449
169,-0.712891
170,-0.708008
171,-0.710449
172,-0.705566
173,-0.698242
174,-0.703125
175,-0.698242
176,-0.695801
177,-0.693359
178,-0.693359
179,-0.698242
180,-0.695801
181,-0.693359
182,-0.688477
183,-0.690918
184,-0.683594
185,-0.676270
186,-0.666504
187,-0.678711
188,-0.668945
189,-0.673828
190,-0.676270
191,-0.671387
192,-0.673828
193,-0.666504
194,-0.654297
195,-0.646973
196,-0.639648
197,-0.649414
198,-0.637207
199,-0.642090
200,-0.637207
201,-0.629883
202,-0.634766
203,-0.629883
204,-0.617676
205,-0.612793
206,-0.612793
207,-0.607910
208,-0.600586
209,-0.595703
210,-0.588379
211,-0.588379
212,-0.578613
213,-0.578613
214,-0.576172
215,-0.571289
216,-0.556641
217,-0.554199
218,-0.544434
219,-0.539551
220,-0.532227
221,-0.532227
222,-0.522461
223,-0.524902
224,-0.517578
225,-0.505371
226,-0.502930
227,-0.493164
228,-0.490723
229,-0.485840
230,-0.473633
231,-0.463867
232,-0.466309
233,-0.456543
234,-0.451660
235,-0.441895
236,-0.437012
237,-0.434570
238,-0.419922
239,-0.412598
240,-0.407715
241,-0.402832
242,-0.393066
243,-0.385742
244,-0.378418
245,-0.373535
246,-0.358887
247,-0.351562
248,-0.349121
249,-0.341797
250,-0.332031
251,-0.324707
252,-0.314941
253,-0.307617
254,-0.297852
255,-0.292969
256,-0.278320
257,-0.273438
258,-0.270996
259,-0.261230
260,-0.256348
261,-0.249023
262,-0.239258
263,-0.229492
264,-0.217285
265,-0.212402
