time;V(/BPF);
0.0100048;-0.796671;
0.0100148;-0.810352;
0.0100248;-0.822967;
0.0100348;-0.834491;
0.0100448;-0.844903;
0.0100548;-0.854184;
0.0100648;-0.862313;
0.0100748;-0.869273;
0.0100848;-0.875048;
0.0100948;-0.879624;
0.0101048;-0.882988;
0.0101148;-0.885129;
0.0101248;-0.886037;
0.0101348;-0.885705;
0.0101448;-0.884126;
0.0101548;-0.881297;
0.0101648;-0.877215;
0.0101748;-0.87188;
0.0101848;-0.865293;
0.0101948;-0.857459;
0.0102048;-0.848381;
0.0102148;-0.838068;
0.0102248;-0.826529;
0.0102348;-0.813775;
0.0102448;-0.79982;
0.0102548;-0.784677;
0.0102648;-0.768366;
0.0102748;-0.750904;
0.0102848;-0.732313;
0.0102948;-0.712616;
0.0103048;-0.691837;
0.0103148;-0.670004;
0.0103248;-0.647144;
0.0103348;-0.623289;
0.0103448;-0.59847;
0.0103548;-0.572722;
0.0103648;-0.54608;
0.0103748;-0.51858;
0.0103848;-0.490263;
0.0103948;-0.461168;
0.0104048;-0.431337;
0.0104148;-0.400812;
0.0104248;-0.36964;
0.0104348;-0.337864;
0.0104448;-0.305533;
0.0104548;-0.272694;
0.0104648;-0.239396;
0.0104748;-0.205689;
0.0104848;-0.171624;
0.0104948;-0.137252;
0.0105048;-0.102626;
0.0105148;-0.0677984;
0.0105248;-0.0328227;
0.0105348;0.00224756;
0.0105448;0.0373583;
0.0105548;0.0724554;
0.0105648;0.107485;
0.0105748;0.142391;
0.0105848;0.177122;
0.0105948;0.211621;
0.0106048;0.245837;
0.0106148;0.279715;
0.0106248;0.313202;
0.0106348;0.346247;
0.0106448;0.378797;
0.0106548;0.410802;
0.0106648;0.442212;
0.0106748;0.472977;
0.0106848;0.50305;
0.0106948;0.532384;
0.0107048;0.560933;
0.0107148;0.588653;
0.0107248;0.615501;
0.0107348;0.641435;
0.0107448;0.666415;
0.0107548;0.690402;
0.0107648;0.713361;
0.0107748;0.735255;
0.0107848;0.756052;
0.0107948;0.77572;
0.0108048;0.79423;
0.0108148;0.811553;
0.0108248;0.827665;
0.0108348;0.84254;
0.0108448;0.856159;
0.0108548;0.868501;
0.0108648;0.879549;
0.0108748;0.889288;
0.0108848;0.897704;
0.0108948;0.904787;
0.0109048;0.910528;
0.0109148;0.91492;
0.0109248;0.917958;
0.0109348;0.919642;
0.0109448;0.919969;
0.0109548;0.918943;
0.0109648;0.916569;
0.0109748;0.912851;
0.0109848;0.907799;
0.0109948;0.901424;
0.0110048;0.893737;
0.0110148;0.884754;
0.0110248;0.874491;
0.0110348;0.862967;
0.0110448;0.850202;
0.0110548;0.836219;
0.0110648;0.821041;
0.0110748;0.804695;
0.0110848;0.787208;
0.0110948;0.768609;
0.0111048;0.748928;
0.0111148;0.728199;
0.0111248;0.706455;
0.0111348;0.683731;
0.0111448;0.660063;
0.0111548;0.635489;
0.0111648;0.610047;
0.0111748;0.583779;
0.0111848;0.556724;
0.0111948;0.528924;
0.0112048;0.500422;
0.0112148;0.471262;
0.0112248;0.441488;
0.0112348;0.411146;
0.0112448;0.380279;
0.0112548;0.348936;
0.0112648;0.317161;
0.0112748;0.285002;
0.0112848;0.252506;
0.0112948;0.219721;
0.0113048;0.186693;
0.0113148;0.153471;
0.0113248;0.120101;
0.0113348;0.0866314;
0.0113448;0.0531095;
0.0113548;0.0195823;
0.0113648;-0.0139034;
0.0113748;-0.0473012;
0.0113848;-0.0805649;
0.0113948;-0.113649;
0.0114048;-0.146508;
0.0114148;-0.179098;
0.0114248;-0.211374;
0.0114348;-0.243294;
0.0114448;-0.274815;
0.0114548;-0.305895;
0.0114648;-0.336494;
0.0114748;-0.366571;
0.0114848;-0.396087;
0.0114948;-0.425004;
0.0115048;-0.453285;
0.0115148;-0.480894;
0.0115248;-0.507796;
0.0115348;-0.533957;
0.0115448;-0.559344;
0.0115548;-0.583926;
0.0115648;-0.607672;
0.0115748;-0.630553;
0.0115848;-0.652541;
0.0115948;-0.67361;
0.0116048;-0.693733;
0.0116148;-0.712887;
0.0116248;-0.73105;
0.0116348;-0.7482;
0.0116448;-0.764316;
0.0116548;-0.77938;
0.0116648;-0.793376;
0.0116748;-0.806286;
0.0116848;-0.818097;
0.0116948;-0.828795;
0.0117048;-0.838368;
0.0117148;-0.846808;
0.0117248;-0.854103;
0.0117348;-0.860248;
0.0117448;-0.865236;
0.0117548;-0.869062;
0.0117648;-0.871724;
0.0117748;-0.873219;
0.0117848;-0.873547;
0.0117948;-0.87271;
0.0118048;-0.870709;
0.0118148;-0.867549;
0.0118248;-0.863234;
0.0118348;-0.857772;
0.0118448;-0.85117;
0.0118548;-0.843437;
0.0118648;-0.834585;
0.0118748;-0.824625;
0.0118848;-0.81357;
0.0118948;-0.801435;
0.0119048;-0.788236;
0.0119148;-0.773991;
0.0119248;-0.758716;
0.0119348;-0.742433;
0.0119448;-0.725161;
0.0119548;-0.706924;
0.0119648;-0.687743;
0.0119748;-0.667645;
0.0119848;-0.646653;
0.0119948;-0.624794;
0.0120048;-0.602097;
0.0120148;-0.578589;
0.0120248;-0.554301;
0.0120348;-0.529264;
0.0120448;-0.503509;
0.0120548;-0.477068;
0.0120648;-0.449975;
0.0120748;-0.422266;
0.0120848;-0.393974;
0.0120948;-0.365136;
0.0121048;-0.335788;
0.0121148;-0.305969;
0.0121248;-0.275717;
0.0121348;-0.24507;
0.0121448;-0.214068;
0.0121548;-0.18275;
0.0121648;-0.151159;
0.0121748;-0.119334;
0.0121848;-0.087317;
0.0121948;-0.0551502;
0.0122048;-0.0228757;
0.0122148;0.00946404;
0.0122248;0.0418262;
0.0122348;0.0741679;
0.0122448;0.106446;
0.0122548;0.138617;
0.0122648;0.170639;
0.0122748;0.202467;
0.0122848;0.234058;
0.0122948;0.265371;
0.0123048;0.296361;
0.0123148;0.326987;
0.0123248;0.357206;
0.0123348;0.386977;
0.0123448;0.416257;
0.0123548;0.445006;
0.0123648;0.473183;
0.0123748;0.500749;
0.0123848;0.527665;
0.0123948;0.553891;
0.0124048;0.57939;
0.0124148;0.604126;
0.0124248;0.628063;
0.0124348;0.651164;
0.0124448;0.673397;
0.0124548;0.694729;
0.0124648;0.715127;
0.0124748;0.734561;
0.0124848;0.753001;
0.0124948;0.770419;
0.0125048;0.786789;
0.0125148;0.802084;
0.0125248;0.816281;
0.0125348;0.829357;
0.0125448;0.841291;
0.0125548;0.852064;
0.0125648;0.861656;
0.0125748;0.870053;
0.0125848;0.877239;
0.0125948;0.883201;
0.0126048;0.887928;
0.0126148;0.89141;
0.0126248;0.89364;
0.0126348;0.894611;
0.0126448;0.89432;
0.0126548;0.892764;
0.0126648;0.889942;
0.0126748;0.885856;
0.0126848;0.880509;
0.0126948;0.873907;
0.0127048;0.866055;
0.0127148;0.856964;
0.0127248;0.846643;
0.0127348;0.835106;
0.0127448;0.822366;
0.0127548;0.80844;
0.0127648;0.793346;
0.0127748;0.777104;
0.0127848;0.759736;
0.0127948;0.741264;
0.0128048;0.721714;
0.0128148;0.701113;
0.0128248;0.679489;
0.0128348;0.656872;
0.0128448;0.633294;
0.0128548;0.608787;
0.0128648;0.583387;
0.0128748;0.557129;
0.0128848;0.530051;
0.0128948;0.502192;
0.0129048;0.47359;
0.0129148;0.444289;
0.0129248;0.414328;
0.0129348;0.383753;
0.0129448;0.352607;
0.0129548;0.320935;
0.0129648;0.288784;
0.0129748;0.256201;
0.0129848;0.223232;
