time;V(/BSF);
0.0100008;-0.737627;
0.0100108;-0.769521;
0.0100208;-0.799378;
0.0100308;-0.827121;
0.0100408;-0.852676;
0.0100508;-0.875978;
0.0100608;-0.896967;
0.0100708;-0.915586;
0.0100808;-0.931789;
0.0100908;-0.945534;
0.0101008;-0.956784;
0.0101108;-0.965512;
0.0101208;-0.971695;
0.0101308;-0.975318;
0.0101408;-0.976373;
0.0101508;-0.974856;
0.0101608;-0.970774;
0.0101708;-0.964138;
0.0101808;-0.954965;
0.0101908;-0.943282;
0.0102008;-0.929119;
0.0102108;-0.912515;
0.0102208;-0.893514;
0.0102308;-0.872167;
0.0102408;-0.848531;
0.0102508;-0.822668;
0.0102608;-0.794647;
0.0102708;-0.764544;
0.0102808;-0.732436;
0.0102908;-0.698411;
0.0103008;-0.662557;
0.0103108;-0.624969;
0.0103208;-0.585746;
0.0103308;-0.544993;
0.0103408;-0.502817;
0.0103508;-0.459329;
0.0103608;-0.414643;
0.0103708;-0.368878;
0.0103808;-0.322154;
0.0103908;-0.274593;
0.0104008;-0.226322;
0.0104108;-0.177467;
0.0104208;-0.128157;
0.0104308;-0.078521;
0.0104408;-0.0286896;
0.0104508;0.0212061;
0.0104608;0.0710352;
0.0104708;0.120667;
0.0104808;0.169971;
0.0104908;0.218817;
0.0105008;0.267079;
0.0105108;0.314628;
0.0105208;0.361341;
0.0105308;0.407096;
0.0105408;0.451771;
0.0105508;0.495251;
0.0105608;0.537421;
0.0105708;0.578171;
0.0105808;0.617395;
0.0105908;0.65499;
0.0106008;0.690857;
0.0106108;0.724902;
0.0106208;0.757038;
0.0106308;0.78718;
0.0106408;0.815249;
0.0106508;0.841172;
0.0106608;0.864882;
0.0106708;0.886316;
0.0106808;0.90542;
0.0106908;0.922143;
0.0107008;0.936442;
0.0107108;0.94828;
0.0107208;0.957626;
0.0107308;0.964456;
0.0107408;0.968753;
0.0107508;0.970506;
0.0107608;0.969711;
0.0107708;0.966371;
0.0107808;0.960494;
0.0107908;0.952096;
0.0108008;0.9412;
0.0108108;0.927835;
0.0108208;0.912036;
0.0108308;0.893845;
0.0108408;0.87331;
0.0108508;0.850486;
0.0108608;0.825432;
0.0108708;0.798214;
0.0108808;0.768904;
0.0108908;0.73758;
0.0109008;0.704323;
0.0109108;0.669222;
0.0109208;0.632367;
0.0109308;0.593857;
0.0109408;0.553792;
0.0109508;0.512277;
0.0109608;0.469423;
0.0109708;0.42534;
0.0109808;0.380144;
0.0109908;0.333955;
0.0110008;0.286894;
0.0110108;0.239084;
0.0110208;0.19065;
0.0110308;0.141719;
0.0110408;0.0924199;
0.0110508;0.0428819;
0.0110608;-0.00676514;
0.0110708;-0.0563911;
0.0110808;-0.105866;
0.0110908;-0.15506;
0.0111008;-0.203844;
0.0111108;-0.252091;
0.0111208;-0.299673;
0.0111308;-0.346467;
0.0111408;-0.392349;
0.0111508;-0.437199;
0.0111608;-0.4809;
0.0111708;-0.523337;
0.0111808;-0.564399;
0.0111908;-0.603979;
0.0112008;-0.641972;
0.0112108;-0.678279;
0.0112208;-0.712805;
0.0112308;-0.745459;
0.0112408;-0.776157;
0.0112508;-0.804816;
0.0112608;-0.831363;
0.0112708;-0.855728;
0.0112808;-0.877846;
0.0112908;-0.89766;
0.0113008;-0.915118;
0.0113108;-0.930173;
0.0113208;-0.942788;
0.0113308;-0.952928;
0.0113408;-0.960566;
0.0113508;-0.965683;
0.0113608;-0.968266;
0.0113708;-0.968307;
0.0113808;-0.965806;
0.0113908;-0.96077;
0.0114008;-0.953212;
0.0114108;-0.943151;
0.0114208;-0.930614;
0.0114308;-0.915634;
0.0114408;-0.89825;
0.0114508;-0.878507;
0.0114608;-0.856458;
0.0114708;-0.832159;
0.0114808;-0.805674;
0.0114908;-0.777073;
0.0115008;-0.746431;
0.0115108;-0.713828;
0.0115208;-0.679349;
0.0115308;-0.643085;
0.0115408;-0.60513;
0.0115508;-0.565585;
0.0115608;-0.524552;
0.0115708;-0.48214;
0.0115808;-0.438459;
0.0115908;-0.393625;
0.0116008;-0.347754;
0.0116108;-0.300967;
0.0116208;-0.253387;
0.0116308;-0.205138;
0.0116408;-0.156347;
0.0116508;-0.107142;
0.0116608;-0.0576524;
0.0116708;-0.00800777;
0.0116808;0.0416616;
0.0116908;0.0912253;
0.0117008;0.140553;
0.0117108;0.189516;
0.0117208;0.237984;
0.0117308;0.285832;
0.0117408;0.332932;
0.0117508;0.379162;
0.0117608;0.4244;
0.0117708;0.468526;
0.0117808;0.511426;
0.0117908;0.552986;
0.0118008;0.593096;
0.0118108;0.631652;
0.0118208;0.668552;
0.0118308;0.703698;
0.0118408;0.736999;
0.0118508;0.768366;
0.0118608;0.797717;
0.0118708;0.824974;
0.0118808;0.850066;
0.0118908;0.872927;
0.0119008;0.893495;
0.0119108;0.911717;
0.0119208;0.927545;
0.0119308;0.940936;
0.0119408;0.951855;
0.0119508;0.960273;
0.0119608;0.966168;
0.0119708;0.969523;
0.0119808;0.97033;
0.0119908;0.968585;
0.0120008;0.964294;
