time;V(/BSF);
0.0100055;0.624919;
0.0100155;0.45701;
0.0100255;0.270872;
0.0100355;0.073942;
0.0100455;-0.125914;
0.0100555;-0.32071;
0.0100655;-0.502667;
0.0100755;-0.664515;
0.0100855;-0.799789;
0.0100955;-0.903087;
0.0101055;-0.970284;
0.0101155;-0.998697;
0.0101255;-0.987196;
0.0101355;-0.936242;
0.0101455;-0.847876;
0.0101555;-0.725632;
0.0101655;-0.574399;
0.0101755;-0.400225;
0.0101855;-0.210073;
0.0101955;-0.0115451;
0.0102055;0.187421;
0.0102155;0.378871;
0.0102255;0.555152;
0.0102355;0.709215;
0.0102455;0.834901;
0.0102555;0.927185;
0.0102655;0.982377;
0.0102755;0.998269;
0.0102855;0.974224;
0.0102955;0.911202;
0.0103055;0.811719;
0.0103155;0.679751;
0.0103255;0.52057;
0.0103355;0.340537;
0.0103455;0.146846;
0.0103555;-0.0527619;
0.0103655;-0.25031;
0.0103755;-0.437905;
0.0103855;-0.608047;
0.0103955;-0.753938;
0.0104055;-0.869746;
0.0104155;-0.950842;
0.0104255;-0.993985;
0.0104355;-0.997448;
0.0104455;-0.961093;
0.0104555;-0.886371;
0.0104655;-0.776266;
0.0104755;-0.635177;
0.0104855;-0.46874;
0.0104955;-0.283604;
0.0105055;-0.0871674;
0.0105155;0.112723;
0.0105255;0.308082;
0.0105355;0.491103;
0.0105455;0.654475;
0.0105555;0.791672;
0.0105655;0.897214;
0.0105755;0.966885;
0.0105855;0.997905;
0.0105955;0.989036;
0.0106055;0.940636;
0.0106155;0.854641;
0.0106255;0.734493;
0.0106355;0.584994;
0.0106455;0.412124;
0.0106555;0.222792;
0.0106655;0.0245694;
0.0106755;-0.17462;
0.0106855;-0.366814;
0.0106955;-0.544328;
0.0107055;-0.700065;
0.0107155;-0.8278;
0.0107255;-0.922424;
0.0107355;-0.980156;
0.0107455;-0.998684;
0.0107555;-0.977267;
0.0107655;-0.91676;
0.0107755;-0.819578;
0.0107855;-0.689603;
0.0107955;-0.53203;
0.0108055;-0.353154;
0.0108155;-0.160123;
0.0108255;0.0393494;
0.0108355;0.237292;
0.0108455;0.425795;
0.0108555;0.597325;
0.0108655;0.745027;
0.0108755;0.862999;
0.0108855;0.946524;
0.0108955;0.992265;
0.0109055;0.998393;
0.0109155;0.964663;
0.0109255;0.892421;
0.0109355;0.784553;
0.0109455;0.64537;
0.0109555;0.480432;
0.0109655;0.296329;
0.0109755;0.100418;
0.0109855;-0.099475;
0.0109955;-0.295362;
0.0110055;-0.479417;
0.0110155;-0.644287;
0.0110255;-0.783384;
0.0110355;-0.891152;
0.0110455;-0.963286;
0.0110555;-0.996907;
0.0110655;-0.990672;
0.0110755;-0.944834;
0.0110855;-0.861226;
0.0110955;-0.743193;
0.0111055;-0.595455;
0.0111155;-0.423918;
0.0111255;-0.235439;
0.0111355;-0.0375545;
0.0111455;0.161825;
0.0111555;0.35473;
0.0111655;0.533448;
0.0111755;0.690835;
0.0111855;0.820598;
0.0111955;0.917549;
0.0112055;0.977812;
0.0112155;0.998976;
0.0112255;0.980194;
0.0112355;0.922215;
0.0112455;0.827354;
0.0112555;0.699399;
0.0112655;0.543465;
0.0112755;0.365781;
0.0112855;0.173447;
0.0112955;-0.0258519;
0.0113055;-0.224151;
0.0113155;-0.413526;
0.0113255;-0.586411;
0.0113355;-0.735895;
0.0113455;-0.856005;
0.0113555;-0.941941;
0.0113655;-0.990269;
0.0113755;-0.999058;
0.0113855;-0.967954;
0.0113955;-0.898203;
0.0114055;-0.792589;
0.0114155;-0.655334;
0.0114255;-0.491921;
0.0114355;-0.308881;
0.0114455;-0.113526;
0.0114555;0.0863353;
0.0114655;0.282719;
0.0114755;0.467777;
0.0114855;0.634117;
0.0114955;0.775091;
0.0115055;0.885067;
0.0115155;0.959653;
0.0115255;0.99587;
0.0115355;0.992271;
0.0115455;0.949003;
0.0115555;0.867797;
0.0115655;0.751901;
0.0115755;0.605948;
0.0115855;0.435774;
0.0115955;0.248181;
0.0116055;0.0506688;
0.0116155;-0.148867;
0.0116255;-0.34245;
0.0116355;-0.522342;
0.0116455;-0.681352;
0.0116555;-0.813122;
0.0116655;-0.912384;
0.0116755;-0.97517;
0.0116855;-0.998969;
0.0116955;-0.982828;
0.0117055;-0.927389;
0.0117155;-0.834867;
0.0117255;-0.708958;
0.0117355;-0.554693;
0.0117455;-0.378234;
0.0117555;-0.186634;
0.0117655;0.0124531;
0.0117755;0.211071;
0.0117855;0.401282;
0.0117955;0.575487;
0.0118055;0.726724;
0.0118155;0.848949;
0.0118255;0.937279;
0.0118355;0.988182;
0.0118455;0.999627;
0.0118555;0.971154;
0.0118655;0.903901;
0.0118755;0.800557;
0.0118855;0.665251;
0.0118955;0.50339;
0.0119055;0.321442;
0.0119155;0.126677;
0.0119255;-0.0731205;
0.0119355;-0.269968;
0.0119455;-0.455999;
0.0119555;-0.623781;
0.0119655;-0.766609;
0.0119755;-0.878776;
0.0119855;-0.955802;
0.0119955;-0.994609;
0.0120055;-0.993648;
0.0120155;-0.952959;
0.0120255;-0.87417;
0.0120355;-0.760431;
0.0120455;-0.61629;
0.0120555;-0.447509;
0.0120655;-0.260834;
0.0120755;-0.0637287;
0.0120855;0.135929;
0.0120955;0.330157;
0.0121055;0.511192;
0.0121155;0.671797;
0.0121255;0.805552;
0.0121355;0.90711;
0.0121455;0.972409;
0.0121555;0.99884;
0.0121655;0.985343;
0.0121755;0.932456;
0.0121855;0.842292;
0.0121955;0.718453;
0.0122055;0.565885;
0.0122155;0.390686;
0.0122255;0.199854;
0.0122355;0.00101674;
0.0122455;-0.197882;
0.0122555;-0.388894;
0.0122655;-0.564387;
0.0122755;-0.717347;
0.0122855;-0.841664;
0.0122955;-0.932368;
0.0123055;-0.985836;
0.0123155;-0.999931;
0.0123255;-0.974091;
0.0123355;-0.909347;
0.0123455;-0.808289;
0.0123555;-0.674953;
0.0123655;-0.51467;
0.0123755;-0.333844;
0.0123855;-0.139701;
0.0123955;0.0600001;
0.0124055;0.257279;
0.0124155;0.444252;
0.0124255;0.613449;
0.0124355;0.758107;
0.0124455;0.872447;
0.0124555;0.9519;
