Frequency [Hz], Amplitude [dB], Phase [deg]
10, 0.083174, 179.86319
12.067926406393289, 0.08394, 179.834671
14.563484775012437, 0.08236, 179.794632
17.57510624854792, 0.083572, 179.755814
21.209508879201906, 0.083093, 179.705246
25.59547922699536, 0.081809, 179.646072
30.888435964774818, 0.082007, 179.569672
37.2759372031494, 0.081038, 179.494049
44.98432668969444, 0.081355, 179.378754
54.286754393238596, 0.080096, 179.254593
65.51285568595509, 0.078492, 179.098831
79.06043210907697, 0.075483, 178.906586
95.40954763499938, 0.071773, 178.68158
115.1395399326447, 0.066661, 178.415344
138.94954943731375, 0.058906, 178.08255
167.68329368110065, 0.049533, 177.68898
202.35896477251555, 0.03321, 177.224731
244.205309454865, 0.010749, 176.660706
294.705170255181, -0.019424, 175.985764
355.64803062231283, -0.061583, 175.164703
429.1934260128778, -0.123323, 174.146149
517.9474679231213, -0.206751, 172.839081
625.0551925273969, -0.328698, 170.993469
754.3120063354615, -0.549724, 167.638458
910.2981779915218, -1.895533, 156.94162
1098.5411419875584, -3.59055, -163.741211
1325.7113655901082, -1.288955, -172.849686
1599.8587196060573, -1.058026, -177.381317
1930.6977288832495, -1.070091, -179.280396
2329.951810515372, -1.120156, 179.848312
2811.768697974228, -1.170412, 179.436111
3393.221771895326, -1.213452, 179.267654
4094.9150623804235, -1.241986, 179.2155
4941.713361323833, -1.266469, 179.18956
5963.623316594642, -1.28042, 179.205872
7196.856730011514, -1.296787, 179.220718
8685.11373751352, -1.30667, 179.203445
10481.131341546852, -1.309883, 179.166275
12648.552168552958, -1.314009, 179.144821
15264.179671752303, -1.313978, 179.073685
18420.699693267165, -1.306485, 178.945221
22229.96482526191, -1.282288, 178.730606
26826.957952797275, -1.29297, 178.478699
32374.5754281764, -1.301399, 178.161407
39069.39937054613, -1.309618, 177.68689
47148.663634573895, -1.312014, 177.334503
56898.66029018293, -1.322937, 176.808609
68664.88450042998, -1.331546, 176.28804
82864.27728546843, -1.378714, 175.250854
100000, -1.327531, 174.555099
