Frequency [Hz], Amplitude [dB], Phase [deg]
10, -76.820976, -57.595303
12.067926406393289, -83.785667, -90.335182
14.563484775012437, -79.582222, -44.212688
17.57510624854792, -78.401176, 170.723129
21.209508879201906, -73.927406, 172.353333
25.59547922699536, -67.227615, 170.001083
30.888435964774818, -64.482582, 169.795746
37.2759372031494, -60.758976, 171.472885
44.98432668969444, -56.983307, 174.680023
54.286754393238596, -53.728104, 175.177902
65.51285568595509, -50.200333, 176.784973
79.06043210907697, -46.359558, 176.967438
95.40954763499938, -42.650875, 177.728714
115.1395399326447, -39.38435, 176.953186
138.94954943731375, -36.198776, 176.147919
167.68329368110065, -32.783669, 175.917206
202.35896477251555, -29.062374, 175.446625
244.205309454865, -25.619638, 174.651932
294.705170255181, -22.166758, 173.890228
355.64803062231283, -18.587828, 172.846085
429.1934260128778, -14.829626, 171.479675
517.9474679231213, -10.824075, 169.63765
625.0551925273969, -6.260877, 166.77774
754.3120063354615, -0.549985, 160.996521
910.2981779915218, 8.706343, 137.318832
1098.5411419875584, 12.445976, 45.538277
1325.7113655901082, 7.459748, 15.358486
1599.8587196060573, 4.191264, 6.552501
1930.6977288832495, 2.250364, 3.05666
2329.951810515372, 1.03826, 1.376317
2811.768697974228, 0.252328, 0.485189
3393.221771895326, -0.270677, -0.029752
4094.9150623804235, -0.619848, -0.363639
4941.713361323833, -0.856222, -0.588189
5963.623316594642, -1.022231, -0.75893
7196.856730011514, -1.127867, -0.968548
8685.11373751352, -1.203589, -1.155395
10481.131341546852, -1.256171, -1.385743
12648.552168552958, -1.288786, -1.683082
15264.179671752303, -1.316787, -2.0049
18420.699693267165, -1.33599, -2.402601
22229.96482526191, -1.352647, -2.873925
26826.957952797275, -1.361953, -3.418797
32374.5754281764, -1.367675, -4.111651
39069.39937054613, -1.37498, -4.947205
47148.663634573895, -1.381762, -5.958561
56898.66029018293, -1.386232, -7.197216
68664.88450042998, -1.395508, -8.665318
82864.27728546843, -1.406647, -10.445234
